AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Kinnaur,1,ST,Dev Raj Negi,Indian National Congress,32078,24536,76.5 %,2016,8.2%
Rampur,2,SC,Singhi Ram,Indian National Congress,34206,23721,69.3 %,14572,61.4%
Rohru,3,GEN,Nehar Singh,Indian National Congress,37930,25982,68.5 %,18961,73.0%
Jubbal-Kotkhai,4,GEN,Virbhadra Singh,Indian National Congress,32299,24083,74.6 %,17458,72.5%
Chopal,5,GEN,Yogindra Chand,Indian National Congress,30648,23002,75.1 %,9992,43.4%
Kumarsain,6,GEN,Jai Bihari Lal Khachi,Indian National Congress,33851,23912,70.6 %,4560,19.1%
Theog,7,GEN,Vidya Stokes,Indian National Congress,31355,24525,78.2 %,3525,14.4%
Simla,8,GEN,Harbhajan Singh,Indian National Congress,44049,22676,51.5 %,630,2.8%
Kasumpti,9,SC,Shonkia Ram Kashyap,Indian National Congress,36949,22003,59.5 %,3982,18.1%
Arki,10,GEN,Hira Singh Pal,Indian National Congress,30124,21840,72.5 %,6412,29.4%
Doon,11,GEN,Ram Pratap Chandel,Indian National Congress,31503,25395,80.6 %,1384,5.4%
Nalagarh,12,GEN,Vijayendra Singh,Indian National Congress,36675,27865,76.0 %,17047,61.2%
Kasauli,13,SC,Raghu Raj,Indian National Congress,30055,18673,62.1 %,2921,15.6%
Solan,14,GEN,Gian Chand Totu,Indian National Congress,33867,20712,61.2 %,10122,48.9%
Pachhad,15,SC,Gangu Ram,Indian National Congress,32896,22932,69.7 %,12205,53.2%
Rainka,16,SC,Prem Singh,Indian National Congress,32726,20378,62.3 %,8404,41.2%
Shillai,17,GEN,Guman Singh Chauhan,Indian National Congress,32595,22512,69.1 %,9533,42.3%
Paonta Doon,18,GEN,Kush Parmar,Indian National Congress,34743,28049,80.7 %,4774,17.0%
Nahan,19,GEN,Ajay Bahadur Singh,Indian National Congress,31770,24225,76.3 %,1799,7.4%
Kotkehloor,20,GEN,Ram Lal Thakur,Indian National Congress,33448,25615,76.6 %,444,1.7%
Bilaspur,21,GEN,Babu Ram Gautam,Indian National Congress,32147,22949,71.4 %,368,1.6%
Ghumarwin,22,GEN,Kashmir Singh,Indian National Congress,34964,25590,73.2 %,3166,12.4%
Geharwin,23,SC,Rikhi Ram Kondal,Bharatiya Janta Party,31704,23236,73.3 %,2621,11.3%
Nadaun,24,GEN,Prem Dass Pakhrolvi,Indian National Congress,32499,21791,67.1 %,4276,19.6%
Hamirpur,25,GEN,Jagdev Chand,Bharatiya Janta Party,35361,24403,69.0 %,1467,6.0%
Bamsan,26,GEN,Karam Singh,Indian National Congress,34413,22865,66.4 %,2676,11.7%
Mewa,27,SC,Dharam Singh,Indian National Congress,36542,25602,70.1 %,1925,7.5%
Nadaunta,28,GEN,Manjit Singh,Indian National Congress,37738,25927,68.7 %,4305,16.6%
Gagret,29,SC,Milkhi Ram,Indian National Congress,36225,22826,63.0 %,5204,22.8%
Chintpurni,30,GEN,Ganesh Dutt,Indian National Congress,37205,23553,63.3 %,2025,8.6%
Santokgarh,31,GEN,Vijay Kumar Joshi,Indian National Congress,46819,32481,69.4 %,529,1.6%
