AC Name,AC No.,Type,District,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Churah,1,SC,Chamba,Hans Raj,Bharatiya Janta Party,61120,48544,79.4 %,2211,4.6%
Bharmour,2,ST,Chamba,Thakur Singh Bharmouri,Indian National Congress,63710,48199,75.7 %,3467,7.2%
Chamba,3,GEN,Chamba,B. K. Chauhan,Bharatiya Janta Party,68283,51022,74.7 %,1934,3.8%
Dalhousie,4,GEN,Chamba,Asha Kumari,Indian National Congress,60828,46123,75.8 %,7365,16.0%
Bhattiyat,5,GEN,Chamba,Bikram Singh Jaryal,Bharatiya Janta Party,65199,47946,73.5 %,111,0.2%
Nurpur,6,GEN,Kangra,Ajay Mahajan,Indian National Congress,74679,57277,76.7 %,3367,5.9%
Indora,7,SC,Kangra,Manohar Dhiman,Independent,74073,53431,72.1 %,7369,13.8%
Fatehpur,8,GEN,Kangra,Sujan Singh Pathania,Indian National Congress,72676,50898,70.0 %,7217,14.2%
Jawali,9,GEN,Kangra,Neeraj Bharti,Indian National Congress,80874,57257,70.8 %,4434,7.7%
Dehra,10,GEN,Kangra,Ravinder Singh,Bharatiya Janta Party,70424,47022,66.8 %,15293,32.5%
Jaswan-Pragpur,11,GEN,Kangra,Bikram Singh,Bharatiya Janta Party,68140,46909,68.8 %,6093,13.0%
Jawalamukhi,12,GEN,Kangra,Sanjay Rattan,Indian National Congress,65474,46830,71.5 %,4025,8.6%
Jaisinghpur,13,SC,Kangra,Yadvinder Goma,Indian National Congress,74165,45269,61.0 %,9735,21.5%
Sullah,14,GEN,Kangra,Jagjiwan Paul,Indian National Congress,89293,62507,70.0 %,4428,7.1%
Nagrota,15,GEN,Kangra,G.S. Bali,Indian National Congress,74574,55257,74.1 %,2743,5.0%
Kangra,16,GEN,Kangra,Pawan Kajal,Independent,68243,50457,73.9 %,563,1.1%
Shahpur,17,GEN,Kangra,Sarveen,Bharatiya Janta Party,72593,52617,72.5 %,3123,5.9%
Dharamshala,18,GEN,Kangra,Sudhir Sharma,Indian National Congress,64598,47579,73.7 %,5000,10.5%
Palampur,19,GEN,Kangra,Brij Behari Lal Butail,Indian National Congress,64197,46597,72.6 %,9029,19.4%
Baijnath,20,SC,Kangra,Kishori Lal,Indian National Congress,75322,47619,63.2 %,6652,14.0%
Lahaul & Spiti,21,ST,Lahul & Spiti,Ravi Thakur,Indian National Congress,22344,16885,75.6 %,3696,21.9%
Manali,22,GEN,Kullu,Govind Singh Thakur,Bharatiya Janta Party,60818,48985,80.5 %,3198,6.5%
Kullu,23,GEN,Kullu,Maheshwar Singh,Himachal Lokhit Party,73707,57115,77.5 %,2985,5.2%
Banjar,24,GEN,Kullu,Karan Singh,Indian National Congress,61599,51064,82.9 %,9292,18.2%
Anni,25,SC,Kullu,Khub Ram,Indian National Congress,72274,55923,77.4 %,1662,3.0%
Karsog,26,SC,Mandi,Mansa Ram,Indian National Congress,60706,46585,76.7 %,4332,9.3%
Sundernagar,27,GEN,Mandi,Sohan Lal,Indian National Congress,67908,52523,77.3 %,8990,17.1%
Nachan,28,SC,Mandi,Vinod Kumar,Bharatiya Janta Party,70584,55417,78.5 %,3031,5.5%
Seraj,29,GEN,Mandi,Jai Ram Thakur,Bharatiya Janta Party,67952,57772,85.0 %,5752,10.0%
Darang,30,GEN,Mandi,Kaul Singh,Indian National Congress,72708,56988,78.4 %,2232,3.9%
Jogindernagar,31,GEN,Mandi,Gulab Singh Thakur,Bharatiya Janta Party,84738,60780,71.7 %,5916,9.7%
