AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Karnah,1,GEN,Kafil Ur Rehman,Jammu & Kashmir National Conference,27098,21458,79.2 %,1148,5.3%
Kupwara,2,GEN,Mir Saifullah,Jammu & Kashmir National Conference,88942,55525,62.4 %,5182,9.3%
Lolab,3,GEN,Abdul Haq Khan,Jammu & Kashmir Peoples Democratic Party,84242,57382,68.1 %,5347,9.3%
Handwara,4,GEN,Chowdary Mohd Ramzan,Jammu & Kashmir National Conference,76349,57678,75.5 %,11590,20.1%
Langate,5,GEN,Ab Rashid Sheikh,Independent,59403,36429,61.3 %,210,0.6%
Uri,6,GEN,Taj Mohi-Ud-Din,Indian National Congress,66028,53964,81.7 %,1879,3.5%
Rafiabad,7,GEN,Javaid Ahmad Dar,Jammu & Kashmir National Conference,70900,36778,51.9 %,216,0.6%
Sopore,8,GEN,Mohd Ashraf Ganie,Jammu & Kashmir National Conference,90292,18017,20.0 %,1064,5.9%
Gurez,9,GEN,Nazir Ahmad Khan,Jammu & Kashmir National Conference,15390,11392,74.0 %,732,6.4%
Bandipora,10,GEN,Nizamuddin Bhat,Jammu & Kashmir Peoples Democratic Party,87596,49995,57.1 %,820,1.6%
Sonawari,11,GEN,Mohd. Akbar Lone,Jammu & Kashmir National Conference,84402,50595,59.9 %,12157,24.0%
Sangrama,12,GEN,Syed Basharat Ahmad,Jammu & Kashmir Peoples Democratic Party,59013,27809,47.1 %,1330,4.8%
Baramulla,13,GEN,Muzaffar Hussain Beigh,Jammu & Kashmir Peoples Democratic Party,73112,24355,33.3 %,5398,22.2%
Gulmarg,14,GEN,Gh Hassan Mir,Jammu & Kashmir Democratic Party Nationalist,82935,49592,59.8 %,6441,13.0%
Pattan,15,GEN,Iftikhar Hussain Ansari,Jammu & Kashmir Peoples Democratic Party,79628,40486,50.8 %,11271,27.8%
Kangan,16,GEN,Altaf Ahmad,Jammu & Kashmir National Conference,58674,34939,59.5 %,7715,22.1%
Ganderbal,17,GEN,Omar Abdullah,Jammu & Kashmir National Conference,76909,39818,51.8 %,8215,20.6%
Hazratbal,18,GEN,Farooq Abdullah,Jammu & Kashmir National Conference,85514,24720,28.9 %,4272,17.3%
Zadibal,19,GEN,Peer Aafaq Ahmed,Jammu & Kashmir National Conference,71819,12427,17.3 %,1241,10.0%
Idgah,20,GEN,Mubarak Ahmad Gul,Jammu & Kashmir National Conference,56150,12390,22.1 %,1679,13.6%
Khanyar,21,GEN,Ali Mohammad Sagar,Jammu & Kashmir National Conference,48900,8512,17.4 %,5507,64.7%
Habbakadal,22,GEN,Shamima Firdous,Jammu & Kashmir National Conference,49667,5769,11.6 %,1703,29.5%
Amirakadal,23,GEN,Nasir Aslam Wani,Jammu & Kashmir National Conference,75277,11274,15.0 %,819,7.3%
Sonawar,24,GEN,Farooq Abdullah,Jammu & Kashmir National Conference,67796,26852,39.6 %,94,0.4%
Batamaloo,25,GEN,Mohamad Irfan Shah,Jammu & Kashmir National Conference,105559,21054,19.9 %,2706,12.9%
Chadoora,26,GEN,Javaid Mustaffa Mir,Jammu & Kashmir Peoples Democratic Party,73169,39354,53.8 %,2940,7.5%
Badgam,27,GEN,Aga Syed Ruhullah,Jammu & Kashmir National Conference,88713,48942,55.2 %,9960,20.4%
Beerwah,28,GEN,Shafi Ahmad Wani,Jammu & Kashmir Peoples Democratic Party,83950,47992,57.2 %,164,0.3%
Khansahib,29,GEN,Hakeem Mohammad Yasin,Peoples Democratic Front,72169,54030,74.9 %,8395,15.5%
Chrari Sharief,30,GEN,Abdul Rahim Rather,Jammu & Kashmir National Conference,68229,50883,74.6 %,6375,12.5%
Tral,31,GEN,Mushtaq Ahmad Shah,Jammu & Kashmir Peoples Democratic Party,74992,36510,48.7 %,3807,10.4%
Pampore,32,GEN,Zahoor Ahmad,Jammu & Kashmir Peoples Democratic Party,69488,30178,43.4 %,5148,17.1%
Pulwama,33,GEN,Mohd Khalil Bandh,Jammu & Kashmir Peoples Democratic Party,71466,29188,40.8 %,6636,22.7%
