AC Name,AC No.,Type,District,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Rajmahal,1,GEN,Sahibganj,Anant Kumar Ojha,Bharatiya Janta Party,293850,209573,71.3 %,12372,5.9%
Borio,2,ST,Sahibganj,Lobin Hembrom,Jharkhand Mukti Morcha,245629,160545,65.4 %,17924,11.2%
Barhait,3,ST,Sahibganj,Hemant Soren,Jharkhand Mukti Morcha,190826,135256,70.9 %,25740,19.0%
Littipara,4,ST,Pakaur,Dinesh William Marandi,Jharkhand Mukti Morcha,197025,140971,71.5 %,13903,9.9%
Pakur,5,GEN,Pakaur,Alamgir Alam,Indian National Congress,314841,244583,77.7 %,65108,26.6%
Maheshpur,6,ST,Pakaur,Stephen Marandi,Jharkhand Mukti Morcha,212256,163427,77.0 %,34106,20.9%
Shikaripara,7,ST,Dumka,Nalin Soren,Jharkhand Mukti Morcha,201379,149481,74.2 %,29471,19.7%
Nala,8,GEN,Jamtara,Rabindra Nath Mahato,Jharkhand Mukti Morcha,216306,174861,80.8 %,3520,2.0%
Jamtara,9,GEN,Jamtara,Irfan Ansari,Indian National Congress,266408,209420,78.6 %,38741,18.5%
Dumka,10,ST,Dumka,Hemant Soren,Jharkhand Mukti Morcha,244140,163512,67.0 %,13188,8.1%
Jama,11,ST,Dumka,Sita Murmu,Jharkhand Mukti Morcha,204442,141920,69.4 %,2426,1.7%
Jarmundi,12,GEN,Dumka,Badal,Indian National Congress,219877,161502,73.5 %,3099,1.9%
Madhupur,13,GEN,Deoghar,Haji Hussain Ansari,Jharkhand Mukti Morcha,302455,224971,74.4 %,23069,10.3%
Sarath,14,GEN,Deoghar,Randhir Kumar Singh,Bharatiya Janta Party,264571,212997,80.5 %,28720,13.5%
Deoghar,15,SC,Deoghar,Narayan Das,Bharatiya Janta Party,357162,227484,63.7 %,2624,1.2%
Poreyahat,16,GEN,Godda,Pradeep Yadav,Jharkhand Vikas Morcha (Prajatantrik),270093,185584,68.7 %,13597,7.3%
Godda,17,GEN,Godda,Amit Kumar Mandal,Bharatiya Janta Party,279290,188747,67.6 %,86679,45.9%
Mahagama,18,GEN,Godda,Deepika Pandey Singh,Indian National Congress,287885,194419,67.5 %,89224,45.9%
Kodarma,19,GEN,Koderma,Dr. Neera Yadav,Bharatiya Janta Party,327738,201585,61.5 %,1797,0.9%
Barkatha,20,GEN,Hazaribagh,Amit Kumar Yadav S/o-Chitranjan Yadav,Independent,330610,210199,63.6 %,24812,11.8%
Barhi,21,GEN,Hazaribagh,Umashankar Akela,Indian National Congress,281531,178421,63.4 %,11371,6.4%
Barkagaon,22,GEN,Hazaribagh,Amba Prasad,Indian National Congress,331047,223085,67.4 %,31514,14.1%
Ramgarh,23,GEN,Hazaribagh,Mamta Devi,Indian National Congress,304914,222715,73.0 %,28718,12.9%
Mandu,24,GEN,Hazaribagh,Jai Prakash Bhai Patel,Bharatiya Janta Party,377475,237287,62.9 %,2062,0.9%
Hazaribagh,25,GEN,Hazaribagh,Manish Jaiswal,Bharatiya Janta Party,372486,213930,57.4 %,51812,24.2%
Simaria,26,SC,Chatra,Kishun Kumar Das,Bharatiya Janta Party,319207,201460,63.1 %,10996,5.5%
Chatra,27,SC,Chatra,Satyanand Bhokta,Rashtriya Janata Dal,358560,212780,59.3 %,24055,11.3%
Dhanwar,28,GEN,Giridih,Babulal Marandi,Jharkhand Vikas Morcha (Prajatantrik),299943,187353,62.5 %,17550,9.4%
Bagodar,29,GEN,Giridih,Vinod Kumar Singh,Communist Party Of India (Marxist-Leninist) (Liberation),311399,208842,67.1 %,14545,7.0%
Jamua,30,SC,Giridih,Kedar Hazra,Bharatiya Janta Party,284275,168478,59.3 %,18175,10.8%
Gandey,31,GEN,Giridih,Dr Sarfraz Ahmad,Jharkhand Mukti Morcha,260144,183609,70.6 %,8855,4.8%
Giridih,32,GEN,Giridih,Sudivya Kumar,Jharkhand Mukti Morcha,258853,165049,63.8 %,15884,9.6%
Dumri,33,GEN,Giridih,Jagarnath Mahto,Jharkhand Mukti Morcha,264339,188199,71.2 %,34288,18.2%
Gomia,34,GEN,Bokaro,Lambodar Mahto,Ajsu Party,270993,187979,69.4 %,10937,5.8%
Bermo,35,GEN,Bokaro,Rajendra Pd. Singh,Indian National Congress,303518,188773,62.2 %,25172,13.3%
Bokaro,36,GEN,Bokaro,Biranchi Narayan,Bharatiya Janta Party,509876,268610,52.7 %,13313,5.0%
Chandankyari,37,SC,Bokaro,Amar Kumar Bauri,Bharatiya Janta Party,235015,174227,74.1 %,9211,5.3%
Sindri,38,GEN,Dhanbad,Indrajit Mahato,Bharatiya Janta Party,310009,225751,72.8 %,8253,3.7%
Nirsa,39,GEN,Dhanbad,Aparna Sengupta,Bharatiya Janta Party,302971,207263,68.4 %,25458,12.3%
Dhanbad,40,GEN,Dhanbad,Raj Sinha,Bharatiya Janta Party,422514,229263,54.3 %,30629,13.4%
Jharia,41,GEN,Dhanbad,Purnima Niraj Singh,Indian National Congress,292215,157873,54.0 %,12054,7.6%
Tundi,42,GEN,Dhanbad,Mathura Prasad Mahato,Jharkhand Mukti Morcha,273503,190986,69.8 %,25659,13.4%
Baghmara,43,GEN,Dhanbad,Dulu Mahato,Bharatiya Janta Party,278188,177643,63.9 %,824,0.5%
Baharagora,44,GEN,Purbi Singhbhum,Samir Kr. Mohanty,Jharkhand Mukti Morcha,221163,169220,76.5 %,60565,35.8%
Ghatsila,45,ST,Purbi Singhbhum,Ramdas Soren,Jharkhand Mukti Morcha,238789,169420,70.9 %,6724,4.0%
Potka,46,ST,Purbi Singhbhum,Sanjib Sardar,Jharkhand Mukti Morcha,283171,196157,69.3 %,43110,22.0%
Jugsalai,47,SC,Purbi Singhbhum,Mangal Kalindi,Jharkhand Mukti Morcha,319168,213220,66.8 %,21934,10.3%
Jamshedpur East,48,GEN,Purbi Singhbhum,Saryu Roy,Independent,276007,172407,62.5 %,15833,9.2%
Jamshedpur West,49,GEN,Purbi Singhbhum,Banna Gupta,Indian National Congress,320408,190584,59.5 %,22583,11.8%
Ichagarh,50,GEN,Sarikela-Kharswana,Sabita Mahato,Jharkhand Mukti Morcha,250531,195657,78.1 %,18710,9.6%
Saraikella,51,ST,Sarikela-Kharswana,Champai Soren,Jharkhand Mukti Morcha,325065,225682,69.4 %,15667,6.9%
Chaibasa,52,ST,Pashchimi Singhbhum,Deepak Birua,Jharkhand Mukti Morcha,205696,135326,65.8 %,26159,19.3%
Majhganon,53,ST,Pashchimi Singhbhum,Niral Purty,Jharkhand Mukti Morcha,192582,130683,67.9 %,47192,36.1%
