AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Aurad,1,GEN,Manik Rao Patil,Indian National Congress (I),92066,67260,73.1 %,17435,25.9%
Bhalki,2,GEN,Bhimanna Shivalingappa Kandre,Indian National Congress,74754,52773,70.6 %,4807,9.1%
Hulsoor,3,SC,Madanlal Badeappa,Indian National Congress (I),82164,41769,50.8 %,1535,3.7%
Bidar,4,GEN,Veershetty Moglappa Kusnoor,Indian National Congress (I),82466,53360,64.7 %,16294,30.5%
Humnabad,5,GEN,Baswaraj Hawgappa,Janta Party,82077,55942,68.2 %,1870,3.3%
Basavakalyan,6,GEN,Bapu Rao Hulsoorker,Indian National Congress (I),87022,53649,61.6 %,4959,9.2%
Chincholi,7,GEN,Devendrappa Ghalappa Jamadar,Indian National Congress (I),77266,52192,67.5 %,6455,12.4%
Kamalapur,8,SC,Govind P. Vadeyaraj,Janta Party,74673,46391,62.1 %,5809,12.5%
Alland,9,GEN,Anna Rao Bhem Rao Patil Kotalli,Janta Party,72229,48031,66.5 %,9276,19.3%
Gulbarga,10,GEN,Qamarul Islam,Independent,92567,56356,60.9 %,763,1.4%
Shahabad,11,SC,Sharnappa Fakeerappa Bhairy,Communist Party Of India,92687,46198,49.8 %,8638,18.7%
Afzalpur,12,GEN,M.Y.Patil,Janta Party,78586,52051,66.2 %,387,0.7%
Chitapur,13,GEN,Prabhakar R.Telkar,Indian National Congress (I),73497,38878,52.9 %,10799,27.8%
Sedam,14,GEN,Sher Khan,Indian National Congress (I),76549,51154,66.8 %,3636,7.1%
Jewargi,15,GEN,Dharam Singh Narayan Singh,Indian National Congress (I),80673,51085,63.3 %,11595,22.7%
Gurmitkal,16,SC,Mallikarajun Kharge,Indian National Congress (I),76953,48694,63.3 %,16599,34.1%
Yadgir,17,GEN,Sharnapa Nagappa Kalburgi Sharnapa Nagappa Kalburgi,Indian National Congress (I),78406,53054,67.7 %,7550,14.2%
Shahapur,18,GEN,Shivanna Sawoor,Indian National Congress (I),85651,51422,60.0 %,13034,25.3%
Shorapur,19,GEN,Raja Kumar Naik,Indian National Congress (I),83457,47119,56.5 %,6740,14.3%
Deodurg,20,SC,B. Shivanna,Indian National Congress (I),76391,36700,48.0 %,11831,32.2%
Raichur,21,GEN,Nazeer Ahmad Siddiqui,Indian National Congress (I),76509,39381,51.5 %,11606,29.5%
Kalmala,22,GEN,Sudhendra Rao Kasbe,Indian National Congress (I),76099,40654,53.4 %,7344,18.1%
Manvi,23,GEN,R. Ambanna Naik Dorai Hanamappa Naik,Indian National Congress (I),71629,46273,64.6 %,1508,3.3%
Lingsugur,24,GEN,Baswaraj Appagouda Timmangouda Anwari,Indian National Congress (I),78075,54498,69.8 %,7701,14.1%
Sindhnoor,25,GEN,Narayanappa Hanumanthappa,Indian National Congress (I),84863,60679,71.5 %,2661,4.4%
Kushtagi,26,GEN,M. Ganganna Bheemappa,Indian National Congress (I),83660,50934,60.9 %,18209,35.8%
Yelburga,27,GEN,Shrilingraj Shivashankar Rao,Indian National Congress (I),81432,53190,65.3 %,17949,33.7%
Kanakagiri,28,GEN,M.Nagappa Mukappa,Indian National Congress (I),80148,50815,63.4 %,15008,29.5%
Gangavathi,29,GEN,C.Yadave Rao Shesha Rao,Indian National Congress (I),85791,58364,68.0 %,13321,22.8%
Koppal,30,GEN,Veeranna Pampanna Mudgal,Indian National Congress (I),77107,51488,66.8 %,17049,33.1%
Siruguppa,31,GEN,Ramaiah B. E.,Indian National Congress (I),95475,67643,70.8 %,8869,13.1%
Kurugodu,32,GEN,Ramappa M.,Indian National Congress (I),77935,54867,70.4 %,7665,14.0%
Bellary,33,GEN,Bhasker Naidu K.,Indian National Congress (I),90018,54793,60.9 %,4764,8.7%
Hospet,34,GEN,K. Gudusaheb,Indian National Congress (I),101659,67178,66.1 %,8101,12.1%
Sandur,35,GEN,C. Rudrappa,Indian National Congress (I),79364,52728,66.4 %,15888,30.1%
Kudligi,36,GEN,T. Somappa,Indian National Congress (I),74645,50850,68.1 %,17194,33.8%
Kottur,37,GEN,M. M. J. Sadyojatha,Indian National Congress (I),75386,54525,72.3 %,8675,15.9%
Hadagalli,38,GEN,Karibasavanagoud Kogali,Indian National Congress (I),82840,59258,71.5 %,4010,6.8%
Harapanahalli,39,SC,D. Narayanadas,Indian National Congress (I),72632,52303,72.0 %,6093,11.6%
Harihar,40,GEN,P.Basavana Gowda,Indian National Congress (I),90171,67930,75.3 %,10285,15.1%
Davangere,41,GEN,Pampathi,Communist Party Of India,89299,64668,72.4 %,7789,12.0%
