AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Aurad,1,GEN,Gurupadappa Nagmarpally,Janata Dal,137751,86712,62.9 %,14514,16.7%
Bhalki,2,GEN,Vijay Kumar Bhimanna Khandre,Independent,113233,73300,64.7 %,12007,16.4%
Hulsoor,3,SC,Mahendra Kumar Kallappa,Indian National Congress,120137,62414,52.0 %,867,1.4%
Bidar,4,GEN,Narayan Rao,Bharatiya Janta Party,150514,84352,56.0 %,1592,1.9%
Humnabad,5,GEN,Basawraj Hawgeppa Patil,Indian National Congress,123028,75461,61.3 %,8809,11.7%
Basavakalyan,6,GEN,Baswaraj Patil Attur,Janata Dal,132521,83612,63.1 %,2699,3.2%
Chincholi,7,GEN,Veerendra Patil,Indian National Congress,116207,77923,67.1 %,2045,2.6%
Kamalapur,8,SC,G. Rama Krishna,Indian National Congress,109833,58084,52.9 %,5337,9.2%
Alland,9,GEN,Sharnabassappa Mali Patil,Indian National Congress,106436,65516,61.6 %,9779,14.9%
Gulbarga,10,GEN,Qamurul Islam,Muslim Leage,197745,136222,68.9 %,4597,3.4%
Shahabad,11,SC,Baburao Chawan,Indian National Congress,140721,74453,52.9 %,7085,9.5%
Afzalpur,12,GEN,Malikayya Venkayya Guttedar,Indian National Congress,121186,74397,61.4 %,12846,17.3%
Chitapur,13,GEN,Babu Rao Chinchansur,Indian National Congress,108523,65317,60.2 %,11069,16.9%
Sedam,14,GEN,Basavanathareddy Motakpalli,Indian National Congress,116928,74660,63.9 %,18716,25.1%
Jewargi,15,GEN,Dharmasingh Narayan Singh,Indian National Congress,123223,69307,56.2 %,11664,16.8%
Gurmitkal,16,SC,Mallikarjun Kharge,Indian National Congress,111349,65059,58.4 %,19969,30.7%
Yadgir,17,GEN,Malakreddy Laxmanreddy,Indian National Congress,114539,64525,56.3 %,19815,30.7%
Shahapur,18,GEN,Shivashe Kharappagouda Sirwal,Indian National Congress,135537,77634,57.3 %,19085,24.6%
Shorapur,19,GEN,Raja Madan Gopal Nayak,Indian National Congress,136295,80774,59.3 %,12389,15.3%
Deodurg,20,SC,B. Syivanna,Indian National Congress,111605,49599,44.4 %,12061,24.3%
Raichur,21,GEN,M. S. Patil,Janata Dal,130824,59385,45.4 %,3126,5.3%
Kalmala,22,GEN,K. Bheemanna,Independent,127982,68800,53.8 %,185,0.3%
Manvi,23,GEN,Basangouda Amaregouda,Independent,115325,65096,56.4 %,5502,8.5%
Lingsugur,24,GEN,Raja Amareshwar Naik,Indian National Congress,118585,67702,57.1 %,3399,5.0%
Sindhnoor,25,GEN,Badarli Hampanagouda,Janata Dal,159082,105428,66.3 %,28345,26.9%
Kushtagi,26,GEN,Hanamagouda Sekhkargouda,Indian National Congress,124132,79279,63.9 %,2399,3.0%
Yelburga,27,GEN,Basavaraj Rayreddy,Janata Dal,116461,78537,67.4 %,2421,3.1%
Kanakagiri,28,GEN,M. Mallikarjuna,Indian National Congress,127971,79098,61.8 %,9533,12.1%
Gangavathi,29,GEN,Srirangadevarayalu,Indian National Congress,135521,86150,63.6 %,28049,32.6%
Koppal,30,GEN,Diwatar Mallikarajun Basappa,Independent,120116,80179,66.8 %,7829,9.8%
Siruguppa,31,GEN,M. Shankar Reddy,Indian National Congress,156661,102943,65.7 %,14357,13.9%
Kurugodu,32,GEN,Allum Veerabhadrappa,Indian National Congress,136099,89064,65.4 %,14549,16.3%
Bellary,33,GEN,M. Ramappa,Indian National Congress,159347,85088,53.4 %,4933,5.8%
Hospet,34,GEN,Gujjala Hanumanthappa,Janata Dal,163029,106278,65.2 %,32202,30.3%
Sandur,35,GEN,M. Y. Ghropade,Indian National Congress,115694,78135,67.5 %,14870,19.0%
Kudligi,36,GEN,N. T. Bommanna,Indian National Congress,116725,83091,71.2 %,8167,9.8%
Kottur,37,GEN,K. V. Ravindranath Babu,Indian National Congress,112587,80980,71.9 %,7016,8.7%
