AC Name,AC No.,Type,District,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Nippani,1,GEN,Belgaum,Jolle Shashikala Annasaheb,Bharatiya Janta Party,189152,152690,80.7 %,18662,12.2%
Chikkodi-Sadalga,2,GEN,Belgaum,Prakash Babanna Hukkeri,Indian National Congress,186630,149375,80.0 %,76588,51.3%
Athani,3,GEN,Belgaum,Laxman Sangappa Savadi,Bharatiya Janta Party,185331,146290,78.9 %,23771,16.2%
Kagwad,4,GEN,Belgaum,Bharamgoud Alagoud Kage,Bharatiya Janta Party,163335,129200,79.1 %,2887,2.2%
Kudachi,5,SC,Belgaum,P.Rajeev,Badavara Shramikara Raitara Congress Party,147790,115375,78.1 %,46234,40.1%
Raybag,6,SC,Belgaum,Aihole Duryodhan Mahalingappa,Bharatiya Janta Party,162117,122106,75.3 %,829,0.7%
Hukkeri,7,GEN,Belgaum,Umesh Vishwanath Katti,Bharatiya Janta Party,173743,132961,76.5 %,57326,43.1%
Arabhavi,8,GEN,Belgaum,Balachandra Laxmanrao Jarkiholi,Bharatiya Janta Party,196123,145099,74.0 %,75221,51.8%
Gokak,9,GEN,Belgaum,Jarkiholi Ramesh Laxmanrao,Indian National Congress,201028,144327,71.8 %,28005,19.4%
Yemkanmardi,10,ST,Belgaum,Satish Laxmanarao Jarakiholi,Indian National Congress,161090,124560,77.3 %,24350,19.5%
Belgaum Uttar,11,GEN,Belgaum,Fairoz Nuruddin Saith,Indian National Congress,193889,115183,59.4 %,18210,15.8%
Belgaum Dakshin,12,GEN,Belgaum,Sambhaji Lakshman Patil,Independent,202294,131946,65.2 %,6310,4.8%
Belgaum Rural,13,GEN,Belgaum,Sanjay B Patil,Bharatiya Janta Party,204154,152059,74.5 %,1335,0.9%
Khanapur,14,GEN,Belgaum,Arvind Chandrakant Patil,Independent,183928,134890,73.3 %,16152,12.0%
Kittur,15,GEN,Belgaum,Inamadar Danappagouda Basanagouda,Indian National Congress,165318,125970,76.2 %,18290,14.5%
