AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Manjeswar,1,GEN,Cherkalam Abdullah,Muslim Leage,128454,84870,66.1 %,1072,1.3%
Kasaragod,2,GEN,C.T. Ahamdali,Muslim Leage,131489,87586,66.6 %,14874,17.0%
Udma,3,GEN,P. Raghavan,Communist Party Of India (MARXIST),145976,106358,72.9 %,957,0.9%
Hosdrug,4,SC,M. Narayanan,Communist Party Of India,157240,123598,78.6 %,6678,5.4%
Trikkarpur,5,GEN,E.K. Nayanar,Communist Party Of India (MARXIST),165013,133528,80.9 %,14332,10.7%
Irikkur,6,GEN,K.C. Joseph,Indian National Congress,144905,112816,77.9 %,16748,14.8%
Payyannur,7,GEN,C.P. Narayanan,Communist Party Of India (MARXIST),152706,120147,78.7 %,18165,15.1%
Taliparamba,8,GEN,Pacheni Kunhiaraman,Communist Party Of India (MARXIST),155978,126976,81.4 %,10700,8.4%
Azhicode,9,GEN,E.P. Jayarajan,Communist Party Of India (MARXIST),123774,98580,79.6 %,7709,7.8%
Cannanore,10,GEN,N. Ramakrishnan,Indian National Congress,129574,95084,73.4 %,14805,15.6%
Edakkad,11,GEN,O. Bharathan,Communist Party Of India (MARXIST),135532,112591,83.1 %,219,0.2%
Tellicherry,12,GEN,K.P. Mamoo Master,Communist Party Of India (MARXIST),137528,101002,73.4 %,7386,7.3%
Peringalam,13,GEN,K.M. Sooppy,Muslim Leage,141409,103745,73.4 %,1649,1.6%
Kuthuparamba,14,GEN,Pinaray Vijayan,Communist Party Of India (MARXIST),141876,110844,78.1 %,13060,11.8%
Peravoor,15,GEN,K.P. Noorudheen,Indian National Congress,150678,120294,79.8 %,8378,7.0%
North Wynad,16,ST,K. Raghavan Master,Indian National Congress,142081,101403,71.4 %,7535,7.4%
Badagara,17,GEN,K. Chandrasekharan,Janata Dal,152893,117392,76.8 %,12484,10.6%
Nadapuram,18,GEN,Satyyan Mokeri,Communist Party Of India,148954,118979,79.9 %,7626,6.4%
Meppayur,19,GEN,A. Kanaran,Communist Party Of India (MARXIST),146114,117174,80.2 %,9324,8.0%
Quilandy,20,GEN,M.T. Padma,Indian National Congress,156664,121284,77.4 %,2503,2.1%
Perambra,21,GEN,N.K. Radha,Communist Party Of India (MARXIST),146728,121547,82.8 %,4416,3.6%
Balusseri,22,GEN,A.C. Shanmukhadas,Indian Congress (SOCIALIST- SARAT CHANDRA SINHA),134950,107331,79.5 %,9712,9.0%
Koduvally,23,GEN,P.V. Mohammed,Muslim Leage,146720,114516,78.1 %,398,0.3%
Calicut- I,24,GEN,A. Sujana Pal,Indian National Congress,153474,110306,71.9 %,3760,3.4%
Calicut- Ii,25,GEN,M.K. Muneer,Muslim Leage,151164,108813,72.0 %,3883,3.6%
Beypore,26,GEN,T.K. Hamza,Communist Party Of India (MARXIST),169585,129766,76.5 %,6270,4.8%
Kunnamangalam,27,SC,C.P. Balan Vudiar,Communist Party Of India (MARXIST),133853,105210,78.6 %,1158,1.1%
Thiruvambadi,28,GEN,A.V. Abdurahimanhat,Muslim Leage,137586,102799,74.7 %,6102,5.9%
Kalpetta,29,GEN,K.K. Ramachandran Master,Indian National Congress,135733,97584,71.9 %,3792,3.9%
Sultan's Battery,30,GEN,K.C. Rosakutty,Indian National Congress,154211,113855,73.8 %,2506,2.2%
Wandoor,31,SC,Pandalam Sudhakaran,Indian National Congress,152411,105834,69.4 %,7595,7.2%
Nilambur,32,GEN,Aryadan Muhammed,Indian National Congress,163404,122254,74.8 %,7684,6.3%
Manjeri,33,GEN,Ishaque Kurikkal,Muslim Leage,143924,101307,70.4 %,22431,22.1%
Malappuram,34,GEN,Yoonus Kunju,Muslim Leage,145782,80605,55.3 %,27109,33.6%
Kondotty,35,GEN,K. Abu,Muslim Leage,144734,97887,67.6 %,20864,21.3%
Tirurangadi,36,GEN,V.A. Beeran Sahib,Muslim Leage,143445,86221,60.1 %,19202,22.3%
Tanur,37,GEN,P. Seethi Haji,Muslim Leage,146476,79851,54.5 %,25847,32.4%
Tirur,38,GEN,E.T Mohamed Basheer,Muslim Leage,156692,106662,68.1 %,12505,11.7%
Ponnani,39,GEN,E.K. Imbichibava,Communist Party Of India (MARXIST),145767,103128,70.7 %,5084,4.9%
Kuttippuram,40,GEN,P.K. Kunhalikutty,Muslim Leage,130642,74330,56.9 %,22326,30.0%
Mankada,41,GEN,K.P.A. Majeed,Muslim Leage,143304,98836,69.0 %,5960,6.0%
Perinthalmanna,42,GEN,Sooppy Nalakath,Muslim Leage,145099,100946,69.6 %,6939,6.9%
Thrithala,43,SC,E. Sankaran,Communist Party Of India (MARXIST),135185,96652,71.5 %,5585,5.8%
Pattambi,44,GEN,K.E. Esmail,Communist Party Of India,137180,91522,66.7 %,3670,4.0%
Ottapalam,45,GEN,V.C. Kabeer Master,Indian Congress (SOCIALIST- SARAT CHANDRA SINHA),134029,89850,67.0 %,4270,4.8%
Sreekrishnapuram,46,GEN,P. Balan,Indian National Congress,151708,108004,71.2 %,1698,1.6%
Mannarkkad,47,GEN,Kalladi Mohammed,Muslim Leage,154221,110518,71.7 %,4470,4.0%
Malampuzha,48,GEN,T. Sivadasa Menon,Communist Party Of India (MARXIST),130422,93241,71.5 %,17991,19.3%
Palghat,49,GEN,C.M. Sundaram,Indian National Congress,140683,93325,66.3 %,3507,3.8%
Chittur,50,GEN,K. Krishnankutty,Janata Dal,132117,97173,73.6 %,3111,3.2%
Kollengode,51,GEN,T. Chathu,Communist Party Of India (MARXIST),136435,98333,72.1 %,1205,1.2%
Coyalmannam,52,SC,M. Naryannan,Communist Party Of India (MARXIST),136001,97558,71.7 %,7718,7.9%
Alathur,53,GEN,A.V. Gopinathan,Indian National Congress,136727,102439,74.9 %,338,0.3%
Chelakara,54,SC,M.P. Thami,Indian National Congress,139639,96508,69.1 %,4361,4.5%
Wadakkancherry,55,GEN,K.S. Narayanan Namboodiri,Indian National Congress,147898,103893,70.2 %,7641,7.4%
Kunnamkulam,56,GEN,T.V. Chandramohan,Indian National Congress,151547,110478,72.9 %,2755,2.5%
Cherpu,57,GEN,V.V. Raghavan,Communist Party Of India,138813,102580,73.9 %,4458,4.3%
Trichur,58,GEN,Therambil Ramakrishnan,Indian National Congress,147623,104879,71.0 %,7291,7.0%
Ollur,59,GEN,P.P. George,Indian National Congress,155530,116383,74.8 %,5241,4.5%
Kodakara,60,GEN,K.P. Viswanathan,Indian National Congress,142402,106943,75.1 %,1611,1.5%
Chalakudi,61,GEN,Rosamma Chacko,Indian National Congress,129702,98598,76.0 %,6740,6.8%
Mala,62,GEN,K. Karunakaran,Indian National Congress,135367,104770,77.4 %,2474,2.4%
Irinjalakuda,63,GEN,Lonappan Nambadan,Independent,143656,105135,73.2 %,9424,9.0%
Manalur,64,GEN,V.M. Sudheeran,Indian National Congress,128217,93633,73.0 %,5516,5.9%
Guruvayoor,65,GEN,P.M. Abubacker,Muslim Leage,130049,87719,67.5 %,5676,6.5%
Nattika,66,GEN,Krishnan Kaniyamparabil,Communist Party Of India,125492,94410,75.2 %,1166,1.2%
Kodungallur,67,GEN,Meenakshy Thampan,Communist Party Of India,137057,106271,77.5 %,11189,10.5%
Ankamali,68,GEN,P.J. Joy,Indian National Congress,154181,123530,80.1 %,7598,6.2%
Vadakkekara,69,GEN,S. Sarma,Communist Party Of India (MARXIST),133663,109941,82.3 %,797,0.7%
Parur,70,GEN,P.Raju,Communist Party Of India,123712,92495,74.8 %,2832,3.1%
Narakal,71,SC,K. Kunjambu,Indian National Congress,129091,99112,76.8 %,3547,3.6%
Ernakulam,72,GEN,George Eden,Indian National Congress,155366,105521,67.9 %,10822,10.3%
Mattancherry,73,GEN,M.J. Zakaria,Muslim Leage,106549,66740,62.6 %,8940,13.4%
Palluruthy,74,GEN,Dominic Presentation,Indian National Congress,157308,117152,74.5 %,7474,6.4%
Thrippunithura,75,GEN,K. Babu,Indian National Congress,169908,128865,75.8 %,4946,3.8%
Alwaye,76,GEN,K. Mohamed Ali,Indian National Congress,177577,131334,74.0 %,8571,6.5%
Perumbavoor,77,GEN,P.P. Thankachan,Indian National Congress,141043,110042,78.0 %,3311,3.0%
Kunnathunad,78,GEN,T.H. Musthafa,Indian National Congress,144812,115170,79.5 %,7468,6.5%
Piravom,79,GEN,T.M. Jacob,Kerala Congress(M),136073,109598,80.5 %,2947,2.7%
Muvattupuzha,80,GEN,Johny Nelloor,Kerala Congress(M),137723,105728,76.8 %,3779,3.6%
Kothamangalam,81,GEN,V.J. Faulose,Indian National Congress,143835,109063,75.8 %,7372,6.8%
Thodupuzha,82,GEN,P.T. Thomas,Indian National Congress,151676,117201,77.3 %,1092,0.9%
Devicolam,83,SC,K. Moni Alias A.K. Moni,Indian National Congress,147608,100641,68.2 %,6942,6.9%
Idukki,84,GEN,Mathew Stephen,Kerala Congress(M),150755,107396,71.2 %,3678,3.4%
Udumbanchola,85,GEN,E.M. Augusthy,Indian National Congress,179425,124637,69.5 %,3374,2.7%
Peermade,86,GEN,K.K. Thomas,Indian National Congress,131211,93376,71.2 %,5041,5.4%
Kanjirappally,87,GEN,Geoge J. Mathew,Indian National Congress,136890,103715,75.8 %,1158,1.1%
Vazhoor,88,GEN,K. Narayana Karup,Kerala Congress(M),119100,90595,76.1 %,2550,2.8%
Changanacherry,89,GEN,C.F. Thomas,Kerala Congress(M),138883,102357,73.7 %,11777,11.5%
Kottayam,90,GEN,T.K. Ramakrishnan,Communist Party Of India (MARXIST),146250,111216,76.0 %,2682,2.4%
Ettumanoor,91,GEN,Thomas Chazihikadan,Kerala Congress(M),134359,99977,74.4 %,886,0.9%
Puthuppally,92,GEN,Commen Chandy,Indian National Congress,139403,107331,77.0 %,13811,12.9%
Poonjar,93,GEN,Joy Abraham,Kerala Congress(M),117682,83976,71.4 %,10418,12.4%
Palai,94,GEN,K.M. Mani,Kerala Congress(M),125708,93181,74.1 %,17289,18.6%
Kaduthuruthy,95,GEN,P.M. Mathew,Kerala Congress(M),127262,96654,75.9 %,13732,14.2%
Vaikom,96,SC,K.K. Balakrishnan,Indian National Congress,132995,106321,79.9 %,1038,1.0%
Aroor,97,GEN,K.R. Gouri Amma,Communist Party Of India (MARXIST),134671,113512,84.3 %,3617,3.2%
Sherthalai,98,GEN,C.K. Chandrappan,Communist Party Of India,126734,104754,82.7 %,991,0.9%
Mararikulam,99,GEN,V.S. Achuthanandan,Communist Party Of India (MARXIST),164737,136568,82.9 %,9980,7.3%
