AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Manjeswar,1,GEN,Dr. A. Subba Rao,Communist Party Of India,80147,53376,66.6 %,156,0.3%
Kasaragod,2,GEN,C. T. Ahamedali,Muslim Leage,80655,51705,64.1 %,16680,32.3%
Udma,3,GEN,K. Purushothaman,Communist Party Of India (MARXIST),94737,69351,73.2 %,5020,7.2%
Hosdrug,4,SC,K. T. Kumaran,Communist Party Of India,105064,74618,71.0 %,10105,13.5%
Trikkarpur,5,GEN,P. Karunakaran,Communist Party Of India (MARXIST),108968,80942,74.3 %,15617,19.3%
Irikkur,6,GEN,Ram Chandran Kacannoppally,Indian National Congress (U),93892,70398,75.0 %,5448,7.7%
Payyannur,7,GEN,N. Subrammaniya Shenoy,Communist Party Of India (MARXIST),101579,75122,74.0 %,19412,25.8%
Taliparamba,8,GEN,C. P. Moossan Kutty,Communist Party Of India (MARXIST),107325,80358,74.9 %,16591,20.6%
Azhicode,9,GEN,P. Devooty,Communist Party Of India (MARXIST),81990,64228,78.3 %,14483,22.5%
Cannanore,10,GEN,P. Bhaskaran,Janta Party,91562,71719,78.3 %,349,0.5%
Edakkad,11,GEN,P. P. V. Moosa,All India Muslim League,88509,70913,80.1 %,9957,14.0%
Tellicherry,12,GEN,M. V. Rajagopalan,Communist Party Of India (MARXIST),91540,69374,75.8 %,16702,24.1%
Peringalam,13,GEN,A. K. Saseendran,Indian National Congress (U),92754,71349,76.9 %,5890,8.3%
Kuthuparamba,14,GEN,N. V. Raghavan,Communist Party Of India (MARXIST),90189,67720,75.1 %,21651,32.0%
Peravoor,15,GEN,K. P. Noorudeen,Indian National Congress (U),96298,77163,80.1 %,14116,18.3%
North Wynad,16,ST,M. V. Rajan Master,Indian National Congress (I),95528,64090,67.1 %,3783,5.9%
Badagara,17,GEN,K. Chandra Sekharan,Janta Party,101981,82315,80.7 %,1362,1.7%
Nadapuram,18,GEN,K. T. Kanaran,Communist Party Of India,98467,79927,81.2 %,5740,7.2%
Meppayur,19,GEN,A. V. Abdulurahiman Haji,All India Muslim League,100789,81651,81.0 %,7807,9.6%
Quilandy,20,GEN,Manimangalath Kuttialy,Indian National Congress (I),102966,81948,79.6 %,5028,6.1%
Perambra,21,GEN,V. V. Dakshinamoorthy,Communist Party Of India (MARXIST),96202,80221,83.4 %,9468,11.8%
Balusseri,22,GEN,A. C. Shanmukhadas,Indian National Congress (U),89862,70656,78.6 %,8948,12.7%
Koduvally,23,GEN,P. V. Mohammed,Muslim Leage,96840,77278,79.8 %,5526,7.2%
Calicut- I,24,GEN,N. Chandrasekhara Kurup,Communist Party Of India (MARXIST),121417,80474,66.3 %,3785,4.7%
Calicut- Ii,25,GEN,P. M. Abubackar,All India Muslim League,112752,75444,66.9 %,5229,6.9%
Beypore,26,GEN,N. P. Moideen,Indian National Congress (U),103717,80179,77.3 %,7308,9.1%
Kunnamangalam,27,SC,K. P. Raman,All India Muslim League,86535,66763,77.2 %,4061,6.1%
Thiruvambadi,28,GEN,Cryiac John,Indian National Congress (U),91449,66384,72.6 %,5670,8.5%
Kalpetta,29,GEN,M. Kamalam,Janta Party,94148,63393,67.3 %,13039,20.6%
Sultan's Battery,30,GEN,K. K. Ramachandran Master,Indian National Congress (I),99136,67951,68.5 %,7394,10.9%
Wandoor,31,SC,M. A. Kuttappan,Indian National Congress (I),97660,68626,70.3 %,5889,8.6%
Nilambur,32,GEN,C. Haridas,Indian National Congress (U),102084,78443,76.8 %,6423,8.2%
Manjeri,33,GEN,C. H. Mohamed Koya,Muslim Leage,90558,66418,73.3 %,21304,32.1%
Malappuram,34,GEN,U. A. Beeran,Muslim Leage,97931,54310,55.5 %,19330,35.6%
Kondotty,35,GEN,P. Seethi Haji,Muslim Leage,95562,70107,73.4 %,15198,21.7%
Tirurangadi,36,GEN,Avukkaderkutty Maha,Muslim Leage,97336,65873,67.7 %,11959,18.2%
Tanur,37,GEN,E. Ahmmed,Muslim Leage,98003,54746,55.9 %,23733,43.4%
Tirur,38,GEN,P. T. Kunhi Mohammed Alias Kunhutty Hajee,Muslim Leage,101325,75090,74.1 %,2268,3.0%
Ponnani,39,GEN,K. Sreedharan,Communist Party Of India (MARXIST),104159,76852,73.8 %,2316,3.0%
Kuttippuram,40,GEN,Korambayil Ahammed Haji,Muslim Leage,86353,49980,57.9 %,18160,36.3%
Mankada,41,GEN,K. P. Majeed,Muslim Leage,91428,67897,74.3 %,3762,5.5%
Perinthalmanna,42,GEN,Nalakath Sooppy,Muslim Leage,92363,70923,76.8 %,3914,5.5%
Thrithala,43,SC,M. P. Thami,Indian National Congress (I),91523,60293,65.9 %,619,1.0%
Pattambi,44,GEN,M. P. Gangadharan,Indian National Congress (I),96865,60652,62.6 %,3451,5.7%
Ottapalam,45,GEN,V. C. Kabeer,Indian National Congress (U),93009,47573,51.1 %,3184,6.7%
Sreekrishnapuram,46,GEN,K. Sankaranarayanan,Indian National Congress (I),103646,68904,66.5 %,418,0.6%
Mannarkkad,47,GEN,A. P. Hamza,Muslim Leage,103632,61246,59.1 %,1388,2.3%
Malampuzha,48,GEN,E. K. Nayanar,Communist Party Of India (MARXIST),88733,57730,65.1 %,15557,26.9%
Palghat,49,GEN,C. M. Sundaram,Independent,104428,63254,60.6 %,10207,16.1%
Chittur,50,GEN,K. Krishnankutty,Janta Party,97784,62399,63.8 %,304,0.5%
Kollengode,51,GEN,C. Vasudeva Menon,Communist Party Of India (MARXIST),102658,73265,71.4 %,2532,3.5%
Coyalmannam,52,SC,T. K. Arumughan,Communist Party Of India (MARXIST),100428,64317,64.0 %,6320,9.8%
Alathur,53,GEN,C. T. Krishnan,Communist Party Of India (MARXIST),104295,67274,64.5 %,5982,8.9%
Chelakara,54,SC,K. K. Balakrishnan,Indian National Congress (I),92321,63876,69.2 %,1125,1.8%
Wadakkancherry,55,GEN,K. S. Narayanan Namboodri,Indian National Congress (I),96961,68765,70.9 %,2267,3.3%
Kunnamkulam,56,GEN,K. P. Viswanathan,Indian National Congress (U),95195,59678,62.7 %,16706,28.0%
Cherpu,57,GEN,K. P. Prabhakaran,Communist Party Of India,88139,66412,75.3 %,6720,10.1%
Trichur,58,GEN,M. K. Kannan,Communist Party Of India (MARXIST),93417,63291,67.8 %,3424,5.4%
Ollur,59,GEN,Raghavan Poshakadavil,Indian National Congress (I),90478,65863,72.8 %,25,0.0%
Kodakara,60,GEN,Lonappan Nambadan,Kerala Congress,91986,65886,71.6 %,4520,6.9%
Chalakudi,61,GEN,P. K. Ittoop,Kerala Congress,84682,64416,76.1 %,129,0.2%
Mala,62,GEN,K. Karunakaran,Indian National Congress (I),87250,69805,80.0 %,3402,4.9%
Irinjalakuda,63,GEN,Joes Thanickal,Indian National Congress (U),92029,65842,71.5 %,7690,11.7%
Manalur,64,GEN,V. M. Sudheeran,Indian National Congress (U),82737,63454,76.7 %,7932,12.5%
Guruvayoor,65,GEN,B. V. Seethi Thangal,Muslim Leage,89669,59623,66.5 %,1752,2.9%
Nattika,66,GEN,P. K. Gopalakrishnan,Communist Party Of India,86496,59785,69.1 %,4563,7.6%
Kodungallur,67,GEN,V. K. Rajan,Communist Party Of India,90449,69203,76.5 %,2520,3.6%
Ankamali,68,GEN,A. P. Kurrian,Communist Party Of India (MARXIST),97744,81707,83.6 %,1806,2.2%
Vadakkekara,69,GEN,T. K. Abdu,Communist Party Of India (MARXIST),87732,65494,74.7 %,11747,17.9%
Parur,70,GEN,A. C. Jose,Indian National Congress (U),79528,61147,76.9 %,4485,7.3%
Narakal,71,SC,M. K. Krishnan,Communist Party Of India (MARXIST),86230,67844,78.7 %,2973,4.4%
Ernakulam,72,GEN,A. L. Jacob,Indian National Congress (I),105573,73954,70.1 %,577,0.8%
Mattancherry,73,GEN,M. J. Zakaria,All India Muslim League,85706,53044,61.9 %,1786,3.4%
