AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Sheopur,1,GEN,Satyabhanu Chauhan,Indian Congress (SOCIALIST),93074,50899,54.7 %,5053,9.9%
Bijeypur,2,GEN,Babulalmewara,Bharatiya Janta Party,90867,49754,54.8 %,4378,8.8%
Sabalgarh,3,GEN,Bhagwati Prasad Bansal,Indian National Congress,107356,69784,65.0 %,12849,18.4%
Joura,4,GEN,Mahesh Dutt Mishra,Indian National Congress,95960,59959,62.5 %,5728,9.6%
Sumawali,5,GEN,Kirat Ram Singh Kansana,Indian National Congress,91051,48978,53.8 %,975,2.0%
Morena,6,GEN,Jahar Singh Sharma,Bharatiya Janta Party,101973,48959,48.0 %,3660,7.5%
Dimni,7,SC,Munshilal,Bharatiya Janta Party,87182,35718,41.0 %,11615,32.5%
Ambah,8,SC,Ram Narayan Sakhawar,Indian National Congress,102887,45673,44.4 %,7619,16.7%
Gohad,9,SC,Chaturvhuj Bhadkari,Indian National Congress,85981,41199,47.9 %,7019,17.0%
Mehgaon,10,GEN,Rustam Singh,Indian National Congress,90471,52057,57.5 %,1208,2.3%
Attair,11,GEN,Satyadev Katare,Indian National Congress,108812,45366,41.7 %,9250,20.4%
Bhind,12,GEN,Udayabhan Singh,Indian National Congress,129249,58202,45.0 %,5234,9.0%
Ron,13,GEN,Ramashankar Singh,Indian National Congress,90911,56258,61.9 %,6217,11.1%
Saitual,14,GEN,Mathura Prasad Mahant,Bharatiya Janta Party,107109,68027,63.5 %,9778,14.4%
Gwalior,15,GEN,Dharam Vir,Bharatiya Janta Party,108804,54786,50.4 %,8098,14.8%
Lashkar East,16,GEN,Gangaram Bandil,Bharatiya Janta Party,89928,38982,43.3 %,3121,8.0%
Lashkar West,17,GEN,Kamta Prasad,Indian National Congress,92302,39782,43.1 %,1542,3.9%
Morar,18,GEN,Dhyanendra Singh,Bharatiya Janta Party,97657,43841,44.9 %,8419,19.2%
Gird,19,GEN,Balendu Shukla,Indian National Congress,90498,48444,53.5 %,10894,22.5%
Dabra,20,GEN,Narsinghrao Pawar,Indian National Congress,87104,46468,53.3 %,13689,29.5%
Bhander,21,SC,Radhesham Chandoriya,Indian National Congress,92370,35552,38.5 %,6008,16.9%
Seondha,22,SC,Mahendra,Indian National Congress,88074,35209,40.0 %,6694,19.0%
Datia,23,GEN,Rajendra Kumar Bharti,Indian National Congress,95164,47818,50.2 %,16049,33.6%
Karera,24,GEN,Hanumant Singh Dau,Indian National Congress,106448,56948,53.5 %,1790,3.1%
Pohri,25,GEN,Himanshu Sharma,Indian National Congress,84328,37866,44.9 %,5400,14.3%
Shivpuri,26,GEN,Ganesh Ram,Indian National Congress,106087,56199,53.0 %,3099,5.5%
Pichhore,27,GEN,Bhaiya Sahab,Indian National Congress,112206,72515,64.6 %,5567,7.7%
Kolaras,28,SC,Pooran Singh,Indian National Congress,99149,39689,40.0 %,11649,29.4%
Guna,29,GEN,Shivpratap Singh,Indian National Congress,115684,56212,48.6 %,754,1.3%
Chachaura,30,GEN,Devendra Singh,Indian National Congress,88598,47974,54.1 %,892,1.9%
Raghogarh,31,GEN,Mulsingh,Indian National Congress,87937,42136,47.9 %,5162,12.3%
Shadora,32,SC,Ramsuman,Indian National Congress,83710,21603,25.8 %,799,3.7%
Ashoknagar,33,GEN,Ravindra Singh,Indian National Congress,97443,50679,52.0 %,1872,3.7%
Mungaoli,34,GEN,Gajram Singh,Indian National Congress,99763,49919,50.0 %,4377,8.8%
Bina,35,GEN,Sudhakar Bapat,Bharatiya Janta Party,81474,53594,65.8 %,3070,5.7%
Khurai,36,SC,Malti Arvind Kumar,Indian National Congress,83917,39320,46.9 %,2821,7.2%
Banda,37,GEN,Harnamsingh Rathod,Bharatiya Janta Party,99872,68096,68.2 %,6101,9.0%
Naryaoli,38,SC,Lokman Khatik,Indian National Congress,91147,40150,44.0 %,16800,41.8%
Sagar,39,GEN,Prakash Motilal Jain,Indian National Congress,97494,47467,48.7 %,20475,43.1%
Surkhi,40,GEN,Vitthal Bhai Patel,Indian National Congress,81478,48143,59.1 %,7954,16.5%
Rehli,41,GEN,Gopal Bhargawa,Bharatiya Janta Party,78679,54744,69.6 %,9690,17.7%
Deori,42,GEN,Bhagwat Singh,Indian National Congress,89968,51314,57.0 %,7197,14.0%
Niwari,43,GEN,Chaturvedi Ram Ratan,Indian National Congress,122346,67836,55.4 %,5587,8.2%
Jatara,44,GEN,Thakur Das Yadav,Indian National Congress,95876,50677,52.9 %,9460,18.7%
Khargapur,45,SC,Vindravan Ahirwar,Indian National Congress,99921,45601,45.6 %,3614,7.9%
Tikamgarh,46,GEN,Yadvendra Singh,Indian National Congress,109712,57470,52.4 %,22866,39.8%
Malehra,47,GEN,Shivraj Bhaiya,Bharatiya Janta Party,101545,52544,51.7 %,2396,4.6%
Bijawar,48,GEN,Jujhar Singh,Bharatiya Janta Party,105676,52315,49.5 %,5905,11.3%
Chhatarpur,49,GEN,Jagadamba Prasad Nigam,Janta Party,111763,58703,52.5 %,19490,33.2%
Maharajpur,50,SC,Ahirwar Baboolal,Indian National Congress,114979,42094,36.6 %,1407,3.3%
Chandla,51,GEN,Shyam Behari Pathak,Indian National Congress,99162,51568,52.0 %,863,1.7%
Nohata,52,GEN,Rajbahudur Singh,Indian National Congress,102834,50163,48.8 %,9580,19.1%
Damoh,53,GEN,Mukesh Nayak,Indian National Congress,100513,56555,56.3 %,92,0.2%
Patharia,54,SC,Shyamlal,Indian National Congress,86114,35450,41.2 %,4714,13.3%
Hatta,55,GEN,Ramkrishna Kusmaria,Bharatiya Janta Party,99644,57861,58.1 %,2455,4.2%
Panna,56,GEN,Jai Prakash Patel,Bharatiya Janta Party,102895,55107,53.6 %,3898,7.1%
Amanganj,57,GEN,Kashi Prasad,Bharatiya Janta Party,92546,39042,42.2 %,11193,28.7%
Pawai,58,GEN,Jaipal Singh,Indian National Congress,103652,62320,60.1 %,9478,15.2%
Maihar,59,GEN,Lalji Patel,Independent,102735,62951,61.3 %,7013,11.1%
Nagod,60,GEN,Rampratap Singh,Indian National Congress,82767,61259,74.0 %,8254,13.5%
Raigaon,61,SC,Ramshray Prasad,Indian National Congress,87957,43366,49.3 %,462,1.1%
Chitrakoot,62,GEN,Ramchandra Bajpayee,Indian National Congress,95996,49281,51.3 %,1142,2.3%
Satna,63,GEN,Lalta Prasad Khare,Indian National Congress,116850,59322,50.8 %,6279,10.6%
Rampur Baghelan,64,GEN,Harsh Singh,Indian National Congress,94015,55549,59.1 %,7289,13.1%
Amarpatan,65,GEN,Ram Hit,Bharatiya Janta Party,104230,57196,54.9 %,5575,9.7%
Rewa,66,GEN,Prem Lal Mishra,Janta Party,121440,53477,44.0 %,3477,6.5%
Gurh,67,GEN,Nagendra Singh,Indian National Congress,110157,58298,52.9 %,10883,18.7%
Mangawan,68,GEN,Champa Devi,Indian National Congress,107187,53113,49.6 %,3332,6.3%
Sirmaur,69,GEN,Rajmani Patel,Indian National Congress,108568,57764,53.2 %,5906,10.2%
Teonthar,70,GEN,Garud Kumar,Indian National Congress,100939,64676,64.1 %,142,0.2%
Deotalab,71,SC,Bindra,Indian National Congress,91368,30961,33.9 %,2583,8.3%
Mauganj,72,GEN,Jagdish Tiwari Masuriha,Bharatiya Janta Party,93591,49041,52.4 %,5031,10.3%
Churahat,73,GEN,Arjun Singh,Indian National Congress,93511,57909,61.9 %,35595,61.5%
Sidhi,74,GEN,Indrajit Kumar,Indian National Congress,89706,42641,47.5 %,12656,29.7%
Gopadbanas,75,GEN,Kamleshwar,Indian National Congress,86197,37908,44.0 %,6110,16.1%
Dhauhani,76,ST,Jagwa Devi,Indian National Congress,81984,31828,38.8 %,456,1.4%
Deosar,77,ST,Annath Singh,Bharatiya Janta Party,92176,37890,41.1 %,9588,25.3%
Singrauli,78,SC,Ram Charitra,Bharatiya Janta Party,101789,37762,37.1 %,2385,6.3%
Beohari,79,GEN,Shukla Ramkishore,Indian National Congress,96239,49188,51.1 %,2463,5.0%
Umaria,80,GEN,Ranvijaya Pratap Singh,Indian National Congress,91359,39252,43.0 %,20264,51.6%
Nowrozabad,81,ST,Dhanshah,Indian National Congress,80035,30334,37.9 %,296,1.0%
Jaisinghnagar,82,ST,Gopila Singh,Indian National Congress,89198,29441,33.0 %,3627,12.3%
Kotma,83,ST,Bhagwandeen,Indian National Congress,102960,28551,27.7 %,8797,30.8%
Anuppur,84,ST,Girja Kumari,Indian National Congress,96128,29605,30.8 %,13486,45.6%
Sohagpur,85,GEN,Gambhir Singh,Indian National Congress,104809,59407,56.7 %,19014,32.0%
Pushprajgarh,86,ST,Deelan Singh,Indian National Congress,79893,23278,29.1 %,3651,15.7%
Manendragarh,87,ST,Vijoy Singh,Indian National Congress,104843,39841,38.0 %,173,0.4%
Baikunthpur,88,GEN,Dwarika Prasad,Bharatiya Janta Party,115449,62174,53.9 %,1531,2.5%
Premnagar,89,ST,Tuleshwar,Bharatiya Janta Party,83034,27946,33.7 %,965,3.5%
Surajpur,90,ST,Khelsai,Indian National Congress,87904,38680,44.0 %,11948,30.9%
Pal,91,ST,Deosai,Indian National Congress,92485,25597,27.7 %,7642,29.9%
Samri,92,ST,Maheshwar Ram,Indian National Congress,75983,38371,50.5 %,8283,21.6%
