AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Sheopur,1,GEN,Durgalal Vijay,Bharatiya Janta Party,175018,112034,64.0 %,3055,2.7%
Bijeypur,2,GEN,Ramniwas,Indian National Congress,168112,114145,67.9 %,18709,16.4%
Sabalgarh,3,GEN,Mehar Ban Singh Rawat,Bharatiya Janta Party,181159,129027,71.2 %,5257,4.1%
Joura,4,GEN,Ummed Singh Bana,Indian National Congress,170849,114926,67.3 %,2753,2.4%
Sumawali,5,GEN,Gajraj Singh Sikarwar,Bharatiya Janta Party,176281,123120,69.8 %,12395,10.1%
Morena,6,GEN,Rustam Singh,Bharatiya Janta Party,214599,117319,54.7 %,16682,14.2%
Dimni,7,SC,Sandhya Ray,Bharatiya Janta Party,154121,87504,56.8 %,2564,2.9%
Ambah,8,SC,Bansilal Jatab,Bharatiya Janta Party,187499,96349,51.4 %,8461,8.8%
Gohad,9,SC,Lal Singh Arya,Bharatiya Janta Party,152607,84931,55.7 %,10649,12.5%
Mehgaon,10,GEN,Munna Singh,Independent,157316,97703,62.1 %,4362,4.5%
Attair,11,GEN,Satyadev Katare,Indian National Congress,182294,103580,56.8 %,10784,10.4%
Bhind,12,GEN,Narendra Singh Kushwah,Bharatiya Janta Party,240052,133196,55.5 %,16457,12.4%
Ron,13,GEN,Rasal Singh,Bharatiya Janta Party,141143,82305,58.3 %,3597,4.4%
Lahar,14,GEN,Dr. Govind Singh,Indian National Congress,190636,127266,66.8 %,4085,3.2%
Gwalior,15,GEN,Narendra Singh Tomar,Bharatiya Janta Party,238127,129700,54.5 %,34140,26.3%
Lashkar East,16,GEN,Anoop Mishra,Bharatiya Janta Party,126196,76633,60.7 %,12716,16.6%
Lashkar West,17,GEN,Narayan Singh Kushwah S/o Parma,Bharatiya Janta Party,147365,91668,62.2 %,4913,5.4%
Morar,18,GEN,Dhyanendra Singh,Bharatiya Janta Party,185977,115921,62.3 %,12014,10.4%
Gird,19,GEN,Brajendra Tiwari,Bharatiya Janta Party,165673,114708,69.2 %,8584,7.5%
Dabra,20,GEN,Dr. Narottam Mishra,Bharatiya Janta Party,164934,119029,72.2 %,769,0.6%
Bhander,21,SC,Dr. Kamlapat Arya,Bharatiya Janta Party,153815,95375,62.0 %,12992,13.6%
Seondha,22,SC,Ram Dayal Prabhakar,Bharatiya Janta Party,162244,108159,66.7 %,18457,17.1%
Datia,23,GEN,Ghan Shyam Singh,Indian National Congress,156910,109803,70.0 %,2904,2.6%
Karera,24,GEN,Lakhan Singh Baghel,Bahujan Samaj Party,185739,133221,71.7 %,5340,4.0%
Pohri,25,GEN,Harivallabh Shukla,Rashtriya Samanta Dal,139988,94527,67.5 %,6040,6.4%
Shivpuri,26,GEN,Srimant Yashodhara Raje Scindia,Bharatiya Janta Party,193865,117976,60.9 %,25734,21.8%
Pichhore,27,GEN,"K.P.Singh ""kakka Ju""",Indian National Congress,191183,148848,77.9 %,16125,10.8%
Kolaras,28,SC,Om Prakash Khateek,Bharatiya Janta Party,167972,93275,55.5 %,32112,34.4%
