AC Name,AC No.,Type,District,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Sheopur,1,GEN,Sheopur,Durgalal Vijay,Bharatiya Janta Party,211106,156475,74.1 %,16427,10.5%
Vijaypur,2,GEN,Sheopur,Ramniwas Rawat,Indian National Congress,206706,150634,72.9 %,2149,1.4%
Sabalagadh,3,GEN,Morena,Meharban Singh Rawat,Bharatiya Janta Party,189924,134396,70.8 %,22504,16.7%
Jaura,4,GEN,Morena,Subedar Singh,Bharatiya Janta Party,216510,145457,67.2 %,2498,1.7%
Sumaoli,5,GEN,Morena,Satyapal Singh,Bharatiya Janta Party,217710,153654,70.6 %,14076,9.2%
Morena,6,GEN,Morena,Rustam Singh,Bharatiya Janta Party,238306,140027,58.8 %,1704,1.2%
Dimani,7,GEN,Morena,Balveer Singh Dandotiya,Bahujan Samaj Party,190550,124021,65.1 %,2106,1.7%
Ambah,8,SC,Morena,Satyaprakash,Bahujan Samaj Party,195862,110064,56.2 %,11288,10.3%
Ater,9,GEN,Bhind,Satyadev Katare,Indian National Congress,195207,112663,57.7 %,11426,10.1%
Bhind,10,GEN,Bhind,Narendra Singh Kushwah,Bharatiya Janta Party,222954,124442,55.8 %,5993,4.8%
Lahar,11,GEN,Bhind,Dr. Govind Singh,Indian National Congress,222330,144255,64.9 %,6273,4.3%
Mehgaon,12,GEN,Bhind,Choudhary Mukesh Singh Chaturvedi,Bharatiya Janta Party,229490,140823,61.4 %,1273,0.9%
Gohad,13,SC,Bhind,Lal Singh Arya,Bharatiya Janta Party,191584,112618,58.8 %,19814,17.6%
Gwalior Rural,14,GEN,Gwalior,Bharat Singh Kushwah,Bharatiya Janta Party,201403,123663,61.4 %,11938,9.7%
Gwalior,15,GEN,Gwalior,Jai Bhan Singh Pawaiya,Bharatiya Janta Party,257605,154326,59.9 %,15561,10.1%
Gwalior East,16,GEN,Gwalior,Maya Singh (MAMI),Bharatiya Janta Party,266208,140975,53.0 %,1147,0.8%
Gwalior South,17,GEN,Gwalior,Narayan Singh Kushwah,Bharatiya Janta Party,232836,130544,56.1 %,16267,12.5%
Bhitrwar,18,GEN,Gwalior,Lakhan Singh Yadav,Indian National Congress,201621,139487,69.2 %,6548,4.7%
Dabara,19,SC,Gwalior,Imarti Devi,Indian National Congress,198189,126034,63.6 %,33278,26.4%
Sewda,20,GEN,Datia,Pradeep Agarwal,Bharatiya Janta Party,163587,116631,71.3 %,8809,7.6%
Bhander,21,SC,Datia,Ghanshyam Pironiya,Bharatiya Janta Party,160266,97054,60.6 %,7651,7.9%
Datia,22,GEN,Datia,Dr. Narottam Mishra,Bharatiya Janta Party,171174,125352,73.2 %,11697,9.3%
Karera,23,SC,Shivpuri,Smt Shakuntla Khatik,Indian National Congress,229576,161534,70.4 %,10320,6.4%
Pohari,24,GEN,Shivpuri,Prahlad Bharti,Bharatiya Janta Party,211755,151707,71.6 %,3625,2.4%
Shivpuri,25,GEN,Shivpuri,Yashodhara Raje Scindhiya,Bharatiya Janta Party,223951,149500,66.8 %,11145,7.5%
Pichhore,26,GEN,Shivpuri,K.P.Singh Kakkaju,Indian National Congress,220263,173038,78.6 %,7113,4.1%
Kolaras,27,GEN,Shivpuri,Ram Singh Yadav,Indian National Congress,221157,159179,72.0 %,24953,15.7%
Bamori,28,GEN,Guna,Mahendra Singh Sisodia (SANJU BHAIYA),Indian National Congress,182994,138777,75.8 %,18561,13.4%
Guna,29,SC,Guna,Pannalal Shakya,Bharatiya Janta Party,194321,129281,66.5 %,45111,34.9%
Chachoda,30,GEN,Guna,Mamta Meena,Bharatiya Janta Party,196475,142213,72.4 %,34901,24.5%
Raghogarh,31,GEN,Guna,Jaivardhan Singh,Indian National Congress,195398,145916,74.7 %,58204,39.9%
Ashok Nagar,32,SC,Ashoknagar,Gopilal Jatav,Bharatiya Janta Party,178635,125939,70.5 %,3348,2.7%
Chanderi,33,GEN,Ashoknagar,Gopal Singh Chauhan Daggi Raja,Indian National Congress,168670,124121,73.6 %,30318,24.4%
Mungaoli,34,GEN,Ashoknagar,Mahendra Singh Kalukheda,Indian National Congress,180085,137932,76.6 %,20765,15.1%
Bina,35,SC,Sagar,Mahesh Rai,Bharatiya Janta Party,168051,117932,70.2 %,18769,15.9%
Khurai,36,GEN,Sagar,Bhoopendra Bhaiya,Bharatiya Janta Party,180404,136254,75.5 %,6084,4.5%
Surkhi,37,GEN,Sagar,Parul Sahu Kesari,Bharatiya Janta Party,185058,134867,72.9 %,141,0.1%
Deori,38,GEN,Sagar,Harsh Yadav,Indian National Congress,189801,134608,70.9 %,22080,16.4%
Rehli,39,GEN,Sagar,Gopal Bhargava,Bharatiya Janta Party,213489,159678,74.8 %,51765,32.4%
Naryawali,40,SC,Sagar,Engg Pradeep Lariya,Bharatiya Janta Party,209257,130969,62.6 %,16046,12.3%
Sagar,41,GEN,Sagar,Shailendra Jain,Bharatiya Janta Party,195462,124395,63.6 %,8223,6.6%
Banda,42,GEN,Sagar,Harvansh (SUKKU BHAIYA),Bharatiya Janta Party,212851,144869,68.1 %,17880,12.3%
Tikamgarh,43,GEN,Tikamgarh,K K Shrivastava,Bharatiya Janta Party,188786,134661,71.3 %,16889,12.5%
Jatara,44,SC,Tikamgarh,Ahirwar Dinesh Kumar,Indian National Congress,182623,126447,69.2 %,233,0.2%
Prithvipur,45,GEN,Tikamgarh,Anita-Sunil Nayak,Bharatiya Janta Party,174422,132332,75.9 %,8627,6.5%
Niwari,46,GEN,Tikamgarh,Anil Jain,Bharatiya Janta Party,173341,123298,71.1 %,27209,22.1%
Khargapur,47,GEN,Tikamgarh,Chanda - Surendra Singh Gaur,Indian National Congress,206630,138698,67.1 %,5677,4.1%
Maharajpur,48,GEN,Chhatarpur,Manvendra Singh,Bharatiya Janta Party,195119,125582,64.4 %,15721,12.5%
Chandla,49,SC,Chhatarpur,R D Prajapati,Bharatiya Janta Party,195588,116898,59.8 %,37397,32.0%
Rajnagar,50,GEN,Chhatarpur,Kun. Vikram Singh Urf. Nati Raja,Indian National Congress,200933,125971,62.7 %,8607,6.8%
Chhatarpur,51,GEN,Chhatarpur,Lalita Yadav,Bharatiya Janta Party,190134,124329,65.4 %,2217,1.8%
Bijawar,52,GEN,Chhatarpur,Guddan Pathak (PUSHPENDRA NATH),Bharatiya Janta Party,185142,125047,67.5 %,10379,8.3%
Malhara,53,GEN,Chhatarpur,Ahir Rekha Yadav,Bharatiya Janta Party,191882,129411,67.4 %,1514,1.2%
Pathariya,54,GEN,Damoh,Lakhan Patel,Bharatiya Janta Party,198374,140673,70.9 %,7315,5.2%
Damoh,55,GEN,Damoh,Jayant Malaiya,Bharatiya Janta Party,212833,151546,71.2 %,4953,3.3%
Jabera,56,GEN,Damoh,Pratap Singh,Indian National Congress,199822,146866,73.5 %,11896,8.1%
Hatta,57,SC,Damoh,Umadevi-Lalchand Khatik,Bharatiya Janta Party,201349,127443,63.3 %,2852,2.2%
Pawai,58,GEN,Panna,Pandit Mukesh Nayak,Indian National Congress,242407,171738,70.8 %,11695,6.8%
Gunnour,59,SC,Panna,Mahendra Singh,Bharatiya Janta Party,196363,121739,62.0 %,1337,1.1%
Panna,60,GEN,Panna,Kusum Singh Mahdele,Bharatiya Janta Party,217048,145542,67.1 %,29036,20.0%
Chitrakoot,61,GEN,Satna,Prem Singh,Indian National Congress,185594,123529,66.6 %,10970,8.9%
Raigaon,62,SC,Satna,Usha Choudhary,Bahujan Samaj Party,183280,119859,65.4 %,4109,3.4%
Satna,63,GEN,Satna,Shankarlal Tiwari,Bharatiya Janta Party,216863,133586,61.6 %,15332,11.5%
Nagod,64,GEN,Satna,Yadavendra Singh,Indian National Congress,194920,147475,75.7 %,10064,6.8%
Maihar,65,GEN,Satna,Narayan Prasad,Indian National Congress,211794,153113,72.3 %,6975,4.6%
Amarpatan,66,GEN,Satna,Rajendra Kumar Singh Dadabhai,Indian National Congress,206890,145621,70.4 %,11739,8.1%
Rampur Baghelan,67,GEN,Satna,Harsh Singh,Bharatiya Janta Party,216849,150997,69.6 %,24255,16.1%
Sirmour,68,GEN,Rewa,Divyaraj Singh,Bharatiya Janta Party,181932,116570,64.1 %,5288,4.5%
Semariya,69,GEN,Rewa,Neelam Abhey Mishra,Bharatiya Janta Party,181361,120005,66.2 %,5977,5.0%
Teonthar,70,GEN,Rewa,Pd. Ramakant Tiwari,Bharatiya Janta Party,184193,120396,65.4 %,9757,8.1%
Mauganj,71,GEN,Rewa,Sukhendra Singh (BANNA),Indian National Congress,186651,117044,62.7 %,10766,9.2%
Deotalab,72,GEN,Rewa,Girish Gautam,Bharatiya Janta Party,205360,121441,59.1 %,3885,3.2%
Mangawan,73,SC,Rewa,Sheela Tyagi,Bahujan Samaj Party,206834,119776,57.9 %,275,0.2%
Rewa,74,GEN,Rewa,Rajendra Shukla,Bharatiya Janta Party,195025,119466,61.3 %,37546,31.4%
Gurh,75,GEN,Rewa,Sundar Lal Tiwari,Indian National Congress,193296,132307,68.4 %,1382,1.0%
