AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Sawantwadi,1,GEN,Bhonsle Pravin Prataprao,Indian National Congress,148673,111342,74.9 %,8474,7.6%
Vengurla,2,GEN,Kambali Shankar Shivaram,Shiv Sena,132482,100046,75.5 %,15975,16.0%
Malvan,3,GEN,Rane Narayan Tatu,Shiv Sena,125187,99994,79.9 %,21767,21.8%
Devgad,4,GEN,Janardan Moreshwar Gogate,Bharatiya Janta Party,114549,93526,81.6 %,19205,20.5%
Rajapur,5,GEN,Appa Alias Vijayrao Salvi,Shiv Sena,135879,103609,76.3 %,30615,29.5%
Ratnagiri,6,GEN,Gotad Shivaji Ramchandra,Bharatiya Janta Party,175354,124546,71.0 %,26850,21.6%
Sangameshwar,7,GEN,Mane Ravindra Muralidhar,Shiv Sena,142513,109209,76.6 %,23246,21.3%
Guhagar,8,GEN,Dr. Natu Vinay Shridhar,Bharatiya Janta Party,136899,102068,74.6 %,37412,36.7%
Chiplun,9,GEN,Bhaskar Bhaurao Jadhav,Shiv Sena,131164,104333,79.5 %,7319,7.0%
Khed,10,GEN,Kadam Ramdas Gangaram,Shiv Sena,130500,102517,78.6 %,36975,36.1%
Dapoli,11,GEN,Dalvi Suryakant Shivram,Shiv Sena,132072,106238,80.4 %,27436,25.8%
Mahad,12,GEN,Prabhakar More,Shiv Sena,129904,104316,80.3 %,20582,19.7%
Shriwardhan,13,GEN,Sawant Shyam Tukaram,Shiv Sena,150902,118271,78.4 %,17691,15.0%
Mangaon,14,GEN,Tatkare Sunil Dattatreya,Indian National Congress,139635,109600,78.5 %,13394,12.2%
Pen,15,GEN,Mohan Mahadev Patil,Peasants & Workers Party,166076,123755,74.5 %,993,0.8%
Alibag,16,GEN,Meenakshi Patil,Peasants & Workers Party,187773,140294,74.7 %,23189,16.5%
Panvel,17,GEN,Vivek Patil,Peasants & Workers Party,227728,165335,72.6 %,12866,7.8%
Khalapur,18,GEN,Devendra Vitthal Satam,Shiv Sena,198800,146647,73.8 %,14792,10.1%
Colaba,19,GEN,Dhatrak Ashok Gangaram,Indian National Congress,116901,57132,48.9 %,8078,14.1%
Umarkhadi,20,GEN,Patel Bashir Moosa,Samajwadi Party,115328,62435,54.1 %,1606,2.6%
Mubadevi,21,GEN,Raj K. Purohit,Bharatiya Janta Party,93183,51824,55.6 %,17638,34.0%
Khetwadi,22,GEN,Raichura Mohan D.,Bharatiya Janta Party,106913,66000,61.7 %,12886,19.5%
Opera House,23,GEN,Padwal Chandrakant Shankar,Shiv Sena,94518,57483,60.8 %,18719,32.6%
Malbar Hill,24,GEN,Mangal Prabhat Lodha,Bharatiya Janta Party,159727,91979,57.6 %,1918,2.1%
Chinchpokli,25,GEN,Faiyaz Ahmed,Janata Dal,131936,73514,55.7 %,4917,6.7%
Nagpada,26,GEN,Lokhandwala M. Suhail Haji Umer,Samajwadi Party,121490,69876,57.5 %,2306,3.3%
Mazgaon,27,GEN,Bala Nandgaonkar,Shiv Sena,122138,80016,65.5 %,12275,15.3%
Parel,28,GEN,Desai Suryakant Gangaram,Shiv Sena,137336,92270,67.2 %,24513,26.6%
Shivadi,29,GEN,Rane Dattatraya Mahadeo,Bharatiya Janta Party,146791,91604,62.4 %,16405,17.9%
Worli,30,GEN,Datta Nalawade,Shiv Sena,132793,88432,66.6 %,21535,24.4%
