AC Name,AC No.,Type,District,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Akkalkuwa,1,ST,Nandurbar,Padavi Adv. K.C.,Indian National Congress,247070,175092,70.9 %,15775,9.0%
Shahada,2,ST,Nandurbar,Padvi Udesing Kocharu,Bharatiya Janta Party,286284,186613,65.2 %,719,0.4%
Nandurbar,3,ST,Nandurbar,Gavit Vijaykumar Krushnarao,Bharatiya Janta Party,311938,193633,62.1 %,27118,14.0%
Nawapur,4,ST,Nandurbar,Naik Surupsing Hirya,Indian National Congress,266023,197826,74.4 %,21817,11.0%
Sakri,5,ST,Dhule,Ahire Dhanaji Sitaram Or D.S.Ahire,Indian National Congress,307588,191943,62.4 %,3323,1.7%
Dhule Rural,6,GEN,Dhule,Kunal (BABA) ROHIDAS PATIL,Indian National Congress,350813,234369,66.8 %,46082,19.7%
Dhule City,7,GEN,Dhule,Anil Anna Gote,Bharatiya Janta Party,286197,155589,54.4 %,12928,8.3%
Sindkheda,8,GEN,Dhule,Jaykumar Jitendrasinh Rawal,Bharatiya Janta Party,307051,198868,64.8 %,42158,21.2%
Shirpur,9,ST,Dhule,Kashiram Vechan Pawara,Indian National Congress,295731,196259,66.4 %,25201,12.8%
Chopda,10,ST,Jalgaon,Sonawane Chandrakant Baliram,Shiv Sena,278766,187721,67.3 %,11935,6.4%
Raver,11,GEN,Jalgaon,Haribhau Madhav Jawale,Bharatiya Janta Party,275148,183765,66.8 %,10000,5.4%
Bhusawal,12,GEN,Jalgaon,Sawakare Sanjay Waman,Bharatiya Janta Party,275319,156397,56.8 %,34637,22.1%
Jalgaon City,13,GEN,Jalgaon,Suresh Damu Bhole (RAJUMAMA),Bharatiya Janta Party,336418,187536,55.7 %,42314,22.6%
Jalgaon Rural,14,GEN,Jalgaon,Patil Gulab Raghunath,Shiv Sena,287092,189762,66.1 %,31367,16.5%
Amalner,15,GEN,Jalgaon,Shirishdada Hiralal Chaudhari,Independent,265354,169873,64.0 %,21239,12.5%
Erandol,16,GEN,Jalgaon,Annasaheb Dr. Satish Bhaskarrao Patil,Nationalist Congress Party,256555,169399,66.0 %,1983,1.2%
Chalisgaon,17,GEN,Jalgaon,Unmesh Bhaiyyasaheb Patil,Bharatiya Janta Party,323433,209855,64.9 %,22380,10.7%
Pachora,18,GEN,Jalgaon,Kishor Appa Patil,Shiv Sena,288379,189644,65.8 %,28403,15.0%
Jamner,19,GEN,Jalgaon,Girish Dattatray Mahajan,Bharatiya Janta Party,278317,194548,69.9 %,35768,18.4%
Muktainagar,20,GEN,Jalgaon,Khadse Eknathrao Ganpatrao,Bharatiya Janta Party,266972,183527,68.7 %,9708,5.3%
Malkapur,21,GEN,Buldana,Chainsukh Madanlal Sancheti,Bharatiya Janta Party,252597,168452,66.7 %,26946,16.0%
Buldhana,22,GEN,Buldana,Harshwardhan Vasantrao Sapkal,Indian National Congress,272778,163937,60.1 %,11661,7.1%
Chikhli,23,GEN,Buldana,Rahul Siddhavinayak Bondre,Indian National Congress,265512,181903,68.5 %,14061,7.7%
Sindkhed Raja,24,GEN,Buldana,Dr. Khedekar Shashikant Narsingrao,Shiv Sena,283614,184066,64.9 %,18854,10.2%
Mehkar,25,SC,Buldana,Sanjay Bhashkar Raimulkar,Shiv Sena,280156,167976,60.0 %,35935,21.4%
Khamgaon,26,GEN,Buldana,Akash Pandurang Fundkar,Bharatiya Janta Party,265413,196832,74.2 %,7061,3.6%
Jalgaon (Jamod),27,GEN,Buldana,Kute Dr. Sanjay Shriram,Bharatiya Janta Party,262561,191180,72.8 %,4695,2.5%
Akot,28,GEN,Akola,Bharsakle Prakash Gunvantrao,Bharatiya Janta Party,271909,165683,60.9 %,31411,19.0%
Balapur,29,GEN,Akola,Baliram Bhagwan Sirskar,Bharipa Bahujan Mahasangh,280085,168666,60.2 %,6939,4.1%
Akola West,30,GEN,Akola,Govardhan Mangilal Sharma,Bharatiya Janta Party,276433,143123,51.8 %,39953,27.9%
