AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Khundrakpam,1,GEN,Lairellakpam Lala,Samata Party,19753,17054,86.3 %,434,2.5%
Heingang,2,GEN,Nongthombam Biren,Democratic Revolutionary Peoples Party,22847,20334,89.0 %,248,1.2%
Khurai,3,GEN,Ningthoujam Bihari Singh,Federal Party Of Manipur,24184,21343,88.3 %,1297,6.1%
Khetrigao,4,GEN,Vivekraj Wangkhem,Manipur State Congress Party,24313,22113,91.0 %,372,1.7%
Thongju,5,GEN,Bijoy Koijam,Manipur State Congress Party,23391,21534,92.1 %,1781,8.3%
Keirao,6,GEN,Md. Alauddin Khan,Indian National Congress,19864,19003,95.7 %,1522,8.0%
Andro,7,GEN,Salam Chandra Singh,Federal Party Of Manipur,22931,21482,93.7 %,214,1.0%
Lamlai,8,GEN,Pheiroijam Parijat,Communist Party Of India,20811,18757,90.1 %,195,1.0%
Thangmeiband,9,GEN,Meinam Bhorot Singh,Bharatiya Janta Party,22739,17292,76.0 %,1620,9.4%
Uripok,10,GEN,Laishram Nandakumar Singh,Indian National Congress,18494,15190,82.1 %,2297,15.1%
Sagolband,11,GEN,Soram Natum Singh,Manipur National Conference,19926,15721,78.9 %,822,5.2%
Keisamthong,12,GEN,L. Ibomcha Singh,Federal Party Of Manipur,24071,20998,87.2 %,87,0.4%
Singjamei,13,GEN,I. Hemochandra Singh,Federal Party Of Manipur,17906,15854,88.5 %,978,6.2%
Yaiskul,14,GEN,R.K. Dorendra Singh,Bharatiya Janta Party,21816,18013,82.6 %,1126,6.3%
Wangkhei,15,GEN,Erabot Yumkham,Manipur State Congress Party,26993,22550,83.5 %,499,2.2%
Sekmai,16,SC,Ningthoujam Biren,Federal Party Of Manipur,20038,17867,89.2 %,1284,7.2%
Lamsang,17,GEN,Wangkheimayum Brajabidhu Singh,Indian National Congress,23936,21803,91.1 %,2280,10.5%
Konthoujam,18,GEN,Dr. Thokchom Meinya,Democratic Revolutionary Peoples Party,22326,20582,92.2 %,929,4.5%
Patsoi,19,GEN,Moirangthem Nabadwip,Communist Party Of India,24962,21955,88.0 %,922,4.2%
Langthabal,20,GEN,Okram Joy Singh,Mahabharat Peples Party,19251,17911,93.0 %,739,4.1%
Naoriya Pakhanglakpa,21,GEN,Wahengbam Leima Devi,Indian National Congress,25117,23434,93.3 %,722,3.1%
Wangoi,22,GEN,Yumnam Mani Singh,Manipur State Congress Party,19393,18551,95.7 %,615,3.3%
Mayang Imphal,23,GEN,Meinam Nilchandra Singh,Federal Party Of Manipur,20039,18674,93.2 %,76,0.4%
Nambol,24,GEN,Nameirakpam Loken Singh,Indian National Congress,24922,23183,93.0 %,938,4.0%
Oinam,25,GEN,Laishram Radhakishore Singh,Nationalist Congress Party,21803,19589,89.8 %,587,3.0%
Bishenpur,26,GEN,Konthoujam Govindas Singh,Manipur State Congress Party,23784,21858,91.9 %,1285,5.9%
Moirang,27,GEN,Salam Gopal Singh,Federal Party Of Manipur,28201,26261,93.1 %,1371,5.2%
Thanga,28,GEN,Salam Ibohal,Federal Party Of Manipur,17886,16518,92.4 %,16,0.1%
Kumbi,29,GEN,Ningthoujam Mangi Singh,Communist Party Of India,21759,19296,88.7 %,630,3.3%
Lilong,30,GEN,Dr. Md. Maniruddin Shaikh,Indian National Congress,21162,19565,92.5 %,1495,7.6%
Thoubal,31,GEN,Leitanthem Tomba,Federal Party Of Manipur,22722,20968,92.3 %,725,3.5%
Wangkhem,32,GEN,Dr. Nimai Chand Luwang,Mahabharat Peples Party,22170,21056,95.0 %,74,0.4%
Heirok,33,GEN,Nongmeikapam Sovakiran Singh,Federal Party Of Manipur,22094,20344,92.1 %,604,3.0%
Wangjing Tentha,34,GEN,Moirangthem Nara,Communist Party Of India,23412,21429,91.5 %,1529,7.1%
Khangabo,35,GEN,Okram Ibobi Singh,Indian National Congress,24966,24237,97.1 %,2330,9.6%
Wabgai,36,GEN,Md. Abdul Salam,Indian National Congress,21170,19830,93.7 %,16,0.1%
Kakching,37,GEN,Thokchom Tomba,Communist Party Of India,21162,18306,86.5 %,1894,10.3%
Hiyanglam,38,GEN,Elangbam Biramani Singh,Nationalist Congress Party,21126,19497,92.3 %,1254,6.4%
Sugnoo,39,GEN,Kangujam Ranjit,Indian National Congress,21444,19171,89.4 %,1643,8.6%
Jiribam,40,GEN,Th. Debendra,Indian National Congress,24444,17619,72.1 %,939,5.3%
Chandel,41,ST,B.D. Behring,Bharatiya Janta Party,37521,35956,95.8 %,14469,40.2%
Tengnoupal,42,ST,D.K. Korungthang,Samata Party,33451,33040,98.8 %,1611,4.9%
Phungyar,43,ST,Wungnaoshang,Manipur State Congress Party,22342,19582,87.6 %,1009,5.2%
Ukhrul,44,ST,D. Shaiza,Bharatiya Janta Party,30002,24147,80.5 %,4262,17.7%
Chingai,45,ST,A. Aza,Indian National Congress,32038,28079,87.6 %,467,1.7%
Saikul,46,ST,Chungkhokai Doungel,Nationalist Congress Party,31251,28490,91.2 %,2162,7.6%
Karong,47,ST,P.S. Henry Paotei,Federal Party Of Manipur,44304,43417,98.0 %,1304,3.0%
Mao,48,ST,R.K. Thekho,Indian National Congress,44706,43858,98.1 %,451,1.0%
Tadubi,49,ST,Francis Ngajokpa,Indian National Congress,36571,35635,97.4 %,350,1.0%
Kangpokpi,50,GEN,Thangminlien,Federal Party Of Manipur,26369,23436,88.9 %,3396,14.5%
Saitu,51,ST,Ngamthang Haokip,Indian National Congress,33153,31853,96.1 %,5316,16.7%
Tamei,52,ST,Z. Mangaibou,Indian National Congress,24962,23906,95.8 %,1151,4.8%
Tamenglong,53,ST,Samuel Jendai,Federal Party Of Manipur,20724,18106,87.4 %,2394,13.2%
Nungba,54,ST,Gaikhangam,Indian National Congress,17248,15423,89.4 %,892,5.8%
Tipaimukh,55,ST,Dr. Chaltonlien,Indian National Congress,14297,11319,79.2 %,36,0.3%
Thanlon,56,ST,Songchinkhup,Indian National Congress,16741,13453,80.4 %,1008,7.5%
Henglep,57,ST,T Manga Vaiphei,Samata Party,22431,20717,92.4 %,3998,19.3%
Churachandpur,58,ST,T. Phungzathang,Indian National Congress,38634,32476,84.1 %,228,0.7%
Saikot,59,ST,T. N. Haokip,Indian National Congress,35162,32558,92.6 %,4733,14.5%
Singhat,60,ST,Thangso Baite,Manipur State Congress Party,21684,19067,87.9 %,1501,7.9%
