AC Name,AC No.,Type,District,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Khundrakpam,1,GEN,Imphal,Thokchom Lokeshwar Singh,Indian National Congress,22312,18598,83.4 %,5504,29.6%
Heingang,2,GEN,Imphal,N. Biren,Indian National Congress,26694,23054,86.4 %,2082,9.0%
Khurai,3,GEN,Imphal,Dr. Ng. Bijoy Singh,Indian National Congress,28973,25865,89.3 %,5089,19.7%
Kshetrigao,4,GEN,Imphal,Md. Amin Shah,Indian National Congress,28675,25493,88.9 %,2994,11.7%
Thongju,5,GEN,Imphal,Thongam Biswajit Singh,All India Trinamool Congress,27476,24630,89.6 %,603,2.4%
Keirao,6,GEN,Imphal,Karam Thamarjit Singh,Manipur State Congress Party,25179,22899,90.9 %,1450,6.3%
Andro,7,GEN,Imphal,Thounaojam Shyamkumar,All India Trinamool Congress,28289,25006,88.4 %,10432,41.7%
Lamlai,8,GEN,Imphal,Kshetrimayum Biren Singh,Indian National Congress,24833,23035,92.8 %,1784,7.7%
Thangmeiband,9,GEN,Imphal West,Khumukcham Joykisan Singh,All India Trinamool Congress,27215,21301,78.3 %,984,4.6%
Uripok,10,GEN,Imphal West,L. Nandakumar Singh,Indian National Congress,21458,17470,81.4 %,1085,6.2%
Sagolband,11,GEN,Imphal West,Rajkumar Imo Singh,Manipur State Congress Party,22557,18095,80.2 %,419,2.3%
Keishamthong,12,GEN,Imphal West,L. Ibomcha Singh,Nationalist Congress Party,25440,20950,82.4 %,1459,7.0%
Singjamei,13,GEN,Imphal West,Irengbam Hemochandra Singh,Indian National Congress,19259,16074,83.5 %,157,1.0%
Yaiskul,14,GEN,Imphal,Elangbam Chand Singh,Indian National Congress,23579,19770,83.8 %,325,1.6%
Wangkhei,15,GEN,Imphal,Yumkham Erabot Singh,Indian National Congress,30860,24555,79.6 %,1576,6.4%
Sekmai,16,SC,Imphal West,Khwairakpam Devendro Singh,Indian National Congress,23534,20733,88.1 %,655,3.2%
Lamsang,17,GEN,Imphal West,Wangkheimayum Brajabidhu Singh,Indian National Congress,27347,24896,91.0 %,3144,12.6%
Konthoujam,18,GEN,Imphal West,Konthoujam Sharat Singh,All India Trinamool Congress,26249,23560,89.8 %,514,2.2%
Patsoi,19,GEN,Imphal West,Akoijam Mirabai Devi,Indian National Congress,31235,27077,86.7 %,5547,20.5%
Langthabal,20,GEN,Imphal West,Karam Shyam,Lok Jan Shakti Party,24381,21174,86.8 %,1035,4.9%
Naoriya Pakhanglakpa,21,GEN,Imphal West,R.K. Anand,Indian National Congress,31157,26617,85.4 %,2015,7.6%
Wangoi,22,GEN,Imphal West,Oinam Lukhoi Singh,All India Trinamool Congress,25719,23656,92.0 %,182,0.8%
Mayang Imphal,23,GEN,Imphal West,Khumujam Ratankumar Singh,Indian National Congress,25575,23584,92.2 %,791,3.4%
Nambol,24,GEN,Bishnupur,Shri Nameirakpam Loken Singh,Indian National Congress,29094,26716,91.8 %,806,3.0%
Oinam,25,GEN,Bishnupur,Irengbam Ibohalbi Singh,All India Trinamool Congress,25174,22915,91.0 %,956,4.2%
Bishnupur,26,GEN,Bishnupur,Konthoujam Govindas,Indian National Congress,27826,24080,86.5 %,6653,27.6%
Moirang,27,GEN,Bishnupur,Mairembam Prithviraj Singh,Indian National Congress,33603,27884,83.0 %,1158,4.2%
Thanga,28,GEN,Bishnupur,Tongbram Mangibabu,Indian National Congress,20271,18253,90.0 %,171,0.9%
Kumbi,29,GEN,Bishnupur,Sanasam Bira Singh,Indian National Congress,24928,21395,85.8 %,1015,4.7%
Lilong,30,GEN,Thoubal,Md. Abdul Nasir,Indian National Congress,27849,25233,90.6 %,3957,15.7%
Thoubal,31,GEN,Thoubal,Okram Ibobi Singh,Indian National Congress,27236,23046,84.6 %,15453,67.1%
Wangkhem,32,GEN,Thoubal,Keisham Meghachandra Singh,Indian National Congress,26866,23900,89.0 %,2956,12.4%
Heirok,33,GEN,Thoubal,Moirangthem Okendro,Indian National Congress,26503,25435,96.0 %,5771,22.7%
Wangjing Tentha,34,GEN,Thoubal,Paonam Brojen,Manipur State Congress Party,29094,26829,92.2 %,3753,14.0%
Khangabok,35,GEN,Thoubal,Okram Landhoni Devi,Indian National Congress,30641,26959,88.0 %,9871,36.6%
Wabgai,36,GEN,Thoubal,Md. Fajur Rahim,Indian National Congress,24837,22904,92.2 %,3348,14.6%
Kakching,37,GEN,Thoubal,Yengkhom Surchandra Singh,Indian National Congress,23746,20177,85.0 %,4909,24.3%
Hiyanglam,38,GEN,Thoubal,Maibam Kunjo,All India Trinamool Congress,22825,21099,92.4 %,17,0.1%
Sugnu,39,GEN,Thoubal,Kangujam Ranjit Singh,Indian National Congress,22940,19883,86.7 %,7955,40.0%
Jiribam,40,GEN,Imphal,Thoudam Debendra Singh,Indian National Congress,24825,19255,77.6 %,1078,5.6%
Chandel,41,ST,Chandel,St. Nunghlung Victor,Naga Peoples Front,44762,35650,79.6 %,166,0.5%
Tengnoupal,42,ST,Chandel,D. Korungthang,Indian National Congress,49457,30422,61.5 %,6627,21.8%
