AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
War-Jaintia,1,ST,Shri. Riang Lenon Tariang,United Democratic Party,24172,17350,71.8 %,1220,7.0%
Rymbai,2,ST,Nehlang Lyngdoh,Indian National Congress,32502,26067,80.2 %,4252,16.3%
Sutnga-Shangpung,3,ST,Shitlang Pale,Indian National Congress,22616,17865,79.0 %,2460,13.8%
Raliang,4,ST,Shri. Mihsalan Suchiang,United Democratic Party,25960,20839,80.3 %,1158,5.6%
Nartiang,5,ST,Shri. Draison Kharshiing,Meghalaya Democratic Party,24051,18368,76.4 %,335,1.8%
Nongbah-Wahiajer,6,ST,Shri. Kyrmen Susngi,United Democratic Party,22569,17964,79.6 %,1781,9.9%
Jowai,7,ST,Shri. Singh Mulieh,United Democratic Party,23636,18182,76.9 %,661,3.6%
Mawhati,8,ST,Shri. Phingwell Muktieh,Indian National Congress,19618,14153,72.1 %,751,5.3%
Umroi,9,ST,Shri. Stanlywiss Rymbai,Indian National Congress,24802,15628,63.0 %,1093,7.0%
Nongpoh,10,ST,Shri. D.D.Lapang,Indian National Congress,23400,15311,65.4 %,1708,11.2%
Jirang,11,ST,Shri. J.Dringwel Rymbai,Indian National Congress,22562,13967,61.9 %,1201,8.6%
Mairang,12,ST,Shri. Boldness L.Nongrum,Indian National Congress,25659,19606,76.4 %,798,4.1%
Nongspung,13,ST,Shri. John Anthony Lyngdoh,United Democratic Party,22886,16024,70.0 %,2100,13.1%
Sohiong,14,ST,Shri. H.Donkupar R. Lyngdoh,Indian National Congress,24675,18004,73.0 %,2309,12.8%
Mylliem,15,ST,Shri. Pynshai M. Syiem,Independent,21339,14252,66.8 %,2549,17.9%
Malki-Nongthymmai,16,ST,Shri. Tony Curtis Lyngdoh,Indian National Congress,23119,11327,49.0 %,2592,22.9%
Laitumkhirah,17,ST,Shri. Robert Garnett Lyngdoh,Indian National Congress,18896,8602,45.5 %,3094,36.0%
Pynthorumkhrah,18,GEN,Shri. A.L.Hek,Bharatiya Janta Party,28190,15437,54.8 %,7159,46.4%
Jaiaw,19,ST,Shri. Paul Lyngdoh,Khun Hynnieutrip National Awakaning Movement,17771,10264,57.8 %,3590,35.0%
Mawkhar,20,ST,Shri. Friday Lyngdoh,Indian National Congress,11688,6053,51.8 %,2418,39.9%
Mawprem,21,GEN,Shri. Ardhendu Choudhuri,Nationalist Congress Party,20243,10423,51.5 %,1157,11.1%
Laban,22,GEN,Shri. Thrang Hok Rangad,Bharatiya Janta Party,15178,8367,55.1 %,2909,34.8%
Mawlai,23,ST,Shri. Process T.Sawkmie,Meghalaya Democratic Party,26266,16391,62.4 %,1782,10.9%
Sohryngkham,24,ST,Shri. Charles Pyngrope,Indian National Congress,21244,15166,71.4 %,227,1.5%
