AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Tuipang,1,ST,Hiphei,Indian National Congress,6935,5521,79.6 %,1292.0,23.4%
Saiha,2,ST,S. Hiato,Indian National Congress,8843,6481,73.3 %,753.0,11.6%
Sangau,3,ST,H. Rammawi,Peoples Conference,6624,4955,74.8 %,76.0,1.5%
Lawngtlai,4,ST,F. Lalramliana,Indian National Congress,12337,8397,68.1 %,449.0,5.3%
Chawngte,5,ST,Nirupam Chakma,Indian National Congress,9835,RU,,,
Tlabung,6,ST,Harikristo,Indian National Congress,8544,5492,64.3 %,691.0,12.6%
Buarpui,7,ST,P. Lalbiaka,Indian National Congress,7078,5195,73.4 %,255.0,4.9%
Lunglei South,8,GEN,H. Lalruata,Independent,7486,5088,68.0 %,1264.0,24.8%
Lunglei North,9,ST,L. Ngurchhina,Independent,7736,5734,74.1 %,711.0,12.4%
Tawipui,10,ST,Siamliana,Independent,8073,6336,78.5 %,1299.0,20.5%
Vanva,11,ST,K. Thanfianga,Independent,5742,4687,81.6 %,521.0,11.1%
Hnahthial,12,ST,Vanlalnghaka,Indian National Congress,6937,5257,75.8 %,257.0,4.9%
North Vanlaiphai,13,ST,Lalrinmawia,Independent,6539,5047,77.2 %,437.0,8.7%
Khawbung,14,ST,K. Vanlalauva,Independent,8963,6822,76.1 %,268.0,3.9%
Champhai,15,ST,Zoramthanga,Independent,11254,8835,78.5 %,1275.0,14.4%
Khawhai,16,ST,R. Lalawia,Independent,5746,4672,81.3 %,187.0,4.0%
Saitual,17,ST,Andrew L. Herliana,Independent,5347,4606,86.1 %,649.0,14.1%
Khawzawl,18,ST,Tawnluia,Independent,6911,5308,76.8 %,1741.0,32.8%
Ngopa,19,ST,Zosiama Pachuau,Peoples Conference,9786,7794,79.6 %,553.0,7.1%
Suangpuilawn,20,ST,Vanlalngena,Indian National Congress,6310,5272,83.5 %,20.0,0.4%
Ratu,21,ST,Lalrinchhana,Independent,9665,7368,76.2 %,832.0,11.3%
Kawnpui,22,ST,Lalkhawnghma,Independent,9422,7383,78.4 %,406.0,5.5%
Kolasib,23,ST,Aichhinga,Independent,7735,5636,72.9 %,1124.0,19.9%
Bilkhawthlir,24,ST,Vanlalhruaia,Independent,5237,4315,82.4 %,144.0,3.3%
Lokicherra,25,GEN,J. Thanghuama,Independent,6097,4775,78.3 %,668.0,14.0%
Kawrthah,26,ST,Saikapthianga,Indian National Congress,5511,4553,82.6 %,743.0,16.3%
Mamit,27,ST,K. Zahungliana,Independent,7313,5880,80.4 %,231.0,3.9%
Phuldungsei,28,ST,Liansuama,Indian National Congress,8627,6449,74.8 %,954.0,14.8%
Sateek,29,ST,Laldenga,Independent,7122,5718,80.3 %,1621.0,28.3%
Serchhip,30,ST,Lalthanhawla,Indian National Congress,8763,7302,83.3 %,231.0,3.2%
Lungpho,31,ST,K. L. Lianchia,Peoples Conference,7625,5809,76.2 %,288.0,5.0%
Tlungvel,32,ST,P. C. Zoramsangliana,Indian National Congress,5825,4880,83.8 %,283.0,5.8%
Aizawl North-I,33,ST,Lalhlimpuii,Independent,7723,6150,79.6 %,306.0,5.0%
Aizawl North Ii,34,ST,Laldenga,Independent,9386,6399,68.2 %,410.0,6.4%
Aizawl East-I,35,ST,Saingura Sailo,Independent,10161,6426,63.2 %,351.0,5.5%
Aizawl East-Ii,36,ST,Rokamlova,Indian National Congress,8204,5283,64.4 %,104.0,2.0%
Aizawl West I,37,ST,H. Hrangdawla,Independent,11203,7285,65.0 %,1299.0,17.8%
Aizawl West-Ii,38,ST,Rualchhina,Independent,9345,6800,72.8 %,1403.0,20.6%
Aizawl South - I,39,ST,R. Tlanghmingthanga,Independent,10011,6655,66.5 %,1328.0,20.0%
Aizawl South - Ii,40,ST,Chawngzuala,Independent,10065,6991,69.5 %,1693.0,24.2%
