AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Tuipang,1,ST,K. Rokhaw,Independent,8718,7289,83.6 %,153,2.1%
Saiha,2,ST,Zakhu Hlychho,Mizo National Front,11758,9652,82.1 %,876,9.1%
Sangau,3,ST,S. T. Rualyapa,Indian National Congress,6711,5799,86.4 %,125,2.2%
Lawngtlai,4,ST,T. Hranghluta,Mizo National Front,17153,13625,79.4 %,92,0.7%
Chawngte,5,ST,Nirupam,Indian National Congress,15093,10499,69.6 %,3759,35.8%
Tlabung,6,ST,Harikristo Chakma,Indian National Congress,12322,8992,73.0 %,2653,29.5%
Buarpui,7,ST,P. Lalbiaka,Indian National Congress,9145,7499,82.0 %,949,12.7%
Lunglei South,8,GEN,H. Lalruata,Mizo National Front,9082,7147,78.7 %,466,6.5%
Lunglei North,9,ST,R. Lalthangliana,Mizo National Front,9664,7655,79.2 %,392,5.1%
Tawipui,10,ST,F. Lalzuala,Mizo National Front,8984,7559,84.1 %,422,5.6%
Vanva,11,ST,H. Thangkima,Independent,5961,5029,84.4 %,311,6.2%
Hnahthial,12,ST,L. P. Thangzika,Mizo National Front,7620,6095,80.0 %,184,3.0%
North Vanlaiphai,13,ST,C. L. Ruala,Indian National Congress,7279,5823,80.0 %,48,0.8%
Khawbung,14,ST,Hrangthanga Colney,Independent,8882,7126,80.2 %,452,6.3%
Champhai,15,ST,Zoramthanga,Mizo National Front,13911,11327,81.4 %,235,2.1%
Khawhai,16,ST,Lalbiakzuala,Indian National Congress,5784,4715,81.5 %,570,12.1%
Saitual,17,ST,C. Chawngkunga,Independent,7748,6310,81.4 %,622,9.9%
Khawzawl,18,ST,C. Vulluaia,Independent,8378,7019,83.8 %,46,0.7%
Ngopa,19,ST,H. Zathuama,Independent,10257,8424,82.1 %,726,8.6%
Suangpuilawn,20,ST,F. Lawmkiam,Independent,6052,4996,82.6 %,173,3.5%
Ratu,21,ST,Lalrinchhana,Mizo National Front,10122,8212,81.1 %,22,0.3%
Kawnpui,22,ST,R. L. Valla,Indian National Congress,9921,8333,84.0 %,18,0.2%
Kolasib,23,ST,Zosiama Pachuau,Independent,9934,8427,84.8 %,447,5.3%
Bilkhawthlir,24,ST,Vaivenga,Indian National Congress,7969,6798,85.3 %,457,6.7%
Lokicherra,25,ST,John Rotluangliana,Indian National Congress,7697,6859,89.1 %,563,8.2%
Kawrthah,26,ST,Saikapthianga,Indian National Congress,7976,6855,85.9 %,1863,27.2%
Mamit,27,ST,Lalthuthanga,Indian National Congress,9178,7739,84.3 %,139,1.8%
Phuldungsei,28,ST,Liansuama,Indian National Congress,11423,9397,82.3 %,1618,17.2%
Sateek,29,ST,B. Lalthengliana,Mizo National Front,9715,8068,83.0 %,399,4.9%
Serchhip,30,ST,Lal Thanhawla,Indian National Congress,11364,9347,82.3 %,1286,13.8%
Lungpho,31,ST,P. C. Bawitluanga,Indian National Congress,8536,7225,84.6 %,555,7.7%
Tlungvel,32,ST,P. C. Zoramsangliana,Indian National Congress,7581,6562,86.6 %,242,3.7%
Aizawl North-I,33,ST,Lalhmingthanga,Independent,10858,8994,82.8 %,544,6.0%
Aizawl North Ii,34,ST,F. Malsawma,Mizo National Front,12969,10189,78.6 %,328,3.2%
Aizawl East-I,35,ST,J. Lalsangzuala,Indian National Congress,12033,9092,75.6 %,269,3.0%
Aizawl East-Ii,36,ST,F. Lalremsiama,Mizo National Front,10117,7672,75.8 %,40,0.5%
Aizawl West I,37,ST,Lalkhana,Mizo National Front,15345,11603,75.6 %,1122,9.7%
Aizawl West-Ii,38,ST,J. V. Hluna,Independent,13140,10220,77.8 %,52,0.5%
Aizawl South - I,39,ST,R. Tlanghmingthanga,Mizo National Front,12603,9956,79.0 %,557,5.6%
Aizawl South - Ii,40,ST,Lalsawta,Mizo National Front,12686,10205,80.4 %,883,8.7%
