AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Dimapur-I,1,GEN,Vikheshe Sema,Indian National Congress,31463,18251,58.0 %,6867,37.6%
Dimapur-Ii,2,ST,Imtisunget Jamir,Indian National Congress,31264,23087,73.8 %,14387,62.3%
Dimapur-Iii,3,ST,K. Kihoto Hollohon,Nagaland Peoples Council,11055,8552,77.4 %,513,6.0%
Ghaspani-I,4,ST,Khekiho,Nagaland Peoples Council,33270,22498,67.6 %,1201,5.3%
Ghaspani-Ii,5,ST,L. Hekiye Sema,Indian National Congress,15585,14536,93.3 %,2384,16.4%
Tenning,6,ST,T. R. Zeliang,Nagaland Peoples Council,8616,8556,99.3 %,666,7.8%
Peren,7,ST,Bangdi Iheilung,Nagaland Peoples Council,10361,9299,89.8 %,807,8.7%
Western Angami,8,ST,N. T. Nakhro,Nagaland Peoples Council,8933,6572,73.6 %,548,8.3%
Kohima Town,9,ST,K. V. Kedetsu,Nagaland Peoples Council,15472,10346,66.9 %,225,2.2%
Northern Angami - I,10,ST,Tseivilie Miachieo,Indian National Congress,7216,5901,81.8 %,738,12.5%
Northern Angami -Ii,11,ST,Neiphiu Rio,Indian National Congress,9795,8562,87.4 %,303,3.5%
Tseminyu,12,ST,Khasu,Nagaland Peoples Council,8676,8209,94.6 %,551,6.7%
Pughoboto,13,ST,Joshua,Nagaland Peoples Council,6535,5979,91.5 %,323,5.4%
Southern Angami-I,14,ST,Mavil Khieya,Indian National Congress,6891,6169,89.5 %,367,5.9%
Southern Angami-Ii,15,ST,Vizadel,Nagaland Peoples Council,6253,5372,85.9 %,102,1.9%
Pfutsero,16,ST,Thenucho,Nagaland Peoples Council,8932,7642,85.6 %,89,1.2%
Chizami,17,ST,Keivezu G. Kenye,Nagaland Peoples Council,8164,7756,95.0 %,150,1.9%
Chazouba,18,ST,Melhupra Vero,Indian National Congress,11043,9727,88.1 %,111,1.1%
Phek,19,ST,Zachilhu,Indian National Congress,8816,7535,85.5 %,808,10.7%
