AC Name,AC No.,Type,District,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Dimapur-I,1,GEN,Dimapur,H. Tovihoto Ayemi,Bharatiya Janta Party,22694,18237,80.4 %,6600,36.2%
Dimapur-Ii,2,ST,Dimapur,Moatoshi Longkumer,Naga Peoples Front,51843,38156,73.6 %,6939,18.2%
Dimapur-Iii,3,ST,Dimapur,Azheto Zhimomi,Naga Peoples Front,32967,26821,81.4 %,2138,8.0%
Ghaspani-I,4,ST,Dimapur,N. Jacob Zhimomi,Bharatiya Janta Party,65643,51917,79.1 %,2595,5.0%
Ghaspani-Ii,5,ST,Dimapur,Zhaleo Rio,Nationalist Democratic Progressive Party,26260,22615,86.1 %,4916,21.7%
Tenning,6,ST,Peren,Namduadi Rangkau Zeliang,Naga Peoples Front,26464,20544,77.6 %,32,0.2%
Peren,7,ST,Peren,Taditui Rangkau Zeliang,Naga Peoples Front,29081,22696,78.0 %,5432,23.9%
Western Angami,8,ST,Kohima,Keneizhakho Nakhro,Naga Peoples Front,16887,13838,81.9 %,694,5.0%
Kohima Town,9,ST,Kohima,Dr.Neikiesalie Nicky Kire,Nationalist Democratic Progressive Party,31489,22838,72.5 %,2372,10.4%
Northern Angami-I,10,ST,Kohima,Khriehu Liezietsu,Naga Peoples Front,17014,13048,76.7 %,2516,19.3%
Northern Angami-Ii,11,ST,Kohima,Neiphiu Rio,Nationalist Democratic Progressive Party,20965,1,0.0 %,1,100.0%
Tseminyu,12,ST,Kohima,R. Khing,Nationalist Democratic Progressive Party,24294,21963,90.4 %,863,3.9%
Pughoboto,13,ST,Kohima,Y. Vikheho Swu,Naga Peoples Front,13364,12502,93.5 %,70,0.6%
Southern Angami-I,14,ST,Kohima,Vikho-O YhoshÃƒÂœ,Nationalist Democratic Progressive Party,13354,11263,84.3 %,2082,18.5%
Southern Angami-Ii,15,ST,Kohima,Zale Neikha,Nationalist Democratic Progressive Party,17469,14355,82.2 %,771,5.4%
Pfutsero,16,ST,Phek,Neiba Kronu,Nationalist Democratic Progressive Party,20596,16841,81.8 %,1314,7.8%
Chizami,17,ST,Phek,Kezhienyi Khalo,Naga Peoples Front,16972,15199,89.6 %,403,2.7%
Chozuba,18,ST,Phek,Chotisuh Sazo,Naga Peoples Front,24181,21922,90.7 %,942,4.3%
Phek,19,ST,Phek,Kuzholuzo Nienu,Naga Peoples Front,21021,17649,84.0 %,4931,27.9%
Meluri,20,ST,Phek,Yitachu,Naga Peoples Front,16921,16401,96.9 %,74,0.5%
Tuli,21,ST,Mokokchung,Amenba Yaden,Naga Peoples Front,17224,14442,83.8 %,886,6.1%
Arkakong,22,ST,Mokokchung,Shri Imnatiba,National People's Party,16290,14311,87.9 %,793,5.5%
Impur,23,ST,Mokokchung,Dr Imtiwapang Aier,Naga Peoples Front,10061,9642,95.8 %,62,0.6%
Angetyongpang,24,ST,Mokokchung,Tongpang Ozukum,Independent,15480,12457,80.5 %,950,7.6%
Mongoya,25,ST,Mokokchung,Ngangshi K Ao,Naga Peoples Front,15918,13569,85.2 %,348,2.6%
Aonglenden,26,ST,Mokokchung,Imtikumzuk,Nationalist Democratic Progressive Party,12091,10324,85.4 %,88,0.9%
Mokokchung Town,27,ST,Mokokchung,Metsubo Jamir,Nationalist Democratic Progressive Party,7129,5579,78.3 %,1004,18.0%
Koridang,28,ST,Mokokchung,Imkong L Imchen,Naga Peoples Front,17254,15671,90.8 %,128,0.8%
Jangpetkong,29,ST,Mokokchung,Longrineken,Bharatiya Janta Party,11103,10139,91.3 %,276,2.7%
Alongtaki,30,ST,Mokokchung,Temjen Imna Along,Bharatiya Janta Party,14332,11876,82.9 %,86,0.7%
Akuluto,31,ST,Zunheboto,Kazheto Kinimi,Bharatiya Janta Party,9981,8953,89.7 %,735,8.2%
