AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Karanjia,1,ST,Ajit Hembram,Biju Janata Dal,136830,93648,68.4 %,9256,9.9%
Jashipur,2,ST,Shambhu Nath Naik,Independent,125566,88095,70.2 %,5302,6.0%
Bahalda,3,ST,Prahlad Purty,Jharkhand Mukti Morcha,127993,79804,62.4 %,825,1.0%
Rairangpur,4,ST,Droupadi Murmu,Bharatiya Janta Party,131315,89669,68.3 %,42,0.0%
Bangriposi,5,ST,Chaitanya Prasad Majhi,Biju Janata Dal,140836,100556,71.4 %,5425,5.4%
Kuliana,6,ST,Sananda Marndi,Bharatiya Janta Party,144305,109964,76.2 %,3755,3.4%
Baripada,7,GEN,Bimal Lochan Das,Jharkhand Mukti Morcha,172065,126088,73.3 %,14066,11.2%
Baisinga,8,ST,Pramila Giri,Bharatiya Janta Party,146747,108055,73.6 %,2162,2.0%
Khunta,9,ST,Golak Bihari Naik,Bharatiya Janta Party,148129,107910,72.8 %,9971,9.2%
Udala,10,ST,Bhaskar Madhei,Bharatiya Janta Party,148464,101114,68.1 %,5916,5.9%
Bhograi,11,GEN,Ananta Das,Biju Janata Dal,202370,140420,69.4 %,1680,1.2%
Jaleswar,12,GEN,Aswini Kumar Patra,Bharatiya Janta Party,218902,164566,75.2 %,8928,5.4%
Basta,13,GEN,Raghunath Mohanty,Biju Janata Dal,185722,136719,73.6 %,36110,26.4%
Balasore,14,GEN,Arun Dey,Orissa Gana Parishad,232407,154771,66.6 %,585,0.4%
Soro,15,GEN,Kartik Mahapatra,Indian National Congress,196129,135999,69.3 %,858,0.6%
Simulia,16,GEN,Padma Lochan Panda,Indian National Congress,190477,131148,68.9 %,3840,2.9%
Nilgiri,17,GEN,Pratap Chandra Sarangi,Bharatiya Janta Party,192053,135032,70.3 %,18752,13.9%
Bhandaripokhari,18,SC,Ananta Sethi,Indian National Congress,172524,124056,71.9 %,1546,1.2%
