AC Name,AC No.,Type,District,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Padampur,1,GEN,Bargarh,Bijaya Ranjan Singh Bariha,Biju Janata Dal,203723,153818,75.5 %,18066,11.7%
Bijepur,2,GEN,Bargarh,Subal Sahu,Indian National Congress,197953,139013,70.2 %,8971,6.5%
Bargarh,3,GEN,Bargarh,Sadhu Nepak,Indian National Congress,179864,115791,64.4 %,1969,1.7%
Attabira,4,SC,Bargarh,Nihar Ranjan Mahananda,Indian National Congress,189144,124590,65.9 %,13329,10.7%
Bhatli,5,GEN,Bargarh,Susanta Singh,Biju Janata Dal,191751,142093,74.1 %,4771,3.4%
Brajarajnagar,6,GEN,Jharsuguda,Anup Kumar Sai,Indian National Congress,182972,116396,63.6 %,1742,1.5%
Jharsuguda,7,GEN,Jharsuguda,Naba Kishore Das,Indian National Congress,174867,127145,72.7 %,22516,17.7%
Talsara,8,ST,Sundargarh,Dr. Prafulla Majhi,Indian National Congress,170190,110619,65.0 %,19741,17.8%
Sundargarh,9,ST,Sundargarh,Jogesh Kumar Singh,Indian National Congress,192345,125654,65.3 %,20930,16.7%
Biramitrapur,10,ST,Sundargarh,George Tirkey,Independent,180533,124071,68.7 %,20811,16.8%
Raghunathpali,11,SC,Sundargarh,Subrat Tarai,Biju Janata Dal,150781,77501,51.4 %,18171,23.4%
Rourkela,12,GEN,Sundargarh,Sarada Prasad Nayak,Biju Janata Dal,180969,86430,47.8 %,25596,29.6%
Rajgangapur,13,ST,Sundargarh,Gregory Minz,Indian National Congress,189380,115147,60.8 %,4115,3.6%
Bonai,14,ST,Sundargarh,Bhimsen Choudhury,Bharatiya Janta Party,184757,127242,68.9 %,3356,2.6%
Kuchinda,15,ST,Sambalpur,Rajendra Kumar Chhatria,Indian National Congress,186764,125896,67.4 %,12712,10.1%
Rengali,16,SC,Sambalpur,Duryodhan Gardia,Indian National Congress,163614,103847,63.5 %,13784,13.3%
Sambalpur,17,GEN,Sambalpur,Jayanarayan Mishra,Bharatiya Janta Party,172608,78371,45.4 %,7010,8.9%
Rairakhol,18,GEN,Sambalpur,Prasanna Acharya,Biju Janata Dal,168733,107552,63.7 %,9764,9.1%
Deogarh,19,GEN,Debagarh,Sanjeeb Kumar Pradhan,Biju Janata Dal,195927,139181,71.0 %,10705,7.7%
