AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Muthialpet,1,GEN,S. Anandavelu,All India Anna Dravida Munnetra Kazhagam,28606,20141,70.4 %,2911,14.5%
Cassicade,2,GEN,P. Kannan,Independent,15966,10623,66.5 %,3306,31.1%
Raj Bhavan,3,GEN,S.P. Sivakumar,Dravida Munetra Kazhagam,7157,4721,66.0 %,1538,32.6%
Bussy,4,GEN,C.M. Achraff,Indian National Congress,8108,4940,60.9 %,830,16.8%
Oupalam,5,GEN,S. Rathinam @ Manohar,Tamil Maanila Congress (MOOPANAR),19290,14032,72.7 %,1000,7.1%
Orleampeth,6,GEN,R. Siva,Dravida Munetra Kazhagam,24977,17129,68.6 %,2998,17.5%
Nellithope,7,GEN,R.V. Janakiraman,Dravida Munetra Kazhagam,24531,17279,70.4 %,1449,8.4%
Modeliarpeth,8,GEN,M. Manjini,Communist Party Of India,32940,23760,72.1 %,3102,13.1%
Ariankuppam,9,GEN,S. Ramsingh,Pattali Makkal Katchi,25491,20304,79.7 %,1053,5.2%
Embalom,10,SC,R. Rajaraman,Janata Dal,17964,14107,78.5 %,4857,34.4%
Nettapakkam,11,GEN,V. Vaithilingam,Indian National Congress,17182,14396,83.8 %,2527,17.6%
Kuruvinatham,12,GEN,T. Thiagarajan,Indian National Congress,17587,15394,87.5 %,187,1.2%
Bahour,13,SC,M. Kandasamy,Tamil Maanila Congress (MOOPANAR),18664,15658,83.9 %,700,4.5%
Thirubuvanai,14,SC,S. Arasi,All India Anna Dravida Munnetra Kazhagam,20715,16439,79.4 %,121,0.7%
Mannadipeth,15,GEN,K. Rajasegaran,Tamil Maanila Congress (MOOPANAR),19718,16344,82.9 %,1247,7.6%
Ossudu,16,SC,V. Nagarathinam,Tamil Maanila Congress (MOOPANAR),18038,14484,80.3 %,2148,14.8%
Villenour,17,GEN,C. Jayakumar,Tamil Maanila Congress (MOOPANAR),23166,19403,83.8 %,5696,29.4%
Ozhukarai,18,GEN,K. Natarajan,All India Anna Dravida Munnetra Kazhagam,26363,20018,75.9 %,1542,7.7%
Thattanchavady,19,GEN,N. Rangasamy,Indian National Congress,32803,23936,73.0 %,2290,9.6%
Reddiarpalayam,20,GEN,R. Viswanathan,Communist Party Of India,43254,27396,63.3 %,11240,41.0%
Lawspet,21,GEN,N. Kesavan,Dravida Munetra Kazhagam,43218,31249,72.3 %,6231,19.9%
Cotchery,22,GEN,R. Nalamagarajan,Indian National Congress,20957,16628,79.3 %,1662,10.0%
Karaikal,23,GEN,A.M.H. Nazeem,Dravida Munetra Kazhagam,20155,13835,68.6 %,6528,47.2%
Karaikal South,24,GEN,A.V. Subramanian,Indian National Congress,15658,11936,76.2 %,1959,16.4%
Neravy-Grand Aldee,25,GEN,V.M.C. Sivakumar,Dravida Munetra Kazhagam,18678,14668,78.5 %,3210,21.9%
Tirunallar,26,GEN,R. Kamalakannan,Indian National Congress,16107,12796,79.4 %,1125,8.8%
Neduncadu,27,SC,A. Marimuthu,Dravida Munetra Kazhagam,15457,12937,83.7 %,1783,13.8%
Mahe,28,GEN,E. Valsaraj,Indian National Congress,12164,9339,76.8 %,269,2.9%
Palloor,29,GEN,A.V. Sreedharan,Indian National Congress,12864,9679,75.2 %,1324,13.7%
Yanam,30,GEN,Malladi Krishna Rao,Independent,15857,13758,86.8 %,4843,35.2%
