AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Fatehgarh,1,GEN,Nirmal Singh,Independent,110698,82970,75.0 %,5536,6.7%
Batala,2,GEN,Jagdish,Bharatiya Janta Party,130145,89860,69.0 %,13857,15.4%
Qadian,3,GEN,Natha Singh Dalam,Shiromani Akali Dal,131298,94523,72.0 %,5663,6.0%
Srihargobindpur,4,GEN,Balbir Singh,Shiromani Akali Dal,106090,71137,67.1 %,24989,35.1%
Kahnuwan,5,GEN,Sewa Singh Sekhwan,Shiromani Akali Dal,112812,81502,72.2 %,6755,8.3%
Dhariwal,6,GEN,Sucha Singh Langah,Shiromani Akali Dal,117425,85062,72.4 %,4479,5.3%
Gurdaspur,7,GEN,Kartar Singh Pahra,Shiromani Akali Dal,130216,88016,67.6 %,17107,19.4%
Dina Nagar,8,SC,Roop Rani,Bharatiya Janta Party,124892,75556,60.5 %,27818,36.8%
Narot Mehra,9,SC,Ram Lal,Bharatiya Janta Party,106958,70189,65.6 %,21252,30.3%
Pathankot,10,GEN,Mohan Lal,Bharatiya Janta Party,123297,82711,67.1 %,14716,17.8%
Sujanpur,11,GEN,Satpal Saini,Bharatiya Janta Party,119889,85810,71.6 %,10034,11.7%
Beas,12,GEN,Manmohan Singh,Shiromani Akali Dal,126962,91722,72.2 %,1827,2.0%
Majitha,13,GEN,Parkash Singh,Shiromani Akali Dal,116382,88158,75.7 %,2831,3.2%
Verka,14,SC,Ujagar Singh,Shiromani Akali Dal,165207,93809,56.8 %,31445,33.5%
Jandiala,15,SC,Ajaypal Singh Mirankot,Shiromani Akali Dal,145055,92821,64.0 %,19760,21.3%
Amritsar North,16,GEN,Baldev Raj Chawla,Bharatiya Janta Party,114372,59968,52.4 %,16732,27.9%
Amritsar West,17,GEN,Om Parkash Soni,Independent,183163,107564,58.7 %,13671,12.7%
Amritsar Central,18,GEN,Laxmi Kanta Chawla,Bharatiya Janta Party,83232,50771,61.0 %,14583,28.7%
Amritsar South,19,GEN,Manjit Singh Calcutta,Shiromani Akali Dal,140221,77599,55.3 %,14495,18.7%
Ajnala,20,GEN,Rattan Singh,Shiromani Akali Dal,134221,102467,76.3 %,1711,1.7%
Raja Sansi,21,GEN,Vir Singh Lopoke,Shiromani Akali Dal,112257,85695,76.3 %,20655,24.1%
Attari,22,SC,Gulzar Singh,Shiromani Akali Dal,107125,70340,65.7 %,41178,58.5%
Tarn Taran,23,GEN,Prem Singh Lalpur,Shiromani Akali Dal,120879,77100,63.8 %,25219,32.7%
Khadoor Sahib,24,SC,Ranjit Singh,Shiromani Akali Dal,114193,74413,65.2 %,33290,44.7%
Naushahra Panwan,25,GEN,Ranjit Singh,Shiromani Akali Dal,103296,68702,66.5 %,31596,46.0%
