AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Bhadra,1,GEN,Sanjeev Kumar,Indian National Congress,157764,118554,75.1 %,2544,2.1%
Nohar,2,GEN,Suchitra Arya,Indian National Congress,173329,123585,71.3 %,15570,12.6%
Tibi,3,SC,Aad Ram,Indian National Congress,180119,120427,66.9 %,8201,6.8%
Hanumangarh,4,GEN,Ram Pratap,Bharatiya Janta Party,183639,127764,69.6 %,3356,2.6%
Sangaria,5,GEN,Krishan Chander,Indian National Congress,169894,126953,74.7 %,79,0.1%
Ganganagar,6,GEN,Radheyshyam Ganganagar,Indian National Congress,146217,97034,66.4 %,6587,6.8%
Kesrisinghpur,7,SC,Hira Lal Indora,Indian National Congress,107884,76614,71.0 %,3434,4.5%
Karanpur,8,GEN,Gurmeet Singh,Indian National Congress,105528,82258,77.9 %,1092,1.3%
Raisinghnagar,9,SC,Nihal Chand,Bharatiya Janta Party,142219,98259,69.1 %,8114,8.3%
Pilibanga,10,GEN,Harchand Singh Sidhu,Indian National Congress,171819,126182,73.4 %,4530,3.6%
Suratgarh,11,GEN,Vijay Laxmi Bishnoi,Indian National Congress,303706,207076,68.2 %,15925,7.7%
Lunkaransar,12,GEN,Bhim Sain,Indian National Congress,295365,176258,59.7 %,6212,3.5%
Bikaner,13,GEN,Bulaki Das Kalla,Indian National Congress,147668,99538,67.4 %,19675,19.8%
Kolayat,14,GEN,Devi Singh Bhati,Bharatiya Janta Party,277100,160010,57.7 %,1609,1.0%
Nokha,15,SC,Rewant Ram Panwar,Indian National Congress,206623,94567,45.8 %,14151,15.0%
Dungargarh,16,GEN,Mangla Ram Godara,Indian National Congress,158935,109657,69.0 %,17777,16.2%
Sujangarh,17,SC,Master Bhanwar Lal,Indian National Congress,164458,102190,62.1 %,14165,13.9%
Ratangarh,18,GEN,Jaidev Prasad Indoria,Indian National Congress,130347,89798,68.9 %,377,0.4%
Sardarshahar,19,GEN,Bhanwar Lal Sharma,Indian National Congress,164464,109568,66.6 %,37550,34.3%
Churu,20,GEN,Rajendra Rathore,Bharatiya Janta Party,146029,105965,72.6 %,6278,5.9%
Taranagar,21,GEN,Chandan Mal Baid,Indian National Congress,145144,100544,69.3 %,1224,1.2%
Sadulpur,22,GEN,Ram Singh,Bharatiya Janta Party,139247,103760,74.5 %,4291,4.1%
Pilani,23,GEN,Sharwan Kumar,Indian National Congress,153765,112802,73.4 %,25502,22.6%
Surajgarh,24,SC,Hanuman Prasad,Indian National Congress,150168,108816,72.5 %,9021,8.3%
Khetri,25,GEN,Dr.Jitendra Singh,Indian National Congress,135753,93911,69.2 %,1335,1.4%
Gudha,26,GEN,Shivnath Singh,Indian National Congress,140555,100441,71.5 %,9354,9.3%
Nawalgarh,27,GEN,Bhanwar Singh,Indian National Congress,144206,95488,66.2 %,4159,4.4%
Jhunjhunu,28,GEN,Sumitra Singh,Independent,152820,100453,65.7 %,898,0.9%
Mandawa,29,GEN,Ramnarayan Choudhary,Indian National Congress,136595,87592,64.1 %,25713,29.4%
Fatehpur,30,GEN,Bhanwru Khan,Indian National Congress,144621,98579,68.2 %,31490,31.9%
Lachhmangarh,31,SC,Parasram Mordia,Indian National Congress,147271,102146,69.4 %,11108,10.9%
Sikar,32,GEN,Rajendra Pareek,Indian National Congress,175139,113811,65.0 %,17020,15.0%
Dhod,33,GEN,Amra Ram,Communist Party Of India (MARXIST),149716,104120,69.5 %,2840,2.7%
Danta - Ramgarh,34,GEN,Narayan Singh,Indian National Congress,158578,108753,68.6 %,18967,17.4%
Srimadhopur,35,GEN,Deependra Singh,Indian National Congress,153425,102833,67.0 %,10832,10.5%
Khandela,36,GEN,Mahadeo Singh,Indian National Congress,150455,105016,69.8 %,18585,17.7%
Neem-Ka-Thana,37,GEN,Mohan Lal Modi,Indian National Congress,153386,104777,68.3 %,1068,1.0%
Chomu,38,GEN,Bhagwan Sahai Saini,Indian National Congress,161329,116523,72.2 %,43674,37.5%
Amber,39,GEN,Sahadev Sharma,Indian National Congress,187316,116537,62.2 %,25447,21.8%
Jaipur Rural,40,GEN,Nawal Kishore Sharma,Indian National Congress,176227,100099,56.8 %,24843,24.8%
Hawamahal,41,GEN,Bhanwar Lal Sharma,Bharatiya Janta Party,108839,58700,53.9 %,7089,12.1%
Johribazar,42,GEN,Taqiuddin Ahmed,Indian National Congress,292348,143723,49.2 %,3113,2.2%
Kishanpole,43,GEN,Mahesh Joshi,Indian National Congress,247310,124516,50.3 %,22211,17.8%
Bani Park,44,GEN,Udai Singh Rathore,Indian National Congress,368861,179056,48.5 %,17045,9.5%
Phulera,45,GEN,Nanuram Kakaraliya,Indian National Congress,168772,109946,65.1 %,11859,10.8%
Dudu,46,SC,Babu Lal Nagar,Indian National Congress,143967,91720,63.7 %,24368,26.6%
Sanganer,47,GEN,Indira Mayaram,Indian National Congress,194945,111276,57.1 %,12096,10.9%
Phagi,48,SC,Ashok Tanvar,Indian National Congress,141171,85453,60.5 %,14566,17.0%
Lalsot,49,ST,Prasadi Lal,Indian National Congress,143603,93405,65.0 %,9716,10.4%
Sikrai,50,ST,Mahendra Kumar Meena,Indian National Congress,140248,79456,56.7 %,15010,18.9%
Bandikui,51,GEN,Shailendra Joshi,Indian National Congress,150405,102849,68.4 %,6210,6.0%
Dausa,52,SC,Nand Lal,Independent,143243,79112,55.2 %,816,1.0%
Bassi,53,GEN,Kanhaiya Lal,Bharatiya Janta Party,147377,107679,73.1 %,3620,3.4%
Jamwa Ramgarh,54,GEN,Ram Chandra,Indian National Congress,134533,93957,69.8 %,11148,11.9%
Bairath,55,GEN,Smt. Kamla,Indian National Congress,157208,104702,66.6 %,10453,10.0%
Kotputli,56,GEN,Raghuvir Singh,Bharatiya Janta Party,169151,109957,65.0 %,5552,5.0%
Bansur,57,GEN,Jagat Singh Dayama,Bahujan Samaj Party,146669,103817,70.8 %,438,0.4%
Behror,58,GEN,Dr. Karan Singh Yadav,Indian National Congress,135003,95376,70.6 %,35723,37.5%
Mandawar,59,GEN,Dr.Jaswant Singh Yadav,Bharatiya Janta Party,117784,83891,71.2 %,15826,18.9%
Tizara,60,GEN,Jagmal Singh Yadav,Rashtriya Janata Dal,158725,111440,70.2 %,367,0.3%
Khairthal,61,SC,Chandra Shekhar,Indian National Congress,134309,81249,60.5 %,5079,6.3%
Ramgarh,62,GEN,Gyan Dev Ahuja,Bharatiya Janta Party,126287,93856,74.3 %,4224,4.5%
Alwar,63,GEN,Jitendra Singh,Indian National Congress,179253,100976,56.3 %,32909,32.6%
Thanagazi,64,GEN,Krishan Murari Gangawat,Indian National Congress,121882,85146,69.9 %,7931,9.3%
Rajgarh,65,ST,Johari Lal,Indian National Congress,134068,93731,69.9 %,25906,27.6%
Kathumar,67,SC,Ramesh Chand,Indian National Congress,133718,92517,69.2 %,5334,5.8%
Kaman,68,GEN,Tayyab Hussain,Indian National Congress,113149,80634,71.3 %,4697,5.8%
