AC Name,AC No.,Type,District,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Sadulshahar,1,GEN,Ganganagar,Jagdish Chander,Indian National Congress,212577,183115,86.1 %,9676,5.3%
Ganganagar,2,GEN,Ganganagar,Raj Kumar Gaur,Independent,214368,168483,78.6 %,9180,5.4%
Karanpur,3,GEN,Ganganagar,Gurmeet Singh Kooner,Indian National Congress,217312,188297,86.6 %,28376,15.1%
Suratgarh,4,GEN,Ganganagar,Rampratap Kasniyan,Bharatiya Janta Party,219982,189606,86.2 %,10235,5.4%
Raisingh Nagar,5,SC,Ganganagar,Balveer Singh Luthra,Bharatiya Janta Party,237540,200750,84.5 %,33671,16.8%
Anupgarh,6,SC,Ganganagar,Santosh,Bharatiya Janta Party,219323,180314,82.2 %,21124,11.7%
Sangaria,7,GEN,Hanumangarh,Gurdeep Singh,Bharatiya Janta Party,228070,198759,87.1 %,6538,3.3%
Hanumangarh,8,GEN,Hanumangarh,Vinod Kumar,Indian National Congress,262816,221604,84.3 %,15522,7.0%
Pilibanga,9,SC,Hanumangarh,Dharmendra Kumar,Bharatiya Janta Party,257073,223776,87.0 %,278,0.1%
Nohar,10,GEN,Hanumangarh,Amit Chachan,Indian National Congress,240448,201754,83.9 %,13727,6.8%
Bhadra,11,GEN,Hanumangarh,Balwan Poonia,Communist Party Of India (Marxist),241281,199836,82.8 %,23153,11.6%
Khajuwala,12,SC,Bikaner,Govind Ram,Indian National Congress,197877,151305,76.5 %,31089,20.5%
Bikaner West,13,GEN,Bikaner,Bulaki Das Kalla,Indian National Congress,202442,156114,77.1 %,6190,4.0%
Bikaner East,14,GEN,Bikaner,Siddhi Kumari,Bharatiya Janta Party,218518,152507,69.8 %,7061,4.6%
Kolayat,15,GEN,Bikaner,Bhanwar Singh Bhati,Indian National Congress,218841,175721,80.3 %,11016,6.3%
Lunkaransar,16,GEN,Bikaner,Sumit Godara,Bharatiya Janta Party,217294,170820,78.6 %,10853,6.4%
Shree Dungargarh,17,GEN,Bikaner,Girdharilal,Communist Party Of India (Marxist),222542,174831,78.6 %,23896,13.7%
Nokha,18,GEN,Bikaner,Biharilal,Bharatiya Janta Party,236047,188680,79.9 %,8663,4.6%
Sadulpur,19,GEN,Churu,Krishna Poonia,Indian National Congress,213021,176387,82.8 %,18084,10.3%
Taranagar,20,GEN,Churu,Narendra Budaniya,Indian National Congress,227216,177641,78.2 %,12555,7.1%
Sardarshahar,21,GEN,Churu,Bhanwarlal Sharma,Indian National Congress,261208,202804,77.6 %,16816,8.3%
Churu,22,GEN,Churu,Rajendra Rathore,Bharatiya Janta Party,220401,178871,81.2 %,1850,1.0%
Ratangarh,23,GEN,Churu,Abhinesh Maharshi,Bharatiya Janta Party,239643,184105,76.8 %,11881,6.5%
Sujangarh,24,SC,Churu,Master Bhanwarlal Meghwal,Indian National Congress,251696,180117,71.6 %,38749,21.5%
Pilani,25,SC,Jhunjhunun,J.P. Chandelia,Indian National Congress,227241,159865,70.4 %,13539,8.5%
Surajgarh,26,GEN,Jhunjhunun,Subhash Poonia S/o Lokram Poonia,Bharatiya Janta Party,258214,193289,74.9 %,3425,1.8%
Jhunjhunu,27,GEN,Jhunjhunun,Brijendra Singh Ola,Indian National Congress,235323,167616,71.2 %,40565,24.2%
Mandawa,28,GEN,Jhunjhunun,Narendra Kumar,Bharatiya Janta Party,218035,164536,75.5 %,2346,1.4%
Nawalgarh,29,GEN,Jhunjhunun,Dr. Rajkumar Sharma,Indian National Congress,250507,184902,73.8 %,36500,19.7%
Udaipurwati,30,GEN,Jhunjhunun,Rajendrasingh Gudha,Bahujan Samaj Party,220446,172176,78.1 %,5534,3.2%
Khetri,31,GEN,Jhunjhunun,Jitendra Singh,Indian National Congress,200000,151763,75.9 %,957,0.6%
Fatehpur,32,GEN,Sikar,Hakam Ali Khan,Indian National Congress,225780,169462,75.1 %,860,0.5%
Lachhmangarh,33,GEN,Sikar,Govind Singh Dotasara,Indian National Congress,252217,188510,74.7 %,22052,11.7%
Dhod,34,SC,Sikar,Parasram Mordia,Indian National Congress,244581,188464,77.1 %,14053,7.5%
Sikar,35,GEN,Sikar,Rajendra Pareek,Indian National Congress,255614,188280,73.7 %,15180,8.1%
Dantaramgarh,36,GEN,Sikar,Virendra Singh,Indian National Congress,247604,187513,75.7 %,920,0.5%
Khandela,37,GEN,Sikar,Mahadeo Singh,Independent,235020,170269,72.4 %,4348,2.6%
Neem Ka Thana,38,GEN,Sikar,Suresh Modi,Indian National Congress,239251,177718,74.3 %,12615,7.1%
Srimadhopur,39,GEN,Sikar,Deependra Singh,Indian National Congress,249655,183911,73.7 %,11810,6.4%
Kotputli,40,GEN,Jaipur,Rajendra Singh Yadav,Indian National Congress,206656,158022,76.5 %,13876,8.8%
Viratnagar,41,GEN,Jaipur,Indraj Singh Gurjar,Indian National Congress,208116,154117,74.1 %,19367,12.6%
Shahpura,42,GEN,Jaipur,Alok Beniwal,Independent,207776,172569,83.1 %,3855,2.2%
Chomu,43,GEN,Jaipur,Ramlal Sharma,Bharatiya Janta Party,216358,184543,85.3 %,1288,0.7%
Phulera,44,GEN,Jaipur,Nirmal Kumawat,Bharatiya Janta Party,239036,180607,75.6 %,1132,0.6%
Dudu,45,SC,Jaipur,Babulal Nagar,Independent,224700,175957,78.3 %,14779,8.4%
Jhotwara,46,GEN,Jaipur,Lalchand Kataria,Indian National Congress,346556,259549,74.9 %,10747,4.1%
Amber,47,GEN,Jaipur,Satish Poonia,Bharatiya Janta Party,240083,197806,82.4 %,13276,6.7%
