AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Yoksam,1,GEN,Sanchaman Limboo,Sikkim Janata Parishad,3743,2582,69.0 %,198,7.7%
Tashiding,2,ST,Dawgyal Pentso Bhutia,Sikkim Janata Parishad,2716,1711,63.0 %,227,13.3%
Geyzing,3,GEN,Indra Bahadur Limboo,Sikkim Janata Parishad,3322,2621,78.9 %,168,6.4%
Dentam,4,GEN,Padam Lal Gurung,Sikkim Congress (R),3253,2343,72.0 %,570,24.3%
Barmiok,5,GEN,Til Bahadur Limbu,Sikkim Janata Parishad,3108,2209,71.1 %,269,12.2%
Rinchenpong,6,ST,Katuk Bhutia,Sikkim Janata Parishad,3677,2303,62.6 %,118,5.1%
Chakung,7,GEN,B.B. Gurung,Sikkim Congress (R),3509,2541,72.4 %,1227,48.3%
Soreong,8,GEN,Nar Bahadur Bhandari,Sikkim Janata Parishad,4387,2720,62.0 %,1458,53.6%
Daramdin,9,GEN,Padam Bahadur Gurung,Sikkim Janata Parishad,3723,2711,72.8 %,1447,53.4%
Jorthang-Nayabazar,10,GEN,Bhim Bahadur Gurung,Sikkim Congress (R),4208,3253,77.3 %,61,1.9%
Ralong,11,ST,Chamla Tshering,Sikkim Congress (R),2530,1753,69.3 %,67,3.8%
Wak,12,GEN,Garjaman Gurung,Sikkim Prajatantra Congress,2770,1653,59.7 %,96,5.8%
Damthang,13,GEN,Pradeep Yanzone,Sikkim Congress (R),3788,2662,70.3 %,39,1.5%
Melli,14,GEN,Mohan Prasad Sharma,Sikkim Janata Parishad,3394,2620,77.2 %,141,5.4%
Rateypani - West Pendam,15,SC,Bir Bahadur Lohar,Sikkim Congress (R),4127,2681,65.0 %,564,21.0%
Temi-Tarku,16,GEN,Nar Bahadur Khatiwada,Sikkim Prajatantra Congress,3136,2118,67.5 %,307,14.5%
Central Pendam-East Pendam,17,GEN,Bhuwani Prasad Kharel,Sikkim Congress (R),6076,3719,61.2 %,571,15.4%
Rhenock,18,GEN,Kharananda Upreti,Sikkim Congress (R),3214,2267,70.5 %,146,6.4%
Regu,19,GEN,Tulshi Sharma,Sikkim Janata Parishad,4179,2505,59.9 %,62,2.5%
Pathing,20,ST,Ram Lepcha,Sikkim Congress (R),3774,2527,67.0 %,188,7.4%
Loosing Pachekhani,21,GEN,Jagat Bandhu Pradhan,Sikkim Congress (R),3660,2091,57.1 %,555,26.5%
Khamdong,22,SC,Dal Bahadur Damai,Sikkim Prajatantra Congress,3304,2633,79.7 %,174,6.6%
Djongu,23,ST,Athup Lepcha,Sikkim Janata Parishad,2921,1991,68.2 %,362,18.2%
Lachen Mangshila,24,ST,Tenzing Dadul Bhutia,Sikkim Janata Parishad,3811,2033,53.3 %,339,16.7%
Kabi Tingda,25,ST,Sonam Tshering,Sikkim Janata Parishad,2860,1742,60.9 %,139,8.0%
Rakdong Tintek,26,ST,Dugo Bhutia,Sikkim Prajatantra Congress,3816,2507,65.7 %,889,35.5%
Martam,27,ST,Samten Tshering,Sikkim Janata Parishad,3586,2045,57.0 %,134,6.6%
Rumtek,28,ST,Dadul Bhutia,Sikkim Janata Parishad,4316,2549,59.1 %,346,13.6%
Assam Lingjey,29,ST,Sherab Palden,Sikkim Janata Parishad,3113,1822,58.5 %,715,39.2%
Ranka,30,ST,Dorji Tshering Bhutia,Sikkim Congress (R),3114,2094,67.2 %,19,0.9%
Gangtok,31,GEN,Lall Bahadur Basnet,Sikkim Janata Parishad,7908,4487,56.7 %,533,11.9%
Sangha,32,GEN,Lhachen Ganchen Rimpuchhi,Independent,2114,806,38.1 %,688,85.4%
