AC Name,AC No.,Type,District,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Yoksam-Tashiding,1,BL,West,Dawcho Lepcha,Sikkim Democratic Front,9472,8235,86.9 %,4243,51.5%
Yangthang,2,GEN,West,Prem Lall Subba,Sikkim Democratic Front,9169,7884,86.0 %,4225,53.6%
Maneybung-Dentam,3,GEN,West,Chandra Maya Subba,Sikkim Democratic Front,10012,8685,86.7 %,4353,50.1%
Gyalshing-Barnyak,4,GEN,West,Man Bahadur Dahal,Sikkim Democratic Front,8647,7291,84.3 %,3410,46.8%
Rinchenpong,5,BL,West,Dawa Norbu Takarpa,Sikkim Democratic Front,10185,8857,87.0 %,4293,48.5%
Daramdin,6,BL,West,Tenzi Sherpa,Sikkim Democratic Front,11122,9435,84.8 %,4700,49.8%
Soreong-Chakung,7,GEN,West,Ran Bahadur Subba,Sikkim Democratic Front,11546,9770,84.6 %,4119,42.2%
Salghari-Zoom,8,SC,West,Madan Cintury,Sikkim Democratic Front,8050,6812,84.6 %,2298,33.7%
Barfung,9,BL,South,Sonam Gyatso Bhutia,Sikkim Democratic Front,10023,8598,85.8 %,3852,44.8%
Poklok-Kamrang,10,GEN,South,Pawan Chamling,Sikkim Democratic Front,10595,9146,86.3 %,5956,65.1%
Namchi-Singhithang,11,GEN,South,Pawan Chamling,Sikkim Democratic Front,9086,6982,76.8 %,4644,66.5%
Melli,12,GEN,South,Tulshi Devi Rai,Sikkim Democratic Front,11150,9347,83.8 %,3853,41.2%
Namthang-Rateypani,13,GEN,South,Tilu Gurung,Sikkim Democratic Front,11011,9106,82.7 %,3211,35.3%
Temi-Namphing,14,GEN,South,Bedu Singh Panth,Sikkim Democratic Front,10332,8778,85.0 %,1740,19.8%
Rangang-Yangang,15,GEN,South,Chandra Bdr Karki,Sikkim Democratic Front,9533,8145,85.4 %,3197,39.3%
Tumen-Lingi,16,BL,South,Ugen T Gyatso Bhutia,Sikkim Democratic Front,10700,9084,84.9 %,1324,14.6%
Khamdong-Singtam,17,GEN,East,Am Prasad Sharma,Sikkim Democratic Front,9051,7625,84.2 %,1266,16.6%
West Pendam,18,SC,East,Neeru Sewa,Sikkim Democratic Front,9350,7755,82.9 %,1063,13.7%
Rhenock,19,GEN,East,Bhim Prasad Dhungel,Sikkim Democratic Front,12293,10445,85.0 %,1443,13.8%
Chujachen,20,GEN,East,Puran Kr. Gurung,Sikkim Democratic Front,12944,10863,83.9 %,5963,54.9%
Gnathang-Machong,21,BL,East,L.M. Lepcha,Sikkim Democratic Front,8113,6959,85.8 %,2400,34.5%
Namcheybung,22,GEN,East,Bek Bdr. Rai,Sikkim Democratic Front,10723,9274,86.5 %,2923,31.5%
Shyari,23,BL,East,Karma Tempo Namgyalgyaltsen,Sikkim Democratic Front,9779,7971,81.5 %,2281,28.6%
Martam-Rumtek,24,BL,East,Menlom Lepcha,Sikkim Democratic Front,11702,9981,85.3 %,3365,33.7%
Upper Tadong,25,GEN,East,Dil Bahadur Thapa,Sikkim Democratic Front,7200,5621,78.1 %,1043,18.6%
Arithang,26,GEN,East,Narendra Kr. Pradhan,Sikkim Democratic Front,7396,5447,73.6 %,1455,26.7%
Gangtok,27,BL,East,Dorjee Namgyal Bhutia,Sikkim Democratic Front,8143,5731,70.4 %,1578,27.5%
Upper Burtuk,28,GEN,East,Prem Singh Tamang,Sikkim Democratic Front,9110,7514,82.5 %,4563,60.7%
Kabi Lungchuk,29,BL,North,Thenlay Tshering Bhutia,Sikkim Democratic Front,8765,7482,85.4 %,2164,28.9%
Djongu,30,BL,North,Sonam Gyatso Lepcha,Sikkim Democratic Front,6623,5947,89.8 %,3937,66.2%
Lachen Mangan,31,BL,North,Tshering Wangdi Lepcha,Sikkim Democratic Front,5701,5101,89.5 %,779,15.3%
Sangha,32,GEN,North,Phetook Tsh. Bhutia,Sikkim Democratic Front,3058,1980,64.7 %,55,2.8%
