AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Royapuram,1,GEN,R. Mathivanan,Dravida Munetra Kazhagam,118588,83095,70.1 %,11766,14.2%
Harbour,2,GEN,M. Karunanidhi,Dravida Munetra Kazhagam,106293,70651,66.5 %,31991,45.3%
Dr. Radhakrishnan Nagar,3,GEN,"Sarkunam, S.P.",Dravida Munetra Kazhagam,179625,121401,67.6 %,24256,20.0%
Park Town,4,GEN,"Rahmankhan, A.",Dravida Munetra Kazhagam,113205,76521,67.6 %,20143,26.3%
Perambur,5,SC,Chengai Sivam Alias Sajaisvam J.,Dravida Munetra Kazhagam,184148,123856,67.3 %,39990,32.3%
Purasawalkam,6,GEN,"Veerasamy Arcot, N.",Dravida Munetra Kazhagam,204074,139265,68.2 %,38264,27.5%
Egmore,7,SC,Elamvazhuthi,Dravida Munetra Kazhagam,115205,77532,67.3 %,20969,27.0%
Anna Nagar,8,GEN,"Anbazhagan, K.",Dravida Munetra Kazhagam,223765,144459,64.6 %,32407,22.4%
Theagaraya Nagar,9,GEN,"Ganesan, S.A.",Dravida Munetra Kazhagam,178867,116824,65.3 %,22104,18.9%
Thousand Lights,10,GEN,"Stalin, M.K.",Dravida Munetra Kazhagam,150057,101758,67.8 %,20634,20.3%
Chepauk,11,GEN,"Latheef, M.A.",Dravida Munetra Kazhagam,98546,66894,67.9 %,18353,27.4%
Triplicane,12,GEN,Nanjil K. Manoharan,Dravida Munetra Kazhagam,115258,80589,69.9 %,9972,12.4%
Mylapore,13,GEN,"Ganapathy, N.",Dravida Munetra Kazhagam,173258,120361,69.5 %,18195,15.1%
Saidapet,14,GEN,R.S. Sridhar,Dravida Munetra Kazhagam,188305,124484,66.1 %,32589,26.2%
Gummidipundi,15,GEN,"Venu, K.",Dravida Munetra Kazhagam,151862,100774,66.4 %,3530,3.5%
Ponneri,16,SC,"Sundaram, K.",Dravida Munetra Kazhagam,166812,118907,71.3 %,7607,6.4%
