AC Name,AC No.,Type,District,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Gummidipoondi,1,GEN,Thiruvallur,Vijayakumar K S,All India Anna Dravida Munnetra Kazhagam,259194,212864,82.1 %,23395,11.0%
Ponneri,2,SC,Thiruvallur,Balaraman P,All India Anna Dravida Munnetra Kazhagam,247430,195364,79.0 %,19336,9.9%
Tiruttani,3,GEN,Thiruvallur,Narasimhan P M,All India Anna Dravida Munnetra Kazhagam,273887,220333,80.4 %,23141,10.5%
Thiruvallur,4,GEN,Thiruvallur,Raajendran V G,Dravida Munetra Kazhagam,254359,204826,80.5 %,5138,2.5%
Poonamallee,5,SC,Thiruvallur,Elumalai T A,All India Anna Dravida Munnetra Kazhagam,309083,236722,76.6 %,11763,5.0%
Avadi,6,GEN,Thiruvallur,Pandia Rajan K,All India Anna Dravida Munnetra Kazhagam,387261,265738,68.6 %,1395,0.5%
Maduravoyal,7,GEN,Thiruvallur,Benjamin P,All India Anna Dravida Munnetra Kazhagam,391693,241942,61.8 %,8402,3.5%
Ambattur,8,GEN,Thiruvallur,Alexander V,All India Anna Dravida Munnetra Kazhagam,353518,224029,63.4 %,17498,7.8%
Madavaram,9,GEN,Thiruvallur,Sudharsanam S,Dravida Munetra Kazhagam,397265,264427,66.6 %,15253,5.8%
Thiruvottiyur,10,GEN,Thiruvallur,Samy.K.P.P,Dravida Munetra Kazhagam,286872,187144,65.2 %,4863,2.6%
Dr.Radhakrishnan Nagar,11,GEN,Chennai,Jayalalithaa J,All India Anna Dravida Munnetra Kazhagam,255198,171142,67.1 %,39545,23.1%
Perambur,12,GEN,Chennai,P Vetrivel,All India Anna Dravida Munnetra Kazhagam,288901,185514,64.2 %,519,0.3%
Kolathur,13,GEN,Chennai,M.K.Stalin,Dravida Munetra Kazhagam,261913,164754,62.9 %,37730,22.9%
Villivakkam,14,GEN,Chennai,B. Ranganathan,Dravida Munetra Kazhagam,252292,146675,58.1 %,9321,6.4%
Thiru-Vi-Ka-Nagar,15,SC,Chennai,Sivakumar P @ Thayagam Kavi,Dravida Munetra Kazhagam,215120,133765,62.2 %,3322,2.5%
Egmore,16,SC,Chennai,Ravichandran K.S,Dravida Munetra Kazhagam,190949,117795,61.7 %,10679,9.1%
Royapuram,17,GEN,Chennai,Jayakumar D,All India Anna Dravida Munnetra Kazhagam,186386,119769,64.3 %,8031,6.7%
Harbour,18,GEN,Chennai,Sekar Babu P K,Dravida Munetra Kazhagam,182820,102137,55.9 %,4836,4.7%
Chepauk-Thiruvallikeni,19,GEN,Chennai,J.Anbazhagan,Dravida Munetra Kazhagam,225920,140171,62.0 %,14164,10.1%
Thousand Lights,20,GEN,Chennai,Selvam Ku. Ka,Dravida Munetra Kazhagam,243386,138770,57.0 %,8829,6.4%
Anna Nagar,21,GEN,Chennai,Mohan M.K.,Dravida Munetra Kazhagam,285165,168933,59.2 %,1687,1.0%
Virugampakkam,22,GEN,Chennai,V.N.Virugai Ravi,All India Anna Dravida Munnetra Kazhagam,286046,167442,58.5 %,2333,1.4%
Saidapet,23,GEN,Chennai,Subramanian.Ma,Dravida Munetra Kazhagam,279207,164477,58.9 %,16255,9.9%
Thiyagarayanagar,24,GEN,Chennai,Sathyanarayanan.B,All India Anna Dravida Munnetra Kazhagam,240352,138412,57.6 %,3155,2.3%
Mylapore,25,GEN,Chennai,Nataraj R,All India Anna Dravida Munnetra Kazhagam,257032,152344,59.3 %,14728,9.7%
Velachery,26,GEN,Chennai,Vagai Chanderasekar,Dravida Munetra Kazhagam,296329,171297,57.8 %,8872,5.2%
Shozhinganallur,27,GEN,Kancheepuram,Aravind Ramesh S,Dravida Munetra Kazhagam,575773,338365,58.8 %,14913,4.4%
Alandur,28,GEN,Kancheepuram,Anbarasan T.M.,Dravida Munetra Kazhagam,341623,212270,62.1 %,19169,9.0%
Sriperumbudur,29,SC,Kancheepuram,Palani.K,All India Anna Dravida Munnetra Kazhagam,300120,233186,77.7 %,10716,4.6%
Pallavaram,30,GEN,Kancheepuram,Karunanithi.I,Dravida Munetra Kazhagam,403787,245381,60.8 %,22165,9.0%
Tambaram,31,GEN,Kancheepuram,S R Raja,Dravida Munetra Kazhagam,372883,230348,61.8 %,14445,6.3%
Chengalpattu,32,GEN,Kancheepuram,Varalakshmi.M,Dravida Munetra Kazhagam,366345,246190,67.2 %,26292,10.7%
Thiruporur,33,GEN,Kancheepuram,Kothandapani. M,All India Anna Dravida Munnetra Kazhagam,250050,199025,79.6 %,950,0.5%
Cheyyur,34,SC,Kancheepuram,Arasu R T,Dravida Munetra Kazhagam,211135,167307,79.2 %,304,0.2%
Madurantakam,35,SC,Kancheepuram,S.Pugazhenthi,Dravida Munetra Kazhagam,219928,176354,80.2 %,2957,1.7%
Uthiramerur,36,GEN,Kancheepuram,Sundar.K,Dravida Munetra Kazhagam,242572,197126,81.3 %,12156,6.2%
Kancheepuram,37,GEN,Kancheepuram,C.V.M.P. Ezhilarasan,Dravida Munetra Kazhagam,296751,220467,74.3 %,7548,3.4%
Arakkonam,38,SC,Vellore,Ravi S,All India Anna Dravida Munnetra Kazhagam,217390,163392,75.2 %,4161,2.5%
Sholingur,39,GEN,Vellore,Parthiban.N.G,All India Anna Dravida Munnetra Kazhagam,254525,209373,82.3 %,9732,4.6%
Katpadi,40,GEN,Vellore,Duraimurugan,Dravida Munetra Kazhagam,227250,175378,77.2 %,23946,13.7%
Ranipet,41,GEN,Vellore,Gandhi.R,Dravida Munetra Kazhagam,246310,188621,76.6 %,7896,4.2%
Arcot,42,GEN,Vellore,Eswarappan J L,Dravida Munetra Kazhagam,244127,201388,82.5 %,11091,5.5%
Vellore,43,GEN,Vellore,Karthikeyan,Dravida Munetra Kazhagam,247628,168879,68.2 %,26210,15.5%
Anaikattu,44,GEN,Vellore,Nandakumar A P,Dravida Munetra Kazhagam,228249,180385,79.0 %,8768,4.9%
Kilvaithinankuppam,45,SC,Vellore,Loganathan.G,All India Anna Dravida Munnetra Kazhagam,204298,163236,79.9 %,9746,6.0%
Gudiyattam,46,SC,Vellore,Jayanthi Padmanabhan .C,All India Anna Dravida Munnetra Kazhagam,260612,192747,74.0 %,11470,6.0%
Vaniyambadi,47,GEN,Vellore,Nilofer,All India Anna Dravida Munnetra Kazhagam,223883,170864,76.3 %,14526,8.5%
Ambur,48,GEN,Vellore,Balasubramani,All India Anna Dravida Munnetra Kazhagam,210433,159443,75.8 %,28006,17.6%
Jolarpet,49,GEN,Vellore,Veeramani.K.C.,All India Anna Dravida Munnetra Kazhagam,222146,179601,80.8 %,10991,6.1%
Tirupattur,50,GEN,Vellore,Nallathambi. A,Dravida Munetra Kazhagam,226179,176650,78.1 %,7647,4.3%
Uthangarai,51,SC,Krishnagiri,N.Manoranjitham,All India Anna Dravida Munnetra Kazhagam,217792,178899,82.1 %,2613,1.5%
Bargur,52,GEN,Krishnagiri,V.Rajendran,All India Anna Dravida Munnetra Kazhagam,226603,186674,82.4 %,982,0.5%
Krishnagiri,53,GEN,Krishnagiri,Senguttuvan.T,Dravida Munetra Kazhagam,244487,198237,81.1 %,4891,2.5%
Veppanahalli,54,GEN,Krishnagiri,Murugan P,Dravida Munetra Kazhagam,226937,191843,84.5 %,5228,2.7%
Hosur,55,GEN,Krishnagiri,Balakrishna Reddy P,All India Anna Dravida Munnetra Kazhagam,296779,211786,71.4 %,22964,10.8%
Thalli,56,GEN,Krishnagiri,Prakaash Y.,Dravida Munetra Kazhagam,228512,186900,81.8 %,6245,3.3%
Palacode,57,GEN,Dharmapuri,Anbalagan. K.P.,All India Anna Dravida Munnetra Kazhagam,211355,186887,88.4 %,5983,3.2%
Pennagaram,58,GEN,Dharmapuri,Inbasekaran. P.N.P.,Dravida Munetra Kazhagam,226254,197554,87.3 %,18446,9.3%
Dharmapuri,59,GEN,Dharmapuri,Subramani. P.,Dravida Munetra Kazhagam,250333,205225,82.0 %,9676,4.7%
Pappireddippatti,60,GEN,Dharmapuri,Palaniyappan. P,All India Anna Dravida Munnetra Kazhagam,243140,207287,85.3 %,12713,6.1%
Harur,61,SC,Dharmapuri,R.Murugan,All India Anna Dravida Munnetra Kazhagam,225231,188042,83.5 %,11421,6.1%
Chengam,62,SC,Tiruvannamalai,Giri .M.P,Dravida Munetra Kazhagam,248143,209000,84.2 %,12691,6.1%
Tiruvannamalai,63,GEN,Tiruvannamalai,Velu E.V.,Dravida Munetra Kazhagam,255353,202022,79.1 %,50348,24.9%
Kilpennathur,64,GEN,Tiruvannamalai,Pitchandi K,Dravida Munetra Kazhagam,234104,196123,83.8 %,34666,17.7%
Kalasapakkam,65,GEN,Tiruvannamalai,Panneerselvam V,All India Anna Dravida Munnetra Kazhagam,218565,184349,84.3 %,26414,14.3%
