AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Simna,1,ST,Pranab Deb Barma,Communist Party Of India (MARXIST),23910,19429,81.3 %,5882,30.3%
Mohanpur,2,GEN,Ratan Lal Nath,Indian National Congress,26155,21293,81.4 %,60,0.3%
Bamutia,3,SC,Haricharan Sarkar,Communist Party Of India (MARXIST),27625,23096,83.6 %,1038,4.5%
Barjala,4,GEN,Arun Bhowmik,Janta Dal (B),39736,31097,78.3 %,2774,8.9%
Khayerpur,5,GEN,Pabitra Kar,Communist Party Of India (MARXIST),31683,26386,83.3 %,457,1.7%
Agartala,6,GEN,Nripen Chakraborty,Communist Party Of India (MARXIST),39438,30656,77.7 %,2929,9.6%
Ramnagar,7,GEN,Surajit Dutta,Indian National Congress,31350,24301,77.5 %,2844,11.7%
Town Bordowali,8,GEN,Brajagopal Ray,All India Forward Bloc,27556,20925,75.9 %,1254,6.0%
Banamalipur,9,GEN,Ratan Chakraborty,Indian National Congress,23705,17697,74.7 %,1085,6.1%
Majlishpur,10,GEN,Dipak Nag,Indian National Congress,28846,23516,81.5 %,711,3.0%
Mandaibazar,11,ST,Rashiram Deb Barma,Communist Party Of India (MARXIST),30838,23371,75.8 %,6671,28.5%
Takarjala,12,ST,Kartik Kanya Deb Barma,Communist Party Of India (MARXIST),26796,21286,79.4 %,5068,23.8%
Pratapgarh,13,SC,Anil Sarkar,Communist Party Of India (MARXIST),47032,38246,81.3 %,7048,18.4%
Badharghat,14,GEN,Jadab Majumber,Communist Party Of India (MARXIST),47808,38542,80.6 %,2467,6.4%
Kamalasagar,15,GEN,Mati Lal Saha,Indian National Congress,26115,20935,80.2 %,1474,7.0%
Bishalgarh,16,GEN,Samir Rajan Barman,Indian National Congress,25994,22161,85.3 %,11770,53.1%
Golaghati,17,ST,Niranjan Deb Barma,Communist Party Of India (MARXIST),27260,21227,77.9 %,3214,15.1%
Charilam,18,ST,Ahok Deb Barma,Indian National Congress,28844,22165,76.8 %,664,3.0%
Boxanagar,19,GEN,Sahil Chouwdhury,Communist Party Of India (MARXIST),23566,19909,84.5 %,4303,21.6%
Nalchar,20,SC,Sukumar Barman,Communist Party Of India (MARXIST),23714,20231,85.3 %,1418,7.0%
Sonamura,21,GEN,Subal Rudra,Communist Party Of India (MARXIST),24399,20874,85.6 %,2963,14.2%
Dhanpur,22,GEN,Samar Choudhury,Communist Party Of India (MARXIST),27277,23062,84.5 %,4115,17.8%
Ramchandraghat,23,ST,Dasharath Deb,Communist Party Of India (MARXIST),19562,16476,84.2 %,10416,63.2%
Khowai,24,GEN,Samir Deb Sarkar,Communist Party Of India (MARXIST),21892,19384,88.5 %,593,3.1%
Asharambari,25,ST,Bidya Chandra Deb Bama,Communist Party Of India (MARXIST),22979,18711,81.4 %,12413,66.3%
Pramodenagar,26,ST,Aghore Deb Barma,Communist Party Of India (MARXIST),27996,23172,82.8 %,7444,32.1%
Kalyanpur,27,GEN,Makhan Lal Chakraborty,Communist Party Of India (MARXIST),24354,20190,82.9 %,1137,5.6%
Krishnapur,28,ST,Khagendra Jamatia,Communist Party Of India (MARXIST),25474,19901,78.1 %,8799,44.2%
Teliamura,29,GEN,Jitendra Sarkar,Communist Party Of India (MARXIST),27439,22349,81.4 %,3936,17.6%
