AC Name,AC No.,Type,District,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Simna,1,ST,West Tripura,Pranab Debbarma,Communist Party Of India (MARXIST),33522,31389,93.6 %,3819,12.2%
Mohanpur,2,GEN,West Tripura,Ratan Lal Nath,Indian National Congress,41018,38971,95.0 %,775,2.0%
Bamutia,3,SC,West Tripura,Haricharan Sarkar,Communist Party Of India (MARXIST),39264,37712,96.0 %,2750,7.3%
Barjala,4,SC,West Tripura,Jitendra Sarkar,Indian National Congress,37952,35997,94.8 %,261,0.7%
Khayerpur,5,GEN,West Tripura,Pabitra Kar,Communist Party Of India (MARXIST),43323,41345,95.4 %,1297,3.1%
Agartala,6,GEN,West Tripura,Sudip Roy Barman,Indian National Congress,46053,42381,92.0 %,2762,6.5%
Ramnagar,7,GEN,West Tripura,Ratan Das,Communist Party Of India (MARXIST),40753,36712,90.1 %,65,0.2%
Town Bordowali,8,GEN,West Tripura,Asish Kumar Saha,Indian National Congress,44883,39116,87.2 %,7060,18.0%
Banamalipur,9,GEN,West Tripura,Gopal Chandra Roy,Indian National Congress,38984,33981,87.2 %,5762,17.0%
Majlishpur,10,GEN,West Tripura,Manik Dey,Communist Party Of India (MARXIST),42314,40633,96.0 %,2929,7.2%
Mandaibazar,11,ST,West Tripura,Monoranjan Debbarma,Communist Party Of India (MARXIST),41199,38284,92.9 %,1825,4.8%
Takarjala,12,ST,West Tripura,Niranjan Debbarma,Communist Party Of India (MARXIST),37684,34718,92.1 %,1207,3.5%
Pratapgarh,13,SC,West Tripura,Anil Sarkar,Communist Party Of India (MARXIST),49082,46668,95.1 %,2132,4.6%
Badharghat,14,SC,West Tripura,Dilip Sarkar,Indian National Congress,52430,49322,94.1 %,643,1.3%
Kamalasagar,15,GEN,West Tripura,Narayan Chandra Chowdhuri,Communist Party Of India (MARXIST),37203,35288,94.9 %,5415,15.3%
Bishalgarh,16,GEN,West Tripura,Bhanulal Saha,Communist Party Of India (MARXIST),43098,41137,95.4 %,1724,4.2%
Golaghati,17,ST,West Tripura,Keshab Debbarma,Communist Party Of India (MARXIST),36789,34532,93.9 %,4533,13.1%
Suryamaninagar,18,GEN,West Tripura,Raj Kumar Chaudhuri,Communist Party Of India (MARXIST),44921,42820,95.3 %,1634,3.8%
Charilam,19,ST,West Tripura,Ramendra Narayan Debbarma,Communist Party Of India (MARXIST),34332,32350,94.2 %,1341,4.1%
Boxanagar,20,GEN,West Tripura,Sahid Choudhuri,Communist Party Of India (MARXIST),33309,32139,96.5 %,2521,7.8%
Nalchar,21,SC,West Tripura,Tapan Chandra Das,Communist Party Of India (MARXIST),38208,36642,95.9 %,8107,22.1%
Sonamura,22,GEN,West Tripura,Shyamal Chakraborty,Communist Party Of India (MARXIST),36009,34560,96.0 %,1526,4.4%
Dhanpur,23,GEN,West Tripura,Manik Sarkar,Communist Party Of India (MARXIST),38664,37276,96.4 %,6017,16.1%
Ramchandraghat,24,ST,West Tripura,Padma Kumar Debbarma,Communist Party Of India (MARXIST),35369,32975,93.2 %,7891,23.9%
Khowai,25,GEN,West Tripura,Samir Debsarkar,Communist Party Of India (MARXIST),38739,37309,96.3 %,8833,23.7%
Asharambari,26,ST,West Tripura,Aghore Debbarma,Communist Party Of India (MARXIST),32187,29934,93.0 %,7217,24.1%
Kalyanpur-Pramodenagar,27,GEN,West Tripura,Manindra Chandra Das,Communist Party Of India (MARXIST),39064,36734,94.0 %,3780,10.3%
Teliamura,28,GEN,West Tripura,Gouri Das,Communist Party Of India (MARXIST),39072,36571,93.6 %,1313,3.6%
Krishnapur,29,ST,West Tripura,Khagendra Jamatia,Communist Party Of India (MARXIST),31215,29363,94.1 %,6042,20.6%
Bagma,30,ST,South Tripura,Naresh Chandra Jamatia,Communist Party Of India (MARXIST),46290,44120,95.3 %,4075,9.2%
Radhakishorepur,31,GEN,South Tripura,Pranajit Singha Roy,Indian National Congress,42221,40093,95.0 %,837,2.1%
Matarbari,32,GEN,South Tripura,Madhab Chandra Saha,Communist Party Of India (MARXIST),46120,44280,96.0 %,1310,3.0%
Kakraban-Salgarh,33,SC,South Tripura,Ratan Bhowmik,Communist Party Of India (MARXIST),45986,43713,95.1 %,7190,16.4%
Rajnagar,34,SC,South Tripura,Sudhan Das,Communist Party Of India (MARXIST),39701,37640,94.8 %,11397,30.3%
Belonia,35,GEN,South Tripura,Basudev Majumder,Communist Party Of India (MARXIST),38719,37022,95.6 %,4824,13.0%
Santirbazar,36,ST,South Tripura,Manindra Reang,Communist Party Of India,41569,39341,94.6 %,3756,9.5%
Hrishyamukh,37,GEN,South Tripura,Badal Choudhury,Communist Party Of India (MARXIST),39746,38228,96.2 %,12429,32.5%
Jolaibari,38,ST,South Tripura,Jashabir Tripura,Communist Party Of India (MARXIST),41167,39247,95.3 %,9343,23.8%
Manu,39,ST,South Tripura,Jitendra Chaudhury,Communist Party Of India (MARXIST),38272,36715,95.9 %,6896,18.8%
Sabroom,40,GEN,South Tripura,Rita Kar (MAJUMDER),Communist Party Of India (MARXIST),40016,38313,95.7 %,5207,13.6%
Ampinagar,41,ST,South Tripura,Daniel Jamatia,Communist Party Of India (MARXIST),33024,29823,90.3 %,2784,9.3%
Amarpur,42,GEN,South Tripura,Manoranjan Acharjee,Communist Party Of India (MARXIST),36580,34859,95.3 %,4022,11.5%
Karbook,43,ST,South Tripura,Priyamani Debbarma,Communist Party Of India (MARXIST),31007,29073,93.8 %,3435,11.8%
Raima Valley,44,ST,Dhalai,Lalit Mohan Tripura,Communist Party Of India (MARXIST),38568,35638,92.4 %,2876,8.1%
Kamalpur,45,GEN,Dhalai,Bijoy Lakshmi Singha,Communist Party Of India (MARXIST),40345,37546,93.1 %,1514,4.0%
Surma,46,SC,Dhalai,Sudhir Das,Communist Party Of India (MARXIST),40740,36919,90.6 %,1862,5.0%
Ambassa,47,ST,Dhalai,Lalit Kumar Debbarma,Communist Party Of India (MARXIST),41066,38190,93.0 %,1054,2.8%
Karmachhara,48,ST,Dhalai,Diba Chandra Hrangkhawl,Indian National Congress,33941,30963,91.2 %,1372,4.4%
Chawamanu,49,ST,Dhalai,Nirajoy Tripura,Communist Party Of India (MARXIST),34629,31241,90.2 %,1495,4.8%
Pabiachhara,50,SC,North Tripura,Samiran Malakar,Communist Party Of India (MARXIST),39998,37152,92.9 %,1250,3.4%
Fatikroy,51,SC,North Tripura,Tunubala Malakar,Communist Party Of India (MARXIST),37751,34976,92.6 %,1865,5.3%
Chandipur,52,GEN,North Tripura,Tapan Chakrabarti,Communist Party Of India (MARXIST),39057,35956,92.1 %,7629,21.2%
Kailashahar,53,GEN,North Tripura,Birajit Sinha,Indian National Congress,41667,38054,91.3 %,485,1.3%
Kadamtala-Kurti,54,GEN,North Tripura,Fayzur Rohaman,Communist Party Of India (MARXIST),37276,34035,91.3 %,1929,5.7%
Bagbassa,55,GEN,North Tripura,Bijita Nath,Communist Party Of India (MARXIST),38657,35095,90.8 %,2932,8.4%
Dharmanagar,56,GEN,North Tripura,Biswabandhu Sen,Indian National Congress,38355,35281,92.0 %,1844,5.2%
Jubarajnagar,57,GEN,North Tripura,Ramendra Chandra Debnath,Communist Party Of India (MARXIST),37137,34974,94.2 %,2878,8.2%
Panisagar,58,GEN,North Tripura,Subodh Das,Communist Party Of India (MARXIST),32073,29534,92.1 %,1911,6.5%
Pencharthal,59,ST,North Tripura,Arun Kumar Chakma,Communist Party Of India (MARXIST),36173,32902,91.0 %,1017,3.1%
Kanchanpur,60,ST,North Tripura,Rajendra Reang,Communist Party Of India (MARXIST),38014,34283,90.2 %,1081,3.2%
