AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Uttarkashi,1,SC,Barfiya Lal Junwantha,Janata Dal,166406,87768,52.7 %,11830,13.5%
Tehri,2,GEN,Balbeer Singh,Janata Dal,185122,84970,45.9 %,10999,12.9%
Deoprayag,3,GEN,Mantri Prasad Naithani,Janata Dal,173043,77116,44.6 %,7968,10.3%
Lansdowne,4,GEN,Bharat Singh Rawat,Indian National Congress,170996,85131,49.8 %,7171,8.4%
Pauri,5,GEN,Narendra Singh Bhandari,Janata Dal,155914,72624,46.6 %,556,0.8%
Karanprayag,6,GEN,Shivanand,Indian National Congress,155067,75490,48.7 %,5385,7.1%
Badrikedar,7,GEN,Kunwar Singh Negi,Indian National Congress,192408,95293,49.5 %,2287,2.4%
Didihat,8,GEN,Kashi Singh Aery,Independent,157895,71527,45.3 %,523,0.7%
Pithoragarh,9,GEN,Mahender Singh,Indian National Congress,167507,73244,43.7 %,1097,1.5%
Almora,10,GEN,Saraswati Tiwari,Indian National Congress,186939,82590,44.2 %,10998,13.3%
Bageshwar,11,SC,Gopalram Das,Indian National Congress,153270,65785,42.9 %,14200,21.6%
Ranikhet,12,GEN,Jaswant Singh,Independent,185214,78188,42.2 %,5959,7.6%
Nainital,13,GEN,K. S. Taragi,Indian National Congress,170828,91576,53.6 %,5438,5.9%
Khatima,14,SC,Yash Pal,Indian National Congress,195983,95944,49.0 %,14793,15.4%
Haldwani,15,GEN,Narayan Dutt Tiwari,Indian National Congress,223144,112644,50.5 %,37313,33.1%
Kashipur,16,GEN,Karan Chandra Singh,Independent,192357,106884,55.6 %,22986,21.5%
Seohara,17,GEN,Ashok Kumar,Janata Dal,188430,112536,59.7 %,36262,32.2%
Dhampur,18,GEN,Surendra Singh,Bharatiya Janta Party,188560,108790,57.7 %,7772,7.1%
Afzalgarh,19,GEN,Suleman,Bahujan Samaj Party,186090,100323,53.9 %,15670,15.6%
Nagina,20,SC,Rameshwari,Bahujan Samaj Party,173258,86158,49.7 %,5582,6.5%
Nazibabad,21,SC,Valdeva Singh,Bahujan Samaj Party,178551,80270,45.0 %,4760,5.9%
Bijnor,22,GEN,Sukhveer Singh,Janata Dal,188979,112293,59.4 %,556,0.5%
Chandpur,23,GEN,Tejpal,Janata Dal,204989,144458,70.5 %,32563,22.5%
Kanth,24,GEN,Chandra Pal Singh,Janata Dal,162803,96835,59.5 %,10856,11.2%
Amroha,25,GEN,Mohammad Hayat,Janata Dal,197250,121272,61.5 %,11289,9.3%
Hasanpur,26,GEN,Rifaquat Husain,Indian National Congress,187579,120194,64.1 %,729,0.6%
Gangeshwari,27,SC,Jag Ram Singh,Janata Dal,170096,85637,50.3 %,25549,29.8%
Sambhal,28,GEN,Shafiqurrehman Warq,Janata Dal,180029,110269,61.3 %,4079,3.7%
Bahjoi,29,GEN,Om Prakash,Janata Dal,165646,85070,51.4 %,1217,1.4%
Chandausi,30,SC,Karan Singh,Bharatiya Janta Party,176583,76664,43.4 %,4627,6.0%
Kundarki,31,GEN,Chandra Vijay Singh,Janata Dal,178505,106391,59.6 %,9063,8.5%
Moradabad West,32,GEN,Sharmendra Tayagi,Janata Dal,209546,101841,48.6 %,14417,14.2%
Moradabad,33,GEN,Shami (Shamim) Ahmad Khan,Janata Dal,212247,119134,56.1 %,22195,18.6%
Moradabad Rural,34,GEN,Mohd. Rizwanul Haq,Janata Dal,172385,94676,54.9 %,593,0.6%
Thakurdwara,35,GEN,Mohammadulla Khan,Bahujan Samaj Party,171795,102028,59.4 %,9502,9.3%
Suartanda,36,GEN,Shiv Bahadur,Bharatiya Janta Party,194517,111577,57.4 %,11685,10.5%
Rampur,37,GEN,Muhammad Azam Khan,Janata Dal,202958,102341,50.4 %,2946,2.9%
Bilaspur,38,GEN,Anil Kumar,Independent,214391,118167,55.1 %,10045,8.5%
Shahabad,39,SC,Banshidhar,Indian National Congress,188452,87554,46.5 %,13100,15.0%
Bisauli,40,GEN,Yogendra Kumar,Indian National Congress,166847,93113,55.8 %,2903,3.1%
