AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Seohara,1,GEN,Qutubudeen,Bahujan Samaj Party,272785,164007,60.1 %,2149,1.3%
Dhampur,2,GEN,Mool Chand,Samajwadi Party,260372,154501,59.3 %,10553,6.8%
Afzalgarh,3,GEN,Indra Dev,Bharatiya Janta Party,274481,167708,61.1 %,727,0.4%
Nagina,4,SC,Omvati Devi,Samajwadi Party,236860,134806,56.9 %,2131,1.6%
Nazibabad,5,SC,Ram Swroop Singh,Communist Party Of India (MARXIST),232149,119098,51.3 %,4842,4.1%
Bijnor,6,GEN,Kunvar Bhartander Singh,Bharatiya Janta Party,256481,148426,57.9 %,16339,11.0%
Chandpur,7,GEN,Swami Omvesh,Rashtriya Lok Dal,274499,168727,61.5 %,10667,6.3%
Kanth,8,GEN,Rizwan Ahmed Khan,Bahujan Samaj Party,208561,137208,65.8 %,9578,7.0%
Amroha,9,GEN,Mehboob Ali,Rashtriya Parivartan Dal,243501,143169,58.8 %,9272,6.5%
Hasanpur,10,GEN,Devendra Nagpal,Independent,253014,163016,64.4 %,29573,18.1%
Gangeshwari,11,SC,Jagram,Samajwadi Party,213875,138655,64.8 %,10185,7.3%
Sambhal,12,GEN,Iqbal Mahmood,Samajwadi Party,235172,145463,61.9 %,21306,14.6%
Bahjoi,13,GEN,Aqeelur Rehman Khan,Bahujan Samaj Party,206194,128204,62.2 %,14107,11.0%
Chandausi,14,SC,Gulab Devi,Bharatiya Janta Party,223684,118172,52.8 %,700,0.6%
Kunderki,15,GEN,Mohd. Rizwan,Samajwadi Party,239981,152388,63.5 %,17882,11.7%
Moradabad West,16,GEN,Mohd. Aaqil Urf Munna Miyan,Bahujan Samaj Party,265621,134775,50.7 %,8336,6.2%
Moradabad,17,GEN,Sandeep Agarwal,Bharatiya Janta Party,216821,101612,46.9 %,14981,14.7%
Moradabad Rural,18,GEN,Shamimul Haq,Indian National Congress,249927,149743,59.9 %,14917,10.0%
Thakurdwara,19,GEN,Kunwar Sarvesh Kumar Alias Rakesh,Bharatiya Janta Party,242512,190892,78.7 %,3255,1.7%
Suar Tanda,20,GEN,Nawab Kazim Ali Khan Alias Naved Mian,Indian National Congress,281085,190246,67.7 %,27010,14.2%
Rampur,21,GEN,Mohd. Azam Khan,Samajwadi Party,275941,127007,46.0 %,37991,29.9%
Bilaspur,22,GEN,Beena Bhardwaj,Samajwadi Party,266368,170536,64.0 %,20410,12.0%
Shahabad,23,SC,Kashi Ram,Samajwadi Party,261147,145876,55.9 %,12252,8.4%
Bisauli,24,GEN,Yogendra Kumar,Samajwadi Party,217844,130516,59.9 %,2251,1.7%
Gunnaur,25,GEN,Ajit Kumar Urf Raju Yadav,Janata Dal (United),224891,129444,57.6 %,5181,4.0%
Sahaswan,26,GEN,Omkar Singh Yadav,Samajwadi Party,219416,121736,55.5 %,13330,10.9%
Bilsi,27,SC,Ashutosh Maurya Urf Raju,Samajwadi Party,205592,118410,57.6 %,12036,10.2%
Budaun,28,GEN,Vimal Krishana Agarwal Urf Pappi,Bahujan Samaj Party,259654,130385,50.2 %,3314,2.5%
Usehat,29,GEN,Ashish Yadav,Samajwadi Party,220330,132979,60.4 %,8398,6.3%
Binawar,30,GEN,Bhupendra Singh,Bahujan Samaj Party,215892,133661,61.9 %,3902,2.9%
Dataganj,31,GEN,Prem Pal Singh Yadav,Samajwadi Party,191262,115774,60.5 %,1621,1.4%
Aonla,32,GEN,Dharm Pal Singh,Bharatiya Janta Party,208373,130766,62.8 %,263,0.2%
Sunha,33,GEN,Dharmendra Kumar,Bahujan Samaj Party,198993,121568,61.1 %,2769,2.3%
Faridpur,34,SC,Dr. Siyaram Sagar,Samajwadi Party,195500,111090,56.8 %,238,0.2%
Bareilly Cantonment,35,GEN,Shahlin Islam,Independent,278874,129657,46.5 %,8790,6.8%
Bareilly City,36,GEN,Rajesh Agrawal,Bharatiya Janta Party,275832,93285,33.8 %,12974,13.9%
Nawabganj,37,GEN,Bhagwat Saran Gangwar,Samajwadi Party,202195,136372,67.4 %,28905,21.2%
Bhojipura,38,GEN,Virendra Singh,Samajwadi Party,226672,143058,63.1 %,6375,4.5%
Kawar,39,GEN,Sultan Beg,Samajwadi Party,194482,135348,69.6 %,2907,2.1%
Baheri,40,GEN,Manzoor Ahmad,Samajwadi Party,235854,161804,68.6 %,2883,1.8%
Pilibhit,41,GEN,Riaz Ahmad,Samajwadi Party,212867,122981,57.8 %,9971,8.1%
Barkhera,42,SC,Peetam Ram,Samajwadi Party,195678,116324,59.4 %,14225,12.2%
Bisalpur,43,GEN,Anis Ahmad Khan Alias Phool Babu,Bahujan Samaj Party,206420,133093,64.5 %,7663,5.8%
