AC Name,AC No.,Type,District,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Behat,1,GEN,Saharanpur,Naresh Saini,Indian National Congress,336569,250983,74.6 %,25586,10.2%
Nakur,2,GEN,Saharanpur,Dr.Dharam Singh Saini,Bharatiya Janta Party,329573,254300,77.2 %,4057,1.6%
Saharanpur Nagar,3,GEN,Saharanpur,Sanjay Garg,Samajwadi Party,393527,271834,69.1 %,4636,1.7%
Saharanpur,4,GEN,Saharanpur,Masood Akhtar,Indian National Congress,317403,236500,74.5 %,12324,5.2%
Deoband,5,GEN,Saharanpur,Brijesh,Bharatiya Janta Party,327553,233508,71.3 %,29400,12.6%
Rampur Maniharan,6,SC,Saharanpur,Devender Kumar Nim,Bharatiya Janta Party,297981,217975,73.2 %,595,0.3%
Gangoh,7,GEN,Saharanpur,Pradeep Kumar,Bharatiya Janta Party,357444,256407,71.7 %,38028,14.8%
Kairana,8,GEN,Muzaffarnagar,Nahid Hasan,Samajwadi Party,300654,208074,69.2 %,21162,10.2%
Thana Bhawan,9,GEN,Muzaffarnagar,Suresh Kumar,Bharatiya Janta Party,311359,211808,68.0 %,16817,7.9%
Shamli,10,GEN,Muzaffarnagar,Tejendra Nirwal,Bharatiya Janta Party,299849,195446,65.2 %,29720,15.2%
Budhana,11,GEN,Muzaffarnagar,Umesh Malik,Bharatiya Janta Party,359132,239830,66.8 %,13201,5.5%
Charthawal,12,GEN,Muzaffarnagar,Vijay Kumar Kashyap,Bharatiya Janta Party,314327,205946,65.5 %,23231,11.3%
Purqazi,13,SC,Muzaffarnagar,Pramod Utwal,Bharatiya Janta Party,313951,203180,64.7 %,11253,5.5%
Muzaffar Nagar,14,GEN,Muzaffarnagar,Kapil Dev Agarwal,Bharatiya Janta Party,334307,214469,64.2 %,10704,5.0%
Khatauli,15,GEN,Muzaffarnagar,Vikram Singh,Bharatiya Janta Party,298719,212402,71.1 %,31374,14.8%
Meerapur,16,GEN,Muzaffarnagar,Avtar Singh Bhadana,Bharatiya Janta Party,294149,203315,69.1 %,193,0.1%
Najibabad,17,GEN,Bijnor,Tasleem Ahmad,Samajwadi Party,329545,214420,65.1 %,2002,0.9%
Nagina,18,SC,Bijnor,Manoj Kumar Paras,Samajwadi Party,328570,208472,63.4 %,7967,3.8%
Barhapur,19,GEN,Bijnor,Sushant Kumar,Bharatiya Janta Party,338084,221593,65.5 %,9824,4.4%
Dhampur,20,GEN,Bijnor,Ashok Kumar Rana,Bharatiya Janta Party,282273,191941,68.0 %,17864,9.3%
Nehtaur,21,SC,Bijnor,Omkumar,Bharatiya Janta Party,286393,186934,65.3 %,23151,12.4%
Bijnor,22,GEN,Bijnor,Suchi,Bharatiya Janta Party,363168,244530,67.3 %,27281,11.2%
Chandpur,23,GEN,Bijnor,Kamlesh Saini,Bharatiya Janta Party,312795,217552,69.6 %,35649,16.4%
Noorpur,24,GEN,Bijnor,Lokendra Singh,Bharatiya Janta Party,303469,201993,66.6 %,12736,6.3%
Kanth,25,GEN,Moradabad,Rajesh Kumar Singh (CHUNNU),Bharatiya Janta Party,355614,251909,70.8 %,2348,0.9%
Thakurdwara,26,GEN,Moradabad,Navab Jan,Samajwadi Party,347735,255380,73.4 %,13409,5.3%
Moradabad Rural,27,GEN,Moradabad,Haji Ikram Qureshi,Samajwadi Party,356431,220728,61.9 %,28781,13.0%
Moradabad Nagar,28,GEN,Moradabad,Ritesh Kumar Gupta,Bharatiya Janta Party,470755,275950,58.6 %,3193,1.2%
Kundarki,29,GEN,Moradabad,Mohammad Rizwan,Samajwadi Party,370241,263160,71.1 %,10821,4.1%
Bilari,30,GEN,Moradabad,Mohd. Faeem,Samajwadi Party,343925,227993,66.3 %,13441,5.9%
Chandausi,31,SC,Moradabad,Gulab Devi,Bharatiya Janta Party,363443,221939,61.1 %,45469,20.5%
Asmoli,32,GEN,Moradabad,Pinki Yadav,Samajwadi Party,348554,248173,71.2 %,21126,8.5%
Sambhal,33,GEN,Moradabad,Iqbal Mehmood,Samajwadi Party,353099,240701,68.2 %,18822,7.8%
Suar,34,GEN,Rampur,Mohammad Abdullah Azam Khan,Samajwadi Party,295935,205090,69.3 %,53096,25.9%
Chamraua,35,GEN,Rampur,Naseer Ahmad Khan,Samajwadi Party,299103,193208,64.6 %,34376,17.8%
Bilaspur,36,GEN,Rampur,Baldev Singh Aulakh,Bharatiya Janta Party,331634,222467,67.1 %,22359,10.1%
Rampur,37,GEN,Rampur,Mohammad Azam Khan,Samajwadi Party,381836,213882,56.0 %,46842,21.9%
Milak,38,SC,Rampur,Rajbala,Bharatiya Janta Party,338740,214857,63.4 %,16667,7.8%
Dhanaura,39,SC,Jyotiba Phule Nagar,Rajeev Kumar,Bharatiya Janta Party,321034,223356,69.6 %,38229,17.1%
Naugawan Sadat,40,GEN,Jyotiba Phule Nagar,Chetan Chauhan,Bharatiya Janta Party,306836,233058,76.0 %,20648,8.9%
Amroha,41,GEN,Jyotiba Phule Nagar,Mehboob Ali,Samajwadi Party,292311,200158,68.5 %,15042,7.5%
Hasanpur,42,GEN,Jyotiba Phule Nagar,Mahendra Singh Khargvanshi,Bharatiya Janta Party,342728,253225,73.9 %,27770,11.0%
Siwalkhas,43,GEN,Meerut,Jitendra Pal Singh (BILLU),Bharatiya Janta Party,318687,224279,70.4 %,11421,5.1%
Sardhana,44,GEN,Meerut,Sangeet Singh Som,Bharatiya Janta Party,333017,238164,71.5 %,21625,9.1%
Hastinapur,45,SC,Meerut,Dinesh Khatik,Bharatiya Janta Party,326695,220358,67.5 %,36062,16.4%
Kithore,46,GEN,Meerut,Satyavir Tyagi,Bharatiya Janta Party,338733,241655,71.3 %,10822,4.5%
Meerut Cantt.,47,GEN,Meerut,Satya Prakash Agarwal,Bharatiya Janta Party,401801,235816,58.7 %,76619,32.5%
Meerut,48,GEN,Meerut,Rafiq Ansari,Samajwadi Party,302192,194778,64.5 %,28769,14.8%
Meerut South,49,GEN,Meerut,Dr. Somendra Tomar,Bharatiya Janta Party,428833,269395,62.8 %,35395,13.1%
Chhaprauli,50,GEN,Baghpat,Sahender Singh Ramala,Rashtriya Lok Dal,317952,199125,62.6 %,3842,1.9%
Baraut,51,GEN,Baghpat,Krishanpal Malik Urf Krishanpal Malik,Bharatiya Janta Party,288039,184308,64.0 %,26486,14.4%
Baghpat,52,GEN,Baghpat,Yogesh Dhama,Bharatiya Janta Party,301333,197659,65.6 %,31360,15.9%
Loni,53,GEN,Ghaziabad,Nandkishor,Bharatiya Janta Party,456690,272892,59.8 %,42813,15.7%
Muradnagar,54,GEN,Ghaziabad,Ajit Pal Tyagi,Bharatiya Janta Party,419239,252479,60.2 %,89612,35.5%
Sahibabad,55,GEN,Ghaziabad,Sunil Kumar Sharma,Bharatiya Janta Party,865626,422811,48.8 %,150685,35.6%
Ghaziabad,56,GEN,Ghaziabad,Atul Garg,Bharatiya Janta Party,424065,224672,53.0 %,70505,31.4%
Modi Nagar,57,GEN,Ghaziabad,Dr. Manju Shiwach,Bharatiya Janta Party,333352,214793,64.4 %,66582,31.0%
Dholana,58,GEN,Ghaziabad,Aaaslam Choudhary,Bahujan Samaj Party,379462,252548,66.6 %,3576,1.4%
Hapur,59,SC,Ghaziabad,Vijay Pal (AADHTI),Bharatiya Janta Party,344986,221711,64.3 %,15006,6.8%
Garhmukteshwar,60,GEN,Ghaziabad,Kamal Singh Malik,Bharatiya Janta Party,329482,221183,67.1 %,35294,16.0%
Noida,61,GEN,Gautam Buddha Nagar,Pankaj Singh,Bharatiya Janta Party,523815,252621,48.2 %,104016,41.2%
Dadri,62,GEN,Gautam Buddha Nagar,Tejpal Singh Nagar,Bharatiya Janta Party,441184,263616,59.8 %,80177,30.4%
Jewar,63,GEN,Gautam Buddha Nagar,Dhirendra Singh,Bharatiya Janta Party,322989,210138,65.1 %,22173,10.6%
Sikandrabad,64,GEN,Bulandshahar,Bimla Singh Solanki,Bharatiya Janta Party,375269,250912,66.9 %,28623,11.4%
Bulandshahr,65,GEN,Bulandshahar,Virendra Singh Sirohi,Bharatiya Janta Party,381314,243444,63.8 %,23084,9.5%
Syana,66,GEN,Bulandshahar,Devendra,Bharatiya Janta Party,371730,231038,62.2 %,71630,31.0%
Anupshahr,67,GEN,Bulandshahar,Sanjay,Bharatiya Janta Party,361344,228145,63.1 %,60314,26.4%
Debai,68,GEN,Bulandshahar,Dr. Anita Lodhi Rajput,Bharatiya Janta Party,333372,207761,62.3 %,65630,31.6%
Shikarpur,69,GEN,Bulandshahar,Anil Kumar,Bharatiya Janta Party,310879,200670,64.5 %,50245,25.0%
Khurja,70,SC,Bulandshahar,Vijendra Singh,Bharatiya Janta Party,361742,235254,65.0 %,64299,27.3%
Khair,71,SC,Aligarh,Anoop,Bharatiya Janta Party,375739,230467,61.3 %,70721,30.7%
Barauli,72,GEN,Aligarh,Shri Dalveer Singh,Bharatiya Janta Party,356707,233769,65.5 %,38763,16.6%
Atrauli,73,GEN,Aligarh,Sandeep Kumar Singh,Bharatiya Janta Party,382518,231266,60.5 %,50967,22.0%
Chharra,74,GEN,Aligarh,Ravendra Pal Singh,Bharatiya Janta Party,360399,227750,63.2 %,56134,24.6%
Koil,75,GEN,Aligarh,Anil Parashar,Bharatiya Janta Party,363039,227007,62.5 %,50963,22.4%
Aligarh,76,GEN,Aligarh,Sanjeev Raja,Bharatiya Janta Party,370204,244739,66.1 %,15440,6.3%
Iglas,77,SC,Aligarh,Rajveer Diler,Bharatiya Janta Party,359630,232499,64.6 %,74800,32.2%
Hathras,78,SC,Mahamaya Nagar,Hari Shankar Mahor,Bharatiya Janta Party,384608,237298,61.7 %,70661,29.8%
Sadabad,79,GEN,Mahamaya Nagar,Ramveer Upadhyay,Bahujan Samaj Party,345367,225480,65.3 %,26610,11.8%
Sikandra Rao,80,GEN,Mahamaya Nagar,Birendra Singh Rana,Bharatiya Janta Party,350268,214818,61.3 %,14772,6.9%
Chhata,81,GEN,Mathura,Laxmi Narayan,Bharatiya Janta Party,340111,226098,66.5 %,63838,28.2%
Mant,82,GEN,Mathura,Shyam Sunder Sharma,Bahujan Samaj Party,316470,209344,66.1 %,432,0.2%
Goverdhan,83,GEN,Mathura,Karinda Singh,Bharatiya Janta Party,311382,205674,66.1 %,33009,16.0%
Mathura,84,GEN,Mathura,Shrikant Sharma,Bharatiya Janta Party,425588,251836,59.2 %,101161,40.2%
Baldev,85,SC,Mathura,Pooran Prakash,Bharatiya Janta Party,347589,230169,66.2 %,13208,5.7%
Etmadpur,86,GEN,Agra,Ram Pratap Singh,Bharatiya Janta Party,417191,282330,67.7 %,47255,16.7%
Agra Cantt.,87,SC,Agra,Dr. Girraj Singh Dharmesh,Bharatiya Janta Party,427507,251631,58.9 %,46325,18.4%
Agra South,88,GEN,Agra,Yogendra Upadhyaya,Bharatiya Janta Party,348576,216472,62.1 %,54225,25.0%
Agra North,89,GEN,Agra,Jagan Prasad Garg,Bharatiya Janta Party,395516,229503,58.0 %,86320,37.6%
Agra Rural,90,SC,Agra,Hemlata Diwakar,Bharatiya Janta Party,392452,248070,63.2 %,65296,26.3%
Fatehpur Sikri,91,GEN,Agra,Chau. Udaybhan Singh,Bharatiya Janta Party,338265,227507,67.3 %,52337,23.0%
Kheragarh,92,GEN,Agra,Mahesh Kumar Goyal,Bharatiya Janta Party,309763,197558,63.8 %,31999,16.2%
Fatehabad,93,GEN,Agra,Jitendra Verma,Bharatiya Janta Party,297521,208323,70.0 %,34364,16.5%
Bah,94,GEN,Agra,Rani Pakshalika Singh,Bharatiya Janta Party,321283,190572,59.3 %,23140,12.1%
Tundla,95,SC,Firozabad,Satya Pal Singh Baghel,Bharatiya Janta Party,349685,242210,69.3 %,56070,23.1%
Jasrana,96,GEN,Firozabad,Ramgopal Pappu Lodhi,Bharatiya Janta Party,340477,228484,67.1 %,20328,8.9%
Firozabad,97,GEN,Firozabad,Manish Asija,Bharatiya Janta Party,379147,231372,61.0 %,41727,18.0%
Shikohabad,98,GEN,Firozabad,Mukesh Verma,Bharatiya Janta Party,324829,213021,65.6 %,10777,5.1%
