AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Purola,1,SC,Rajesh Uraf Rajesh Juwantha,Indian National Congress,56403,41602,73.8 %,525,1.3%
Gangotri,2,GEN,Gopal Singh Rawat,Bharatiya Janta Party,72462,51061,70.5 %,5546,10.9%
Yamunotri,3,GEN,Kedar Singh,Indian National Congress,65797,46169,70.2 %,3328,7.2%
Pratapnagar,4,GEN,Vijay Singh (GUDDU PANWAR),Bharatiya Janta Party,61362,35296,57.5 %,2644,7.5%
Tehri,5,GEN,Kishor Upadhyay,Indian National Congress,76851,44626,58.1 %,3198,7.2%
Ghansali,6,GEN,Balbeer Singh Negi,Indian National Congress,77063,42944,55.7 %,1366,3.2%
Deoprayag,7,GEN,Diwakar Bhatt,Uttarakhand Kranti Dal,68455,41265,60.3 %,11595,28.1%
Narendranagar,8,GEN,Om Gopal,Uttarakhand Kranti Dal,75978,47582,62.6 %,4,0.0%
Dhanolti,9,SC,Khajan Dass,Bharatiya Janta Party,62681,38978,62.2 %,6528,16.7%
Chakrata,10,ST,Pritam Singh,Indian National Congress,67535,45422,67.3 %,3741,8.2%
Vikasnagar,11,GEN,Munna Singh Chauhan,Bharatiya Janta Party,113670,72566,63.8 %,5156,7.1%
Sahaspur,12,SC,Rajkumar,Bharatiya Janta Party,112876,68697,60.9 %,4900,7.1%
Laxman Chowk,13,GEN,Dinesh Agarwal,Indian National Congress,132573,71023,53.6 %,3259,4.6%
Dehradun,14,GEN,Harbans Kapoor,Bharatiya Janta Party,82475,47140,57.2 %,7033,14.9%
Rajpur,15,GEN,Ganesh Joshi,Bharatiya Janta Party,112062,62984,56.2 %,3570,5.7%
Mussoorie,16,GEN,Jot Singh Gunsola,Indian National Congress,66991,37820,56.5 %,1138,3.0%
Rishikesh,17,GEN,Prem Chand Aggarwal,Bharatiya Janta Party,148889,86144,57.9 %,9077,10.5%
Doiwala,18,GEN,Trivendra Singh Rawat,Bharatiya Janta Party,171169,95884,56.0 %,14127,14.7%
Bhagwanpur,19,SC,Surendra Rakesh,Bahujan Samaj Party,105366,70568,67.0 %,4133,5.9%
Roorkee,20,GEN,Suresh Chand Jain,Bharatiya Janta Party,112305,64898,57.8 %,6281,9.7%
Iqbalpur,21,GEN,Ch.Yashveer Singh,Bahujan Samaj Party,107861,71245,66.1 %,13897,19.5%
Manglor,22,GEN,Qazi Md. Nizamuddin,Bahujan Samaj Party,98615,69253,70.2 %,3393,4.9%
Landhaura,23,SC,Hari Das,Bahujan Samaj Party,111581,70784,63.4 %,6504,9.2%
Laksar,24,GEN,Kuwar Pranav Singh Champion,Indian National Congress,101473,73010,72.0 %,5658,7.7%
