AC Name,AC No.,Type,District,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Purola,1,GEN,Uttarkashi,Rajkumar,Indian National Congress,67374,48770,72.4 %,1013,2.1%
Yamunotri,2,GEN,Uttarkashi,Kedar Singh,Bharatiya Janta Party,70051,46680,66.6 %,5960,12.8%
Gangotri,3,GEN,Uttarkashi,Gopal Singh Rawat,Bharatiya Janta Party,81692,54719,67.0 %,9610,17.6%
Badrinath,4,GEN,Chamoli,Mahendra Bhatt,Bharatiya Janta Party,100897,62717,62.2 %,5634,9.0%
Tharali,5,GEN,Chamoli,Magan Lal Shah,Bharatiya Janta Party,102602,56836,55.4 %,4921,8.7%
Karnprayag,6,GEN,Chamoli,Surendra Singh Negi,Bharatiya Janta Party,95505,53632,56.2 %,7549,14.1%
Kedarnath,7,GEN,Rudraprayag,Manoj Rawat,Indian National Congress,85913,55489,64.6 %,869,1.6%
Rudraprayag,8,GEN,Rudraprayag,Bharat Singh,Bharatiya Janta Party,98295,56910,57.9 %,14632,25.7%
Ghanshali,9,GEN,Tehri Garhwal,Shakti Lal Shah,Bharatiya Janta Party,91356,43799,47.9 %,11653,26.6%
Devprayag,10,GEN,Tehri Garhwal,Vinod Kandari,Bharatiya Janta Party,82100,43247,52.7 %,3499,8.1%
Narendranagar,11,GEN,Tehri Garhwal,Subodh Uniyal,Bharatiya Janta Party,84438,51982,61.6 %,4972,9.6%
Pratapnagar,12,GEN,Tehri Garhwal,Vijay Singh Panwar(GUDDU BHAI),Bharatiya Janta Party,80671,40774,50.5 %,1939,4.8%
Tehri,13,GEN,Tehri Garhwal,Dhan Singh Negi,Bharatiya Janta Party,80933,43881,54.2 %,6840,15.6%
Dhanolti,14,GEN,Tehri Garhwal,Pritam Singh Panwar,Independent,76857,48869,63.6 %,1615,3.3%
Chakrata,15,GEN,Dehradun,Pritam Singh,Indian National Congress,99390,71491,71.9 %,1543,2.2%
Vikasnagar,16,GEN,Dehradun,Munna Singh Chauhan,Bharatiya Janta Party,109156,76617,70.2 %,6418,8.4%
Sahaspur,17,GEN,Dehradun,Sahdev Singh Pundir,Bharatiya Janta Party,149261,108104,72.4 %,18863,17.4%
Dharampur,18,GEN,Dehradun,Vinod Chamoli,Bharatiya Janta Party,184068,105626,57.4 %,10953,10.4%
Raipur,19,GEN,Dehradun,Umesh Sharma Kau,Bharatiya Janta Party,164587,97850,59.5 %,36771,37.6%
Rajpur Road,20,GEN,Dehradun,Khajan Dass,Bharatiya Janta Party,119509,68762,57.5 %,8632,12.6%
Dehradun Cantt.,21,GEN,Dehradun,Shri Harbans Kapoor,Bharatiya Janta Party,127433,72197,56.7 %,16670,23.1%
Mussoorie,22,GEN,Dehradun,Ganesh Joshi,Bharatiya Janta Party,130287,74938,57.5 %,12077,16.1%
Doiwala,23,GEN,Dehradun,Trivendra Singh Rawat,Bharatiya Janta Party,142455,95775,67.2 %,24869,26.0%
Rishikesh,24,GEN,Dehradun,Premchand Aggarwal,Bharatiya Janta Party,151939,97573,64.2 %,14801,15.2%
Hardwar,25,GEN,Hardwar,Madan Kaushik,Bharatiya Janta Party,143439,92917,64.8 %,35927,38.7%
B.H.E.L. Ranipur,26,GEN,Hardwar,Adesh Chauhan,Bharatiya Janta Party,146806,103295,70.4 %,22240,21.5%
Jwalapur,27,GEN,Hardwar,Suresh Rathor,Bharatiya Janta Party,108867,86239,79.2 %,4788,5.6%
Bhagwanpur,28,GEN,Hardwar,Mamta Rakesh,Indian National Congress,116393,92802,79.7 %,2513,2.7%
Jhabrera,29,GEN,Hardwar,Desraj Karanwal,Bharatiya Janta Party,110669,84042,75.9 %,2253,2.7%
Pirankaliyar,30,GEN,Hardwar,Furkan Ahmad,Indian National Congress,111052,90179,81.2 %,1349,1.5%
Roorkee,31,GEN,Hardwar,Pradeep Batra,Bharatiya Janta Party,113183,71964,63.6 %,12542,17.4%
Khanpur,32,GEN,Hardwar,Kunwar Parnav Singh Champion,Bharatiya Janta Party,135574,106611,78.6 %,13735,12.9%
Manglore,33,GEN,Hardwar,Qazi Mohd Nizamuddin,Indian National Congress,103747,80913,78.0 %,2668,3.3%
Laksar,34,GEN,Hardwar,Sanjay Gupta,Bharatiya Janta Party,95258,77783,81.7 %,1604,2.1%
Hardwar Rural,35,GEN,Hardwar,Yatishwaranand,Bharatiya Janta Party,120188,97568,81.2 %,12278,12.6%
Yamkeshwar,36,GEN,Garhwal,Ritu Khanduri Bhushan,Bharatiya Janta Party,86814,44743,51.5 %,8982,20.1%
Pauri,37,GEN,Garhwal,Mukesh Singh Koli,Bharatiya Janta Party,94973,47958,50.5 %,7030,14.7%
Srinagar,38,GEN,Garhwal,Dr. Dhan Singh Rawat,Bharatiya Janta Party,105222,59444,56.5 %,8698,14.6%
Chaubattakhal,39,GEN,Garhwal,Satpal Maharaj,Bharatiya Janta Party,92718,42640,46.0 %,7354,17.2%
Lansdowne,40,GEN,Garhwal,Daleep Singh Rawat,Bharatiya Janta Party,83291,39291,47.2 %,6475,16.5%
Kotdwar,41,GEN,Garhwal,(DR) HARAK SINGH RAWAT,Bharatiya Janta Party,102890,70627,68.6 %,11318,16.0%
Dharchula,42,GEN,Pithoragarh,Harish Singh,Indian National Congress,86337,53325,61.8 %,3085,5.8%
Didihat,43,GEN,Pithoragarh,Vishan Singh,Bharatiya Janta Party,83872,50933,60.7 %,2368,4.6%
Pithoragarh,44,GEN,Pithoragarh,Prakash Pant,Bharatiya Janta Party,106275,65586,61.7 %,2684,4.1%
Gangolihat,45,GEN,Pithoragarh,Meena Gangola,Bharatiya Janta Party,101208,53811,53.2 %,805,1.5%
Kapkot,46,GEN,Bageshwar,Balwant Singh Bhouriyal,Bharatiya Janta Party,96585,58658,60.7 %,5982,10.2%
Bageshwar,47,GEN,Bageshwar,Chandan Ram Dass,Bharatiya Janta Party,112467,65938,58.6 %,14567,22.1%
Dwarahat,48,GEN,Almora,Mahesh Singh Negi,Bharatiya Janta Party,90576,46203,51.0 %,6593,14.3%
Salt,49,GEN,Almora,Surender Singh Jeena,Bharatiya Janta Party,95621,43083,45.1 %,2904,6.7%
Ranikhet,50,GEN,Almora,Karan Mahara,Indian National Congress,79441,40373,50.8 %,4981,12.3%
Someshwar (s.c.),51,GEN,Almora,Rekha Arya,Bharatiya Janta Party,85514,44794,52.4 %,710,1.6%
Almora,52,GEN,Almora,Raghunath Singh Chauhan,Bharatiya Janta Party,88596,51343,58.0 %,5379,10.5%
Jageshwar,53,GEN,Almora,Govind Singh Kunjwal,Indian National Congress,90367,50003,55.3 %,399,0.8%
Lohaghat,54,GEN,Champawat,Puran Singh Fartyal,Bharatiya Janta Party,102118,55259,54.1 %,148,0.3%
Champawat,55,GEN,Champawat,Kailash Chandra Gahtori,Bharatiya Janta Party,88533,57709,65.2 %,17360,30.1%
Lalkuwa,56,GEN,Nainital,Naveen Chandra Dumka,Bharatiya Janta Party,111700,79596,71.3 %,27108,34.1%
Bhimtal,57,GEN,Nainital,Ram Singh Kaira,Independent,96691,60267,62.3 %,3446,5.7%
Nainital,58,GEN,Nainital,Sanjeev Arya,Bharatiya Janta Party,108040,60362,55.9 %,7247,12.0%
Haldwani,59,GEN,Nainital,Indira Hridayesh,Indian National Congress,139644,93527,67.0 %,6557,7.0%
Kaladhungi,60,GEN,Nainital,Bansidhar Bhagat,Bharatiya Janta Party,147687,100681,68.2 %,20597,20.5%
Ramnagar,61,GEN,Nainital,Diwan Singh Bisht,Bharatiya Janta Party,108554,76510,70.5 %,8611,11.3%
Jaspur,62,GEN,Udham Singh Nagar,Adesh Singh Chauhan,Indian National Congress,115782,91154,78.7 %,4204,4.6%
Kashipur,63,GEN,Udham Singh Nagar,Harbhajan Singh Cheema,Bharatiya Janta Party,151070,104263,69.0 %,20114,19.3%
Bajpur,64,GEN,Udham Singh Nagar,Yashpal Arya,Bharatiya Janta Party,136194,103284,75.8 %,12636,12.2%
Gadarpur,65,GEN,Udham Singh Nagar,Arvind Pandey,Bharatiya Janta Party,121327,97302,80.2 %,14106,14.5%
Rudrapur,66,GEN,Udham Singh Nagar,Rajkumar Thukral,Bharatiya Janta Party,159207,116157,73.0 %,24771,21.3%
Kichha,67,GEN,Udham Singh Nagar,Rajesh Shukla,Bharatiya Janta Party,119566,87620,73.3 %,2127,2.4%
Sitarganj,68,GEN,Udham Singh Nagar,Saurabh Bahuguna,Bharatiya Janta Party,107295,86880,81.0 %,28450,32.7%
Nanak Matta,69,GEN,Udham Singh Nagar,Dr. Prem Singh,Bharatiya Janta Party,108514,82031,75.6 %,9531,11.6%
Khatima,70,GEN,Udham Singh Nagar,Pushkar Singh Dhami,Bharatiya Janta Party,106211,80017,75.3 %,2709,3.4%
