AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Mekliganj,1,SC,Paresh Chandra Adhikary,All India Forward Bloc,138357,115071,83.2 %,21194,18.4%
Sitalkuchi,2,SC,Sudhir Pramanik,Communist Party Of India (MARXIST),133502,116578,87.3 %,32337,27.7%
Mathabhanga,3,SC,Dinesh Chandra Dukua,Communist Party Of India (MARXIST),133818,113316,84.7 %,19118,16.9%
Cooch Behar North,4,GEN,Bimal Kanti Basu,All India Forward Bloc,140093,112472,80.3 %,11023,9.8%
Cooch Behar West,5,GEN,Soumindra Chanra Das,All India Forward Bloc,152287,128025,84.1 %,32190,25.1%
Sitai,6,GEN,Dipal Sengupta,All India Forward Bloc,147644,129034,87.4 %,9082,7.0%
Dinhata,7,GEN,Kamal Kanti Guha,All India Forward Bloc,149207,124869,83.7 %,18601,14.9%
Natabari,8,GEN,Sibendranarayan Chowdhury,Communist Party Of India (MARXIST),125311,108665,86.7 %,17636,16.2%
Tufanganj,9,SC,Debendra Nath Barman,Communist Party Of India (MARXIST),123923,106587,86.0 %,32040,30.1%
Kumargram,10,ST,Salib Topo,Revolutionary Socialist Party,127450,102955,80.8 %,17261,16.8%
Kalchini,11,ST,Monohar Tirkey,Revolutionary Socialist Party,122533,84077,68.6 %,2853,3.4%
Alipurduars,12,GEN,Nirmal Das,Revolutionary Socialist Party,149514,115293,77.1 %,15001,13.0%
Falakata,13,SC,Jogesh Chandra Barman,Communist Party Of India (MARXIST),124942,102830,82.3 %,7004,6.8%
Madarihat,14,ST,Sushil Kujur,Revolutionary Socialist Party,122675,89476,72.9 %,19482,21.8%
Dhupguri,15,SC,Banamali Roy,Communist Party Of India (MARXIST),118328,97214,82.2 %,19358,19.9%
Nagrakata,16,ST,Chaitan Munda,Communist Party Of India (MARXIST),147778,110287,74.6 %,40037,36.3%
Mainaguri,17,SC,Nityananda Adhikary,Revolutionary Socialist Party,129074,103488,80.2 %,12094,11.7%
Mal,18,ST,Jagannath Oraon,Communist Party Of India (MARXIST),130290,96449,74.0 %,18383,19.1%
Kranti,19,GEN,Sudhan Raha,Communist Party Of India (MARXIST),118983,93904,78.9 %,22968,24.5%
Jalpaiguri,20,GEN,Anupam Sen,Indian National Congress,127412,100033,78.5 %,1931,1.9%
Rajganj,21,SC,Jatindra Nath Roy,Communist Party Of India (MARXIST),186541,138081,74.0 %,23513,17.0%
Kalimpong,22,GEN,Nima Tshering Moktan,Independent,128346,85956,67.0 %,31926,37.1%
Darjeeling,23,GEN,Narendra Kumai,Independent,147176,102451,69.6 %,12233,11.9%
Kurseong,24,GEN,Nar Bahadur Chettri,Independent,141650,103582,73.1 %,13782,13.3%
Siliguri,25,GEN,Asok Bhattacharya,Communist Party Of India (MARXIST),225626,152068,67.4 %,10633,7.0%
Phansidewa,26,ST,Prokash Minj,Communist Party Of India (MARXIST),188214,136265,72.4 %,9502,7.0%
Chopra,27,GEN,Mohamuddin,Communist Party Of India (MARXIST),120267,98438,81.8 %,11745,11.9%
Islampur,28,GEN,Choudhury Md. Abdul Karim,Indian National Congress,145628,100637,69.1 %,5103,5.1%
Goalpokhar,29,GEN,Md. Ramjan Ali,All India Forward Bloc,163578,103496,63.3 %,8645,8.4%
Karandighi,30,GEN,Haji Sajjad Hossain,Indian National Congress,164623,112286,68.2 %,6140,5.5%
Raiganj,31,SC,Khagendra Nath Sinha,Communist Party Of India (MARXIST),158824,122138,76.9 %,5062,4.1%
Kaliaganj,32,SC,Ramani Kanta Deb Sarma,Communist Party Of India (MARXIST),122183,109595,89.7 %,645,0.6%
Kushmandi,33,SC,Narmada Chandra Roy,Revolutionary Socialist Party,129346,106218,82.1 %,7689,7.2%
Itahar,34,GEN,Abedin Zainaj,Indian National Congress,133830,110439,82.5 %,5108,4.6%
Gangarampur,35,GEN,Minati Ghosh,Communist Party Of India (MARXIST),160278,132760,82.8 %,4831,3.6%
Tapan,36,ST,Khara Soren,Revolutionary Socialist Party,133389,110447,82.8 %,23155,21.0%
Kumarganj,37,GEN,Dwijendras Nath Oroy,Communist Party Of India (MARXIST),149093,121695,81.6 %,16445,13.5%
Balurghat,38,GEN,Biswanath Chowdhury,Revolutionary Socialist Party,127809,106273,83.1 %,7713,7.3%
Habibpur,39,ST,Sarkar Murmu,Communist Party Of India (MARXIST),128529,99015,77.0 %,13571,13.7%
Gajol,40,ST,Debnath Murmu,Communist Party Of India (MARXIST),136260,107939,79.2 %,22026,20.4%
Kharba,41,GEN,Nazmul Haque,Communist Party Of India (MARXIST),135365,112971,83.5 %,2104,1.9%
Harishchandrapur,42,GEN,Birendra Kumar Moitra,All India Forward Bloc,134996,106940,79.2 %,11720,11.0%
Ratua,43,GEN,Mamtaz Begum,Communist Party Of India (MARXIST),124990,97230,77.8 %,4412,4.5%
Araidanga,44,GEN,Sabitri Mitra,Indian National Congress,116217,96747,83.2 %,2084,2.2%
Malda,45,SC,Subhendu Chowdhury,Communist Party Of India (MARXIST),146376,118290,80.8 %,3109,2.6%
Englishbazar,46,GEN,Prabhat Acharya,Communist Party Of India (MARXIST),138018,110066,79.7 %,2393,2.2%
Manikchak,47,GEN,Subodh Chaudhury,Communist Party Of India (MARXIST),120744,84796,70.2 %,5938,7.0%
Suzapur,48,GEN,Rubi Noor,Indian National Congress,120500,93725,77.8 %,17725,18.9%
Kaliachak,49,GEN,Dinesh Joardar,Communist Party Of India (MARXIST),151610,121020,79.8 %,1807,1.5%
Farakka,50,GEN,Abul Hasnat Khan,Communist Party Of India (MARXIST),123552,97898,79.2 %,5880,6.0%
Aurangabad,51,GEN,Touab Ali,Communist Party Of India (MARXIST),132970,103958,78.2 %,2482,2.4%
Suti,52,GEN,Shish Mahammad,Revolutionary Socialist Party,131712,99103,75.2 %,7254,7.3%
Sagardighi,53,SC,Das Paresh Nath,Communist Party Of India (MARXIST),127294,99501,78.2 %,11046,11.1%
Jangipur,54,GEN,Abdul Haque,Revolutionary Socialist Party,144101,97972,68.0 %,9423,9.6%
Lalgola,55,GEN,Abu Hena,Indian National Congress,130260,104550,80.3 %,8412,8.0%
