AC Name,AC No.,Type,District,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Mekliganj,1,SC,Koch Bihar,Adhikary Paresh Chandra,All India Forward Bloc,170181,147357,86.6 %,32632,22.1%
Mathabhanga,2,SC,Koch Bihar,Binay Krishna Barman,All India Trinamool Congress,194088,168434,86.8 %,5324,3.2%
Cooch Behar Uttar,3,SC,Koch Bihar,Nagendra Nath Roy,All India Forward Bloc,218743,188032,86.0 %,2197,1.2%
Cooch Behar Dakshin,4,GEN,Koch Bihar,Akshay Thakur,All India Forward Bloc,182901,153115,83.7 %,2863,1.9%
Sitalkuchi,5,SC,Koch Bihar,Hiten Barman,All India Trinamool Congress,216535,191453,88.4 %,257,0.1%
Sitai,6,SC,Koch Bihar,Keshab Ch. Ray,Indian National Congress,209580,170962,81.6 %,1577,0.9%
Dinhata,7,GEN,Koch Bihar,Udayan Guha,All India Forward Bloc,222013,184184,83.0 %,30026,16.3%
Natabari,8,GEN,Koch Bihar,Rabindra Nath Ghosh,All India Trinamool Congress,193375,172296,89.1 %,7565,4.4%
Tufanganj,9,GEN,Koch Bihar,Arghya Roy Pradhan,All India Trinamool Congress,183248,163760,89.4 %,6182,3.8%
Kumargram,10,ST,Jalpaiguri,Dasrath Tirkey,Revolutionary Socialist Party,205554,175181,85.2 %,12581,7.2%
Kalchini,11,ST,Jalpaiguri,Wilson Champramary,Independent,182769,154569,84.6 %,7245,4.7%
Alipurduars,12,GEN,Jalpaiguri,Debaprasad Roy (MITHU),Indian National Congress,201024,172969,86.0 %,6783,3.9%
Falakata,13,SC,Jalpaiguri,Anil Adhikari,All India Trinamool Congress,189459,164026,86.6 %,8046,4.9%
Madarihat,14,ST,Jalpaiguri,Kumari Kujur,Revolutionary Socialist Party,161405,133213,82.5 %,7909,5.9%
Dhupguri,15,SC,Jalpaiguri,Mamata Roy,Communist Party Of India (MARXIST),200605,174285,86.9 %,4238,2.4%
Maynaguri,16,SC,Jalpaiguri,Ananta Deb Adhikari,Revolutionary Socialist Party,198615,174276,87.7 %,16276,9.3%
Jalpaiguri,17,SC,Jalpaiguri,Sukhbilas Barma,Indian National Congress,208101,177363,85.2 %,11051,6.2%
Rajganj,18,SC,Jalpaiguri,Khageswar Roy,All India Trinamool Congress,178531,159838,89.5 %,7020,4.4%
Dabgram-Phulbari,19,GEN,Jalpaiguri,Goutam Deb,All India Trinamool Congress,209953,175296,83.5 %,11236,6.4%
Mal,20,ST,Jalpaiguri,Bulu Chik Baraik,Communist Party Of India (MARXIST),182496,156320,85.7 %,4216,2.7%
Nagrakata,21,ST,Jalpaiguri,Joseph Munda,Indian National Congress,183651,153753,83.7 %,763,0.5%
Kalimpong,22,GEN,Darjiling,Dr. Harka Bahadur Chettri,Gorkha Janmukti Morcha,166388,124885,75.1 %,101675,81.4%
Darjeeling,23,GEN,Darjiling,Trilok Kumar Dewan,Gorkha Janmukti Morcha,217964,153523,70.4 %,106555,69.4%
Kurseong,24,GEN,Darjiling,Rohit Sharma,Gorkha Janmukti Morcha,197531,154449,78.2 %,93096,60.3%
Matigara-Naxalbari,25,SC,Darjiling,Sankar Malakar,Indian National Congress,194061,164483,84.8 %,6833,4.2%
Siliguri,26,GEN,Darjiling,Rudra Nath Bhattacharya,All India Trinamool Congress,184300,149807,81.3 %,5006,3.3%
Phansidewa,27,ST,Darjiling,Sunil Chandra Tirkey,Indian National Congress,164905,144271,87.5 %,2237,1.6%
Chopra,28,GEN,Uttar Dinajpur,Hamidul Rahaman,Independent,167193,144084,86.2 %,6570,4.6%
Islampur,29,GEN,Uttar Dinajpur,Abdul Karim Chowdhary,All India Trinamool Congress,150195,118907,79.2 %,11272,9.5%
Goalpokhar,30,GEN,Uttar Dinajpur,Md. Ghulam Rabbani,Indian National Congress,170176,124995,73.5 %,13413,10.7%
Chakulia,31,GEN,Uttar Dinajpur,Ali Imran Ramz,All India Forward Bloc,167010,125198,75.0 %,20413,16.3%
Karandighi,32,GEN,Uttar Dinajpur,Gokul Roy,All India Forward Bloc,182513,150100,82.2 %,5778,3.8%
Hemtabad,33,SC,Uttar Dinajpur,Khagendra Nath Sinha,Communist Party Of India (MARXIST),185011,157239,85.0 %,35704,22.7%
Kaliaganj,34,SC,Uttar Dinajpur,Pramatha Nath Ray,Indian National Congress,202841,178324,87.9 %,7290,4.1%
Raiganj,35,GEN,Uttar Dinajpur,Mohit Sengupta,Indian National Congress,149610,126506,84.6 %,5409,4.3%
Itahar,36,GEN,Uttar Dinajpur,Amal Acharjee,All India Trinamool Congress,164109,140402,85.6 %,7052,5.0%
Kushmandi,37,SC,Dakshin Dinajpur,Narmada Chandra Roy,Revolutionary Socialist Party,155978,139952,89.7 %,3643,2.6%
Kumarganj,38,GEN,Dakshin Dinajpur,Begam Mahamuda,All India Trinamool Congress,148934,132550,89.0 %,4218,3.2%
Balurghat,39,GEN,Dakshin Dinajpur,Chakraborty Shankar,All India Trinamool Congress,139816,124366,88.9 %,18291,14.7%
Tapan,40,ST,Dakshin Dinajpur,Bachchu Hansda,All India Trinamool Congress,157109,140753,89.6 %,18657,13.3%
Gangarampur,41,SC,Dakshin Dinajpur,Satyendra Nath Roy,All India Trinamool Congress,159575,143219,89.8 %,668,0.5%
Harirampur,42,GEN,Dakshin Dinajpur,Biplab Mitra,All India Trinamool Congress,162532,137219,84.4 %,7067,5.2%
Habibpur,43,ST,Maldah,Khagen Murmu,Communist Party Of India (MARXIST),187000,157662,84.3 %,2258,1.4%
Gazole,44,SC,Maldah,Sushil Chandra Ray,Indian National Congress,186960,161941,86.6 %,5584,3.4%
Chanchal,45,GEN,Maldah,Asif Mehbub,Indian National Congress,171300,140852,82.2 %,14187,10.1%
Harischandrapur,46,GEN,Maldah,Tajmul Hossain,All India Forward Bloc,160561,134263,83.6 %,2441,1.8%
Malatipur,47,GEN,Maldah,Abdur Rahim Boxi,Revolutionary Socialist Party,151848,126136,83.1 %,6701,5.3%
Ratua,48,GEN,Maldah,Samar Mukherjee,Indian National Congress,192832,155014,80.4 %,6861,4.4%
Manickchak,49,GEN,Maldah,Sabitri Mitra,All India Trinamool Congress,174680,139930,80.1 %,6217,4.4%
Maldaha,50,SC,Maldah,Bhupendra Nath Halder (ARJUN),Indian National Congress,169549,146409,86.4 %,10755,7.3%
Englishbazar,51,GEN,Maldah,Krishnendu Narayan Choudhury,Indian National Congress,208529,172662,82.8 %,21829,12.6%
Mothabari,52,GEN,Maldah,Sabina Yeasmin,Indian National Congress,134965,107599,79.7 %,6020,5.6%
Sujapur,53,GEN,Maldah,Abu Nasar Khan Choudhury,Indian National Congress,171378,133914,78.1 %,17361,13.0%
Baishnab Nagar,54,GEN,Maldah,Isha Khan Choudhury,Indian National Congress,172524,145489,84.3 %,5023,3.5%
Farakka,55,GEN,Murshidabad,Mainul Haque,Indian National Congress,153081,136127,88.9 %,4739,3.5%
Samserganj,56,GEN,Murshidabad,Touab Ali,Communist Party Of India (MARXIST),152508,131671,86.3 %,7789,5.9%
Suti,57,GEN,Murshidabad,Emani Biswas,Indian National Congress,174931,150337,85.9 %,17409,11.6%
Jangipur,58,GEN,Murshidabad,Md. Sohrab,Indian National Congress,171691,146904,85.6 %,6336,4.3%
Raghunathganj,59,GEN,Murshidabad,Akhruzzaman,Indian National Congress,168860,146478,86.7 %,15540,10.6%
Sagardighi,60,GEN,Murshidabad,Subrata Saha,All India Trinamool Congress,168136,143876,85.6 %,4574,3.2%
Lalgola,61,GEN,Murshidabad,Abu Hena,Indian National Congress,161259,143013,88.7 %,16184,11.3%
Bhagabangola,62,GEN,Murshidabad,Chand Mohammad,Samajwadi Party,179224,162748,90.8 %,13334,8.2%
Raninagar,63,GEN,Murshidabad,Firoza Begam,Indian National Congress,186600,163811,87.8 %,1089,0.7%
Murshidabad,64,GEN,Murshidabad,Shaoni Singha Roy,Indian National Congress,188558,163893,86.9 %,6352,3.9%
Nabagram,65,SC,Murshidabad,Kanai Chandra Mondal,Communist Party Of India (MARXIST),183391,160694,87.6 %,7556,4.7%
Khargram,66,SC,Murshidabad,Ashis Marjit,Indian National Congress,172961,148299,85.7 %,8970,6.0%
Burwan,67,SC,Murshidabad,Protima Rajak,Indian National Congress,169158,140801,83.2 %,616,0.4%
Kandi,68,GEN,Murshidabad,Apurba Sarkar(DAVID),Indian National Congress,178692,144287,80.7 %,7810,5.4%
Bharatpur,69,GEN,Murshidabad,Id Mohammad,Revolutionary Socialist Party,181614,147875,81.4 %,1929,1.3%
Rejinagar,70,GEN,Murshidabad,Humayun Kabir,Indian National Congress,189141,155887,82.4 %,8761,5.6%
Beldanga,71,GEN,Murshidabad,Safiujjaman Seikh,Indian National Congress,182630,149811,82.0 %,13883,9.3%
Baharampur,72,GEN,Murshidabad,Manoj Chakraborty,Indian National Congress,206158,166821,80.9 %,43313,26.0%
Hariharpara,73,GEN,Murshidabad,Insar Ali Biswas,Communist Party Of India (MARXIST),181557,163919,90.3 %,6358,3.9%
Naoda,74,GEN,Murshidabad,Abu Taher Khan,Indian National Congress,183948,156508,85.1 %,13795,8.8%
Domkal,75,GEN,Murshidabad,Anisur Rahaman,Communist Party Of India (MARXIST),193539,173254,89.5 %,3075,1.8%
Jalangi,76,GEN,Murshidabad,Abdur Razzak,Communist Party Of India (MARXIST),192844,171834,89.1 %,37861,22.0%
Karimpur,77,GEN,Nadia,Samarendranath Ghosh,Communist Party Of India (MARXIST),196545,178118,90.6 %,5085,2.9%
Tehatta,78,GEN,Nadia,Ranjit Kumar Mandal,Communist Party Of India (MARXIST),199457,176345,88.4 %,19197,10.9%
Palashipara,79,GEN,Nadia,S.M. Sadi,Communist Party Of India (MARXIST),185525,159620,86.0 %,1652,1.0%
Kaliganj,80,GEN,Nadia,Nasiruddin Ahamed(LAL),All India Trinamool Congress,186279,156551,84.0 %,17178,11.0%
Nakashipara,81,GEN,Nadia,Kallol Khan,All India Trinamool Congress,187228,163765,87.5 %,16474,10.1%
Chapra,82,GEN,Nadia,Rukbanur Rahman,All India Trinamool Congress,187127,164260,87.8 %,2633,1.6%
Krishnanagar Uttar,83,GEN,Nadia,Abani Mohan Joardar,All India Trinamool Congress,200975,170529,84.9 %,35110,20.6%
Nabadwip,84,GEN,Nadia,Pundarikakshya Saha,All India Trinamool Congress,200148,176069,88.0 %,22835,13.0%
Krishnanagar Dakshin,85,GEN,Nadia,Ujjal Biswas,All India Trinamool Congress,174161,153931,88.4 %,11028,7.2%
Santipur,86,GEN,Nadia,Ajoy Dey,Indian National Congress,190634,171189,89.8 %,38158,22.3%
Ranaghat Uttar Paschim,87,GEN,Nadia,Partha Sarathi Chatterjee (BABU),All India Trinamool Congress,211540,186337,88.1 %,27344,14.7%
