#,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,ACs
#,PC Name,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %,ACs
1,Adilabad,35,GEN,Andhra Pradesh,Madhusudhan Reddy Takkala,Telangana Rashtra Samithi,1140834,830601,72.8 %,40974,4.9%,AC View
2,Adoor,17,GEN,Kerala,Chengara Surendran,Communist Party Of India,960122,682227,71.1 %,54534,8.0%,AC View
3,Agra,69,GEN,Uttar Pradesh [2000 Onwards],Raj Babbar,Samajwadi Party,1430713,642675,44.9 %,57342,8.9%,AC View
4,Ahmedabad,10,GEN,Gujarat,Harin Pathak,Bharatiya Janta Party,1382793,548391,39.7 %,77605,14.2%,AC View
5,Ahmednagar,39,GEN,Maharashtra,Gadakh Tukaram Gangadhar,Nationalist Congress Party,1295593,686554,53.0 %,75077,10.9%,AC View
6,Ajmer,12,GEN,Rajasthan,Rasa Singh Rawat,Bharatiya Janta Party,1203803,529138,44.0 %,127976,24.2%,AC View
7,Akbarpur,23,GEN,Uttar Pradesh [2000 Onwards],Maya Wati,Bahujan Samaj Party,1446088,741543,51.3 %,58269,7.9%,AC View
8,Akola,19,GEN,Maharashtra,Dhotre Sanjay Shamrao,Bharatiya Janta Party,1271055,734524,57.8 %,106371,14.5%,AC View
9,Aligarh,72,GEN,Uttar Pradesh [2000 Onwards],Bijendra Singh,Indian National Congress,1341254,633500,47.2 %,2791,0.4%,AC View
10,Alipurduars,2,ST,West Bengal,Joachim Baxla,Revolutionary Socialist Party,1045042,837257,80.1 %,145124,17.3%,AC View
11,Allahabad,52,GEN,Uttar Pradesh [2000 Onwards],Raman Singh,Samajwadi Party,1558094,656450,42.1 %,28383,4.3%,AC View
12,Alleppey,15,GEN,Kerala,Dr. K. S. Manoj,Communist Party Of India (MARXIST),971154,728156,75.0 %,1009,0.1%,AC View
13,Almora,3,SC,Uttarakhand,Bachi Singh Rawat,Bharatiya Janta Party,1012756,504756,49.8 %,10052,2.0%,AC View
14,Alwar,8,GEN,Rajasthan,Dr. Karan Singh Yadav,Indian National Congress,1262622,540451,42.8 %,8371,1.5%,AC View
15,Amalapuram,9,SC,Andhra Pradesh,G.V. Harsha Kumar,Indian National Congress,904207,702715,77.7 %,41485,5.9%,AC View
16,Ambala,1,SC,Haryana,Selja,Indian National Congress,1199338,847673,70.7 %,234935,27.7%,AC View
17,Amethi,21,GEN,Uttar Pradesh [2000 Onwards],Rahul Gandhi,Indian National Congress,1324991,589559,44.5 %,290853,49.3%,AC View
18,Amravati,21,GEN,Maharashtra,Anant Gudhe,Shiv Sena,1204881,675653,56.1 %,14234,2.1%,AC View
19,Amreli,7,GEN,Gujarat,Nilaben Virjibhai Thummar,Indian National Congress,1025515,475548,46.4 %,2030,0.4%,AC View
20,Amritsar,2,GEN,Punjab,Navjot Singh Sidhu,Bharatiya Janta Party,1292902,711808,55.1 %,109532,15.4%,AC View
21,Amroha,2,GEN,Uttar Pradesh [2000 Onwards],Harish Nagpal,Independent,1342541,885155,65.9 %,17884,2.0%,AC View
22,Anakapalli,6,GEN,Andhra Pradesh,Chalapathirao Pappala,Telugu Desam,1023113,781746,76.4 %,15414,2.0%,AC View
23,Anand,20,GEN,Gujarat,Solanki Bharatsinh Madhavsinh,Indian National Congress,1145550,591698,51.7 %,61085,10.3%,AC View
24,Anantapur,25,GEN,Andhra Pradesh,Anantha Venkata Rami Reddy,Indian National Congress,1280923,873370,68.2 %,73404,8.4%,AC View
25,Anantnag,3,GEN,Jammu & Kashmir,Mehbooba Mufti,Jammu & Kashmir Peoples Democratic Party,998905,146632,14.7 %,38938,26.6%,AC View
26,Andaman & Nicobar Islands,1,GEN,Andaman & Nicobar Islands,Manoranjan Bhakta,Indian National Congress,241645,153804,63.7 %,30500,19.8%,AC View
27,Aonla,7,GEN,Uttar Pradesh [2000 Onwards],Kunwar Sarvraj Singh,Janata Dal (United),1145865,536458,46.8 %,6871,1.3%,AC View
28,Arakkonam,6,SC,Tamil Nadu,"Velu, R.",Pattali Makkal Katchi,1160259,773529,66.7 %,102196,13.2%,AC View
29,Arambagh,28,GEN,West Bengal,Anil Basu,Communist Party Of India (MARXIST),1187610,961186,80.9 %,592502,61.6%,AC View
30,Araria,22,GEN,Bihar [2000 Onwards],Sukdeo Paswan,Bharatiya Janta Party,1184962,652439,55.1 %,27744,4.3%,AC View
31,Arrah,33,GEN,Bihar [2000 Onwards],Kanti Singh,Rashtriya Janata Dal,1360794,787780,57.9 %,149743,19.0%,AC View
32,Arunachal East,2,GEN,Arunachal Pradesh,Tapir Gao,Bharatiya Janta Party,289606,162704,56.2 %,44994,27.7%,AC View
33,Arunachal West,1,GEN,Arunachal Pradesh,Kiren Rijiju,Bharatiya Janta Party,394428,220618,55.9 %,47424,21.5%,AC View
34,Asansol,38,SC,West Bengal,Bikash Chowdhury,Communist Party Of India (MARXIST),1092141,724790,66.4 %,124318,17.2%,AC View
35,Aska,10,GEN,Orissa,Hari Har Swain,Biju Janata Dal,1254942,682598,54.4 %,132602,19.4%,AC View
36,Aurangabad,37,GEN,Bihar [2000 Onwards],Nikhil Kumar,Indian National Congress,1401973,767159,54.7 %,7460,1.0%,AC View
37,Aurangabad,33,GEN,Maharashtra,Chandrakant Khaire,Shiv Sena,1636117,911532,55.7 %,121923,13.4%,AC View
38,Autonomous District,3,ST,Assam,Biren Singh Engti,Indian National Congress,579284,401612,69.3 %,24129,6.0%,AC View
39,Azamgarh,41,SC,Uttar Pradesh [2000 Onwards],Ramakant Yadav,Bahujan Samaj Party,1425023,711356,49.9 %,6968,1.0%,AC View
40,Badagara,3,GEN,Kerala,P. Satheedevi,Communist Party Of India (MARXIST),1092826,826054,75.6 %,130589,15.8%,AC View
41,Bagaha,1,GEN,Bihar [2000 Onwards],Kailash Baitha,Janata Dal (United),1160275,570814,49.2 %,65375,11.5%,AC View
42,Bagalkot,27,GEN,Karnataka,Gaddigoudar Parvatagouda Chandanagouda,Bharatiya Janta Party,1324829,866238,65.4 %,167383,19.3%,AC View
43,Baghpat,77,GEN,Uttar Pradesh [2000 Onwards],Ajit Singh,Rashtriya Lok Dal,1570374,656864,41.8 %,220638,33.6%,AC View
