PC Name,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %,Father/Husband Name,Gender,Age
Amalapuram,7,SC,Andhra Pradesh [2014 Onwards],G M Harish (BALAYOGI),Telugu Desam,1531410,1301106,85.00%,342196,26.30%,MOHANA CHANDRA BALAYOGI,male,33
Anakapalli,5,,Andhra Pradesh [2014 Onwards],C.M.Ramesh,Bharatiya Janta Party,1596916,1325332,83.00%,296530,22.40%,MUNISWAMY NAIDU.C,male,58
Anantapur,19,,Andhra Pradesh [2014 Onwards],Ambica G Lakshminarayana Valmiki,Telugu Desam,1767591,1440428,81.50%,188555,13.10%,LATE G CHALAPATHI,male,60
Aruku,1,ST,Andhra Pradesh [2014 Onwards],Gumma Thanuja Rani,Yuvajana Sramika Rythu Congress Party,1554633,1164445,74.90%,50580,4.30%,GUMMA SYAM SUNDARA RAO,female,31
Bapatla,15,SC,Andhra Pradesh [2014 Onwards],Krishna Prasad Tenneti,Telugu Desam,1506354,1300745,86.40%,208031,16.00%,LATE TENNETI SUBBAIAH,male,64
Chittoor,25,SC,Andhra Pradesh [2014 Onwards],Daggumalla Prasada Rao,Telugu Desam,1640202,1418857,86.50%,220479,15.50%,D LUKE,male,62
Eluru,10,,Andhra Pradesh [2014 Onwards],Putta Mahesh Kumar,Telugu Desam,1637430,1382049,84.40%,181857,13.20%,PUTTA SUDHAKAR,male,39
Guntur,13,,Andhra Pradesh [2014 Onwards],Dr Chandra Sekhar Pemmasani,Telugu Desam,1791543,1425371,79.60%,344695,24.20%,SAMBASIVA RAO PEMMASANI,male,48
Hindupur,20,,Andhra Pradesh [2014 Onwards],B K Parthasarathi,Telugu Desam,1656775,1416339,85.50%,132427,9.30%,B K NANJAIAH,male,64
Kadapa,21,,Andhra Pradesh [2014 Onwards],Y. S. Avinash Reddy,Yuvajana Sramika Rythu Congress Party,1639066,1321975,80.70%,62695,4.70%,Y S BHASKAR REDDY,male,39
Kakinada,6,,Andhra Pradesh [2014 Onwards],Tangella Uday Srinivas (TEA TIME UDAY),Janasena Party,1634122,1329803,81.40%,229491,17.30%,,,
Kurnool,18,,Andhra Pradesh [2014 Onwards],Bastipati Nagaraju Panchalingala,Telugu Desam,1722857,1330780,77.20%,111298,8.40%,,,
Machilipatnam,11,,Andhra Pradesh [2014 Onwards],Balashowry Vallabhaneni,Janasena Party,1539460,1312004,85.20%,223179,17.00%,JOJAIAH NAIDU VALLABHANENI,male,55
Nandyal,17,,Andhra Pradesh [2014 Onwards],Dr Byreddy Shabari,Telugu Desam,1721013,1404418,81.60%,111975,8.00%,P SIVA CHARAN REDDY,female,40
Narasaraopet,14,,Andhra Pradesh [2014 Onwards],Lavu Srikrishna Devarayalu,Telugu Desam,1734858,1499569,86.40%,159729,10.70%,LAVU RATHAIAH,male,41
Narsapuram,9,,Andhra Pradesh [2014 Onwards],Bhupathi Raju Srinivasa Varma (B.J.P.VARMA),Bharatiya Janta Party,1472923,1230994,83.60%,276802,22.50%,SURYA NARAYANA RAJU,male,56
Nellore,22,,Andhra Pradesh [2014 Onwards],Prabhakar Reddy Vemireddy,Telugu Desam,1712274,1375649,80.30%,245902,17.90%,SIVAKOTA REDDY VEMIREDDY,male,68
Ongole,16,,Andhra Pradesh [2014 Onwards],Magunta Sreenivasulu Reddy,Telugu Desam,1607832,1422214,88.50%,50199,3.50%,MAGUNTA RAGHAVA REDDY,male,70
Rajahmundry,8,,Andhra Pradesh [2014 Onwards],Daggubati Purandheshwari,Bharatiya Janta Party,1623149,1325297,81.70%,239139,18.00%,Dr D Venkateswara Rao,female,67
Rajampet,24,,Andhra Pradesh [2014 Onwards],P V Midhun Reddy,Yuvajana Sramika Rythu Congress Party,1665702,1332939,80.00%,76071,5.70%,P Ramachandra Reddy,male,46
Srikakulam,2,,Andhra Pradesh [2014 Onwards],Kinjarapu Rammohan Naidu,Telugu Desam,1631174,1235686,75.80%,327901,26.50%,YERRANNAIDU,male,36
Tirupati,23,SC,Andhra Pradesh [2014 Onwards],Gurumoorthy Maddila,Yuvajana Sramika Rythu Congress Party,1729832,1382570,79.90%,14569,1.10%,MADDILA MUNIKRISHNAIAH,male,38
Vijayawada,12,,Andhra Pradesh [2014 Onwards],Kesineni Sivanath (CHINNI),Telugu Desam,1704077,1364405,80.10%,282085,20.70%,RAMASWAMY KESINENI,male,55
Visakhapatnam,4,,Andhra Pradesh [2014 Onwards],Sribharat Mathukumili,Telugu Desam,1927303,1387125,72.00%,504247,36.40%,M S RAMARAO,male,35
Vizianagaram,3,,Andhra Pradesh [2014 Onwards],Appalanaidu Kalisetti,Telugu Desam,1585206,1299242,82.00%,249351,19.20%,BODINAIDU KALISETTI,male,50
