PC Name,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %,Father/Husband Name,Gender,Age
Amritsar,2,GEN,Punjab,Gurjeet Singh Aujla,Indian National Congress,1611263,905656,56.20%,40301,4.40%,SARABJIT SINGH AUJLA,male,51
Anandpur Sahib,6,GEN,Punjab,Malvinder Singh Kang,Aam Aadmi Party,1732211,1077123,62.20%,10846,1.00%,Sukattar Singh Kang,male,45
Bathinda,11,GEN,Punjab,Harsimrat Kaur Badal,Shiromani Akali Dal,1651188,1151170,69.70%,49656,4.30%,Sukhbir Singh Badal,female,57
Faridkot,9,SC,Punjab,Sarabjeet Singh Khalsa,Independent,1594033,1014455,63.60%,70053,6.90%,BEANT SINGH,male,45
Fatehgarh Sahi,8,SC,Punjab,Amar Singh,Indian National Congress,1552567,974256,62.80%,34202,3.50%,MALKIAT SINGH,male,70
Ferozpur,10,GEN,Punjab,Sher Singh Ghubaya,Indian National Congress,1670008,1125115,67.40%,3242,0.30%,NARAIN SINGH,male,61
Gurdaspur,1,GEN,Punjab,Sukhjinder Singh Randhawa,Indian National Congress,1605204,1077826,67.20%,82861,7.70%,SANTOKH SINGH RANDHAWA,male,65
Hoshiarpur,5,SC,Punjab,Dr. Raj Kumar Chabbewal,Aam Aadmi Party,1601826,948485,59.20%,44111,4.70%,Darshan Singh,male,54
Jalandhar,4,SC,Punjab,Charanjit Singh Channi,Indian National Congress,1654005,989107,59.80%,175993,17.80%,HARSA SINGH,male,61
Khadoor Sahib,3,GEN,Punjab,Amritpal Singh,Independent,1667797,1047165,62.80%,197120,18.80%,,,
Ludhiana,7,GEN,Punjab,Amrinder Singh Raja Warring,Indian National Congress,1758614,1059157,60.20%,20942,2.00%,KULDEEP SINGH,male,46
Patiala,13,GEN,Punjab,Dr Dharamvira Gandhi,Indian National Congress,1806424,1151743,63.80%,14831,1.30%,Bhagat Ram,male,73
Sangrur,12,GEN,Punjab,Gurmeet Singh Meet Hayer,Aam Aadmi Party,1556601,1009665,64.90%,172560,17.10%,CHAMKAUR SINGH,male,35
