ac name,ac no,type,district,winning candidate,party,total electors,total votes,margin,margin %,father/husband name,gender,age,UID
VALMIKI NAGAR,1,,West Champaran,SURENDRA PRASAD,Indian National Congress,,107730,1675,,LATE JANKI SHARAN PRASAD,male,59.0,BR2025AC01
RAMNAGAR,2,,West Champaran,NAND KISHOR RAM,Bharatiya Janata Party,,115214,35680,,LATE. RAMJIT RAM,male,53.0,BR2025AC02
NARKATIAGANJ,3,,West Champaran,SANJAY KUMAR PANDEY,Bharatiya Janata Party,,100044,26458,,LATE GHANSHYAM PANDEY,male,60.0,BR2025AC03
BAGAHA,4,,West Champaran,RAM SINGH,Bharatiya Janata Party,,106875,6313,,Late Awadh Bihari Singh,male,73.0,BR2025AC04
LAURIYA,5,,West Champaran,VINAY BIHARI,Bharatiya Janata Party,,96510,26966,,Parmanand Singh,male,55.0,BR2025AC05
NAUTAN,6,,West Champaran,NARAYAN PRASAD,Bharatiya Janata Party,,101952,22072,,,,,BR2025AC06
CHANPATIA,7,,West Champaran,ABHISHEK RANJAN,Indian National Congress,,87538,602,,OM PRAKASH PRASAD,male,35.0,BR2025AC07
BETTIAH,8,,West Champaran,RENU DEVI,Bharatiya Janata Party,,91907,22373,,LATE DURGA PRASAD,female,66.0,BR2025AC08
SIKTA,9,,West Champaran,SAMMRIDH VARMA,Janata Dal (United),,97173,47144,,DILIP VARMA,male,37.0,BR2025AC09
RAXAUL,10,,East Champaran,PRAMOD KUMAR SINHA,Bharatiya Janata Party,,106765,17878,,Shivbachan Prasad Sinha,male,65.0,BR2025AC10
SUGAULI,11,,East Champaran,RAJESH KUMAR ALIAS BABLU GUPTA,Lok Janshakti Party (Ram Vilas),,98875,58191,,,,,BR2025AC11
NARKATIA,12,,East Champaran,VISHAL KUMAR,Janata Dal (United),,104450,1443,,VISHWAMBHAR NATH PRASAD,male,45.0,BR2025AC12
HARSIDHI ,13,,East Champaran,KRISHNANANDAN PASWAN,Bharatiya Janata Party,,96864,7095,,Devnandan Paswan,male,61.0,BR2025AC13
GOVINDGANJ,14,,East Champaran,RAJU TIWARI,Lok Janshakti Party (Ram Vilas),,96034,32683,,VISHWA JIVAN TIWARI,male,55.0,BR2025AC14
KESARIA,15,,East Champaran,SHALINI MISHRA,Janata Dal (United),,78192,16340,,KAMLA MISHRA MADHUKAR,female,52.0,BR2025AC15
KALYANPUR,16,,East Champaran,SACHINDRA PRASAD SINGH,Bharatiya Janata Party,,89057,15568,,LATE CHANAR SINGH,male,60.0,BR2025AC16
PIPRA,17,,East Champaran,SHYAM BABU PRASAD YADAV,Bharatiya Janata Party,,110422,10745,,LATE SUKHRAM PRASAD YADAV,male,59.0,BR2025AC17
MADHUBAN,18,,East Champaran,RANA RANDHIR,Bharatiya Janata Party,,86002,5492,,,,,BR2025AC18
MOTIHARI,19,,East Champaran,PRAMOD KUMAR,Bharatiya Janata Party,,106080,13563,,Shivbachan Prasad Sinha,male,65.0,BR2025AC19
CHIRAIA,20,,East Champaran,LAL BABU PRASAD GUPTA,Bharatiya Janata Party,,90572,39360,,MAHANTH SAH,male,67.0,BR2025AC20
DHAKA,21,,Sheohar,FAISAL RAHMAN,Rashtriya Janata Dal,,112727,178,,MOTIURRAHMAN,male,40.0,BR2025AC21
SHEOHAR,22,,Sitamarhi,SHWETA GUPTA,Janata Dal (United),,97269,31398,,VARUN KUMAR,female,44.0,BR2025AC22
RIGA,23,,Sitamarhi,BAIDYANATH PRASAD,Bharatiya Janata Party,,117393,33125,,RAJ NANDAN PRASAD,male,65.0,BR2025AC23
BATHNAHA,24,,Sitamarhi,ANIL KUMAR,Bharatiya Janata Party,,123698,51769,,,,,BR2025AC24
PARIHAR,25,,Sitamarhi,GAYETRI DEVI,Bharatiya Janata Party,,82644,17189,,RAM NARESH PRASAD YADAV,female,60.0,BR2025AC25
SURSAND,26,,Sitamarhi,PROF. NAGENDRA RAUT,Janata Dal (United),,104157,23667,,LATE KARI RAUT,male,64.0,BR2025AC26
BAJPATTI,27,,Sitamarhi,RAMESHWAR KUMAR MEHTO,Rashtriya Lok Morcha,,99144,3395,,RAM PRAKASH MAHTO,male,50.0,BR2025AC27
SITAMARHI,28,,Sitamarhi,SUNIL KUMAR PINTU,Bharatiya Janata Party,,104226,5562,,HARI SHANKAR PRASAD,male,64.0,BR2025AC28
RUNNISAIDPUR,29,,Sitamarhi,PANKAJ KUMAR,Janata Dal (United),,93672,19737,,,,,BR2025AC29
BELSAND,30,,Sitamarhi,AMIT KUMAR,Lok Janshakti Party (Ram Vilas),,82076,22685,,,,,BR2025AC30
HARLAKHI,31,,Madhubani,SUDHANSHU SHEKHAR,Janata Dal (United),,85486,36236,,BASANT KUMAR,male,39.0,BR2025AC31
BENIPATTI,32,,Madhubani,VINOD NARAYAN JHA,Bharatiya Janata Party,,87153,23932,,VADRINARAYAN JHA,male,68.0,BR2025AC32
KHAJAULI,33,,Madhubani,ARUN SHANKAR PRASAD,Bharatiya Janata Party,,101151,13126,,LATE SATYA NARAYAN PRASAD,male,64.0,BR2025AC33
BABUBARHI,34,,Madhubani,MINA KUMARI,Janata Dal (United),,98221,17568,,RAMAN KUMAR,female,36.0,BR2025AC34
BISFI,35,,Madhubani,ASIF AHMAD,Rashtriya Janata Dal,,100771,8107,,FAIYAZ AHMAD,male,34.0,BR2025AC35
MADHUBANI,36,,Madhubani,MADHAW ANAND,Rashtriya Lok Morcha,,97956,20552,,JAGADA NAND SHARMA,male,43.0,BR2025AC36
