AC Name,AC No.,Type,District,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %,Father/Husband Name,Gender,Age
Bharatpur-Sonhat,1,ST,Koriya,Renuka Singh Saruta,Bharatiya Janta Party,353380,146105,41.30%,4919,3.40%,NARENDRA SINGH SARUTA,female,58.0
Manendragarh,2,GEN,Koriya,Shyam Bihari Jaiswal,Bharatiya Janta Party,269890,99346,36.80%,11880,12.00%,Late SURAJDEEN JAISWAL,male,47.0
Baikunthpur,3,GEN,Koriya,Bhaiya Lal Rajwade,Bharatiya Janta Party,336360,136772,40.70%,25413,18.60%,ALI SAI RAJWADE,male,70.0
Premnagar,4,GEN,Surguja,Bhulan Singh Marabi,Bharatiya Janta Party,474260,189179,39.90%,33290,17.60%,MAHESH MARABI,male,55.0
Bhatgaon,5,GEN,Surguja,Laxmi Rajwade,Bharatiya Janta Party,473604,193894,40.90%,43962,22.70%,THAKUR PRASAD RAJWADE,female,31.0
Pratappur,6,ST,Surguja,Shakuntala Singh Portey,Bharatiya Janta Party,463408,187891,40.50%,11708,6.20%,LAL BAHADUR SINGH PORTEY,female,43.0
Ramanujganj,7,ST,Surguja,Ram Vichar Netam,Bharatiya Janta Party,437072,178935,40.90%,29663,16.60%,RAM LOCHAN NETAM,male,62.0
Samri,8,ST,Surguja,Udhheshwari Paikra,Bharatiya Janta Party,437108,178376,40.80%,13943,7.80%,SIDHNATH PAIKRA,female,51.0
Lundra,9,ST,Surguja,Prabodh Minz,Bharatiya Janta Party,387798,162676,41.90%,24128,14.80%,LATE BERNARD SAMUEL MINZ,male,61.0
Ambikapur,10,GEN,Surguja,Rajesh Agrawal,Bharatiya Janta Party,513356,193746,37.70%,94,0.00%,CHANDIRAM AGARWAL,male,57.0
Sitapur,11,ST,Surguja,Poorv Sainik Ramkumar Toppo,Bharatiya Janta Party,403318,163566,40.60%,17160,10.50%,GANESH RAM,male,31.0
Jashpur,12,ST,Jashpur,Raymuni Bhagat,Bharatiya Janta Party,475538,177732,37.40%,17645,9.90%,TARKESHWAR BHAGAT,female,54.0
