AC Name,AC No.,Type,District,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %,Father/Husband Name,Gender,Age
Abdasa,1,GEN,Kachchh,Jadeja Pradhyumansinh Mahipatsinh,Bharatiya Janta Party,253241,160230,63.30%,9431,5.90%,JADEJA MAHIPATSINH,male,58.0
Mandvi,2,GEN,Kachchh,Aniruddha Bhailal Dave,Bharatiya Janta Party,257421,166999,64.90%,48297,28.90%,Dave Bhailal,male,54.0
Bhuj,3,GEN,Kachchh,Keshubhai Shivdas Patel,Bharatiya Janta Party,291284,176763,60.70%,59814,33.80%,SHIVDAS PATEL,male,66.0
Anjar,4,GEN,Kachchh,Chhanga Trikam Bijal,Bharatiya Janta Party,271005,172794,63.80%,37709,21.80%,BIJAL,male,60.0
Gandhidham,5,SC,Kachchh,Malti Kishor Maheshwari,Bharatiya Janta Party,315266,148560,47.10%,37831,25.50%,KISHOR MAHESHWARI,female,34.0
Rapar,6,GEN,Kachchh,Virendrasinh Bahadursinh Jadeja,Bharatiya Janta Party,247643,141092,57.00%,577,0.40%,BAHADURSINH JADEJA,male,55.0
Vav,7,GEN,Banas Kantha,Thakor Geniben Nagaji,Indian National Congress,301959,222505,73.70%,15601,7.00%,THAKOR NAGAJI,female,46.0
Tharad,8,GEN,Banas Kantha,Shankarbhai Lagdhirbhai Chaudhary,Bharatiya Janta Party,248297,213772,86.10%,26506,12.40%,LAGDHIRBHAI CHAUDHARY,male,52.0
Dhanera,9,GEN,Banas Kantha,Mavjibhai Maganbhai Desai,Independent,268773,200750,74.70%,35696,17.80%,MAGANBHAI MASARUBHAI DESAI,male,50.0
Danta,10,ST,Banas Kantha,Kantibhai Kalabhai Kharadi,Indian National Congress,257800,178204,69.10%,6327,3.60%,KALABHAI KHARADI,male,53.0
Vadgam,11,SC,Banas Kantha,Jignesh Mevani,Indian National Congress,295280,194543,65.90%,4928,2.50%,NATVARLAL PARMAR,male,42
Palanpur,12,GEN,Banas Kantha,Aniket Girishbhai Thaker,Bharatiya Janta Party,284558,177901,62.50%,26980,15.20%,GIRISHBHAI THAKER,male,51
Deesa,13,GEN,Banas Kantha,Pravinkumar Gordhanji Mali,Bharatiya Janta Party,289564,212505,73.40%,42647,20.10%,GORDHANJI GIGAJI MALI,male,37
Deodar,14,GEN,Banas Kantha,Keshaji Shivaji Chauhan,Bharatiya Janta Party,253187,189532,74.90%,38414,20.30%,SHIVAJI SANKALAJI CHAUHAN,male,60
Kankrej,15,GEN,Banas Kantha,Amrutji Motiji Thakor,Indian National Congress,291496,198277,68.00%,5295,2.70%,MOTIJI THAKOR,male,50
Radhanpur,16,GEN,Patan,Lavingji Muljiji Solanki,Bharatiya Janta Party,302753,194737,64.30%,22467,11.50%,MULJIJI RAVAJI SOLANKI,male,67
Chanasma,17,GEN,Patan,Thakor Dineshbhai Ataji,Indian National Congress,292321,182825,62.50%,1404,0.80%,ATAJI,male,52
Patan,18,GEN,Patan,Kiritkumar Chimanlal Patel,Indian National Congress,306151,203871,66.60%,17177,8.40%,Chimanlal Patel,male,52
Sidhpur,19,GEN,Patan,Balvantsinh Chandansinh Rajput,Bharatiya Janta Party,271177,187359,69.10%,2814,1.50%,Chandansinh Madhusinh Rajput,male,61
Kheralu,20,GEN,Mahesana,Sardarbhai Shamalbhai Chaudhary,Bharatiya Janta Party,224292,150139,66.90%,3964,2.60%,SHAMALBHAI CHAUDHARY,male,58
Unjha,21,GEN,Mahesana,Patel Kiritkumar Keshavlal (K K PATEL),Bharatiya Janta Party,232805,146443,62.90%,51468,35.10%,Keshavlal,male,66
Visnagar,22,GEN,Mahesana,Rushikesh Ganeshbhai Patel,Bharatiya Janta Party,229545,158010,68.80%,34405,21.80%,Ganeshbhai Shankarlal Patel,male,61
Becharaji,23,GEN,Mahesana,Thakor Sukhaji Somaji,Bharatiya Janta Party,257845,160190,62.10%,11286,7.00%,THAKOR SOMAJI,male,60
Kadi,24,SC,Mahesana,Karsanbhai Punjabhai Solanki,Bharatiya Janta Party,280415,197774,70.50%,28194,14.30%,Punjabhai Solanki,male,65
Mahesana,25,GEN,Mahesana,Patel Mukeshkumar D.,Bharatiya Janta Party,280608,173773,61.90%,45794,26.40%,Patel Dvarkadas,male,57
Vijapur,26,GEN,Mahesana,Dr. C. J. Chavda,Indian National Congress,224323,156977,70.00%,7053,4.50%,CHAVDA JAVANJI SARDARJI,male,64
Himatnagar,27,GEN,Sabar Kantha,Vinendrasinh Dilipsinh Zala,Bharatiya Janta Party,281224,201874,71.80%,8860,4.40%,Dilipsinh Zala,male,68
Idar,28,SC,Sabar Kantha,Ramanlal Ishwarlal Vora,Bharatiya Janta Party,286838,202970,70.80%,39440,19.40%,ISHWARLAL VORA,male,70
Khedbrahma,29,ST,Sabar Kantha,Dr.Tushar Amarsinh Chaudhary,Indian National Congress,283068,198843,70.20%,1664,0.80%,Amarsinhbhai Chaudhary,male,56
Bhiloda,30,ST,Sabar Kantha,P.C.Baranda,Bharatiya Janta Party,314874,204307,64.90%,28768,14.10%,Chhanabhai Sukabhai Baranda,male,63
Modasa,31,GEN,Sabar Kantha,Bhikhusinhji Chatursinhji Parmar,Bharatiya Janta Party,269999,183160,67.80%,34788,19.00%,CHATURSINHJI NATHUSINHJI PARMAR,male,68
Bayad,32,GEN,Sabar Kantha,Dhavalsinh Narendrasinh Zala,Independent,245651,170276,69.30%,5818,3.40%,NARENDRASINH MANSINH ZALA,male,47
Prantij,33,GEN,Sabar Kantha,Gajendrasinh Udesinh Parmar,Bharatiya Janta Party,258868,180914,69.90%,64622,35.70%,UDESINH PARMAR,male,44
Dahegam,34,GEN,Gandhinagar,Chauhan Balrajsinh Kalyansinh,Bharatiya Janta Party,220785,149845,67.90%,16173,10.80%,KALYANSINH,male,51
Gandhinagar South,35,GEN,Gandhinagar,Alpesh Khodaji Thakor,Bharatiya Janta Party,373223,241140,64.60%,43064,17.90%,KHODABHAI THAKOR,male,47
Gandhinagar North,36,GEN,Gandhinagar,Ritaben Ketankumar Patel,Bharatiya Janta Party,253815,154714,61.00%,26111,16.90%,KETANKUMAR PATEL,female,39
Mansa,37,GEN,Gandhinagar,Jayantibhai Somabhai Patel (J.S. PATEL),Bharatiya Janta Party,230886,163305,70.70%,39266,24.00%,SOMABHAI PATEL,male,64
Kalol,38,GEN,Gandhinagar,Thakor Laxmanji Punjaji (BAKAJI),Bharatiya Janta Party,248081,171854,69.30%,5733,3.30%,,,
Viramgam,39,GEN,Ahmadabad,Patel Hardik Bharatbhai,Bharatiya Janta Party,302730,196501,64.90%,51707,26.30%,BHARATBHAI,male,29
Sanand,40,GEN,Ahmadabad,Kanubhai Karamshibhai Patel,Bharatiya Janta Party,281345,192204,68.30%,35369,18.40%,KARAMSHIBHAI VIRJIBHAI PATEL,male,37
Ghatlodia,41,GEN,Ahmadabad,Patel Bhupendrabhai Rajnikant,Bharatiya Janta Party,428529,253418,59.10%,192263,75.90%,PATEL RAJNIKANT,male,60
Vejalpur,42,GEN,Ahmadabad,Amit Thaker,Bharatiya Janta Party,388841,225053,57.90%,59651,26.50%,DHIRAJLAL THAKER,male,51
Vatva,43,GEN,Ahmadabad,Babusinh Sarabhai Jadav,Bharatiya Janta Party,398664,233973,58.70%,100046,42.80%,Sarabhai Jadav,male,64
Ellisbridge,44,GEN,Ahmadabad,Amit Shah,Bharatiya Janta Party,266482,145377,54.60%,104796,72.10%,Popatlal Shah,male,63
Naranpura,45,GEN,Ahmadabad,Jitendrakumar Ramanlal Patel (JITU BHAGAT),Bharatiya Janta Party,250179,136952,54.70%,92800,67.80%,RAMANLAL,male,60
Nikol,46,GEN,Ahmadabad,Jagdish Vishwakarma,Bharatiya Janta Party,256729,149878,58.40%,55198,36.80%,ISHVARBHAI BHAGWANBHAI,male,49
Naroda,47,GEN,Ahmadabad,Kukrani Payal Manojkumar,Bharatiya Janta Party,296284,156264,52.70%,83513,53.40%,MANOJKUMAR KUKRANI,female,29
Thakkarbapa Nagar,48,GEN,Ahmadabad,Kanchanben Vinubhai Radadiya,Bharatiya Janta Party,243211,134254,55.20%,63799,47.50%,Vinubhai Radadiya,female,54
Bapunagar,49,GEN,Ahmadabad,Dineshsinh Rajendrasinh Kushwaha,Bharatiya Janta Party,207448,120853,58.30%,12070,10.00%,Rajendrasinh,male,54
Amraiwadi,50,GEN,Ahmadabad,Dr. Hasmukh Patel,Bharatiya Janta Party,296466,158137,53.30%,43272,27.40%,PRAHLADBHAI,male,54
Dariapur,51,GEN,Ahmadabad,Kaushikbhai Sukhlal Jain (Kaushik Jain),Bharatiya Janta Party,209897,124076,59.10%,5485,4.40%,Sukhlal Jain,male,59
Jamalpur - Khadia,52,GEN,Ahmadabad,Imran Khedawala,Indian National Congress,217920,125942,57.80%,13658,10.80%,YUSUFBHAI KHEDAWALA,male,56
Maninagar,53,GEN,Ahmadabad,Amul Bhatt,Bharatiya Janta Party,277124,151646,54.70%,90728,59.80%,Balvantrai Bhatt,male,63
Danilimda,54,SC,Ahmadabad,Shailesh Manubhai Parmar,Indian National Congress,266573,154468,57.90%,13487,8.70%,Manubhai Parmar,male,53
Sabarmati,55,GEN,Ahmadabad,Patel Harshadbhai Ranchhodbhai (HARSHAD PATEL),Bharatiya Janta Party,279039,154331,55.30%,98684,63.90%,PATEL RANCHHODBHAI SHIVRAMDAS,male,59
Asarwa,56,SC,Ahmadabad,Darshna M. Vaghela,Bharatiya Janta Party,218026,123264,56.50%,54173,43.90%,Mukeshbhai Vaghela,female,50
Daskroi,57,GEN,Ahmadabad,Babubhai Jamnadas Patel (B.J.P.),Bharatiya Janta Party,391295,248632,63.50%,91637,36.90%,JAMNADAS JOITARAM PATEL,male,74
Dholka,58,GEN,Ahmadabad,Kiritsinh Sardarsang Dabhi,Bharatiya Janta Party,253728,168006,66.20%,13405,8.00%,SARDARSANG DABHI,male,63
Dhandhuka,59,GEN,Ahmadabad,Kalubhai Rupabhai Dabhi,Bharatiya Janta Party,274020,163205,59.60%,34326,21.00%,Rupabhai Dabhi,male,63
Dasada,60,SC,Surendranagar,P.K.Parmar,Bharatiya Janta Party,264512,164437,62.20%,2179,1.30%,Khengarbhai Parmar,male,51
Limbdi,61,GEN,Surendranagar,Kiritsinh Jitubha Rana,Bharatiya Janta Party,287634,181117,63.00%,23146,12.80%,JITUBHA KESHARISINH RANA,male,58
Wadhwan,62,GEN,Surendranagar,Jagdishbhai Prabhubhai Makwana,Bharatiya Janta Party,300270,173293,57.70%,65489,37.80%,PRABHUBHAI MAGANBHAI MAKWANA,male,50
Chotila,63,GEN,Surendranagar,Chauhan Shamajibhai Bhimajibhai,Bharatiya Janta Party,261636,164497,62.90%,25642,15.60%,CHAUHAN BHIMAJIBHAI,male,62
Dhrangadhra,64,GEN,Surendranagar,Prakashbhai Parsotambhai Varmora,Bharatiya Janta Party,308998,206767,66.90%,32973,15.90%,,,
Morbi,65,GEN,Rajkot,Amrutiya Kantilal Shivlal,Bharatiya Janta Party,286837,192274,67.00%,62079,32.30%,SHIVLAL,male,60
