AC Name,AC No.,Type,District,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %,Father/Husband Name,Gender,Age
Kalka,1,GEN,Panchkula,Shakti Rani Sharma,Bharatiya Janta Party,202379,145220,71.80%,10883,7.50%,VENOD SHARMA,female,71
Panchkula,2,GEN,Panchkula,Chander Mohan,Indian National Congress,236639,139515,59.00%,1997,1.40%,Bhajan Lal,male,58
Naraingarh,3,GEN,Ambala,Shalley Chaudhary,Indian National Congress,193167,140879,72.90%,15094,10.70%,Ram Kishan,female,58
Ambala Cantt,4,GEN,Ambala,Anil Vij,Bharatiya Janta Party,207135,132682,64.10%,7277,5.50%,BHIM SAIN,male,71
Ambala City,5,GEN,Ambala,Nirmal Singh Mohra,Indian National Congress,262827,164330,62.50%,11131,6.80%,HAZARA SINGH,male,71
Mulana,6,SC,Ambala,Pooja,Indian National Congress,225329,159357,70.70%,12865,8.10%,Varun Chaudhry,female,38
Sadhaura,7,SC,Yamunanagar,Renu Bala,Indian National Congress,221830,173545,78.20%,1699,1.00%,RISHI PAL,female,44
Jagadhri,8,GEN,Yamunanagar,Akram Khan,Indian National Congress,234247,182283,77.80%,6868,3.80%,MOHD ASLAM KHAN,male,54
Yamunanagar,9,GEN,Yamunanagar,Ghanshyam Dass,Bharatiya Janta Party,243268,163278,67.10%,22437,13.70%,ARJUN DASS,male,72
Radaur,10,GEN,Yamunanagar,Shyam Singh Rana,Bharatiya Janta Party,209348,152480,72.80%,13132,8.60%,CHATTAR SINGH,male,76
Ladwa,11,GEN,Kurukshetra,Nayab Singh,Bharatiya Janta Party,197233,147857,75.00%,16054,10.90%,TELU RAM,male,54
Shahbad,12,SC,Kurukshetra,Ram Karan,Indian National Congress,172102,120771,70.20%,6441,5.30%,BACHNA RAM,male,55
Thanesar,13,GEN,Kurukshetra,Ashok Kumar Arora,Indian National Congress,218846,142414,65.10%,3243,2.30%,MULAKH RAJ ARORA,male,71
Pehowa,14,GEN,Kurukshetra,Mandeep Chatha,Indian National Congress,187474,128296,68.40%,6553,5.10%,HARMOHINDER SINGH CHATHA,male,51
Guhla,15,SC,Kaithal,Devender Hans,Indian National Congress,192700,133174,69.10%,22880,17.20%,MUNSHI RAM,male,44
Kalayat,16,GEN,Kaithal,Vikas Saharan,Indian National Congress,215126,160020,74.40%,13419,8.40%,JAI PARKASH,male,35
Kaithal,17,GEN,Kaithal,Aditya Surjewala,Indian National Congress,223447,168200,75.30%,8124,4.80%,RANDEEP SINGH SUREJEWALA,male,25
Pundri,18,GEN,Kaithal,Satpal Jamba,Bharatiya Janta Party,193120,135745,70.30%,2197,1.60%,DHARAM SINGH,male,44
Nilokheri,19,SC,Karnal,Bhagwan Dass,Bharatiya Janta Party,234120,148493,63.40%,18845,12.70%,VED PARKASH,male,55
Indri,20,GEN,Karnal,Ram Kumar Kashyap,Bharatiya Janta Party,219216,156149,71.20%,15149,9.70%,BANARSI DASS,male,73
Karnal,21,GEN,Karnal,Jagmohan Anand,Bharatiya Janta Party,266902,150017,56.20%,33652,22.40%,PREM NATH ANAND,male,54
