AC Name,AC No.,Type,District,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %,Father/Husband Name,Gender,Age
Karnah,1,GEN,Kupwara,Javaid Ahmad Mirchal,Jammu & Kashmir National Conference,57949,40856,70.5 %,6262,15.3%,NASIR-UD-DIN MIRCHAL,male,46.0
Trehgam,2,GEN,Kupwara,Saifullah Mir,Jammu & Kashmir National Conference,78569,52428,66.7 %,3626,6.9%,ALI MOHD MIR,male,64.0
Kupwara,3,GEN,Kupwara,Mir Mohammad Fayaz,Jammu & Kashmir Peoples Democratic Party,94953,60672,63.9 %,9797,16.1%,MOHD SABIR MIR,male,47.0
Lolab,4,GEN,Kupwara,Qaysar Jamshaid Lone,Jammu & Kashmir National Conference,90392,58124,64.3 %,7871,13.5%,NAZIR AHMAD LONE,male,49.0
Handwara,5,GEN,Kupwara,Sajad Gani Lone,Jammu & Kashmir People Conference,98402,71847,73.0 %,662,0.9%,LATE ABDUL GANI LONE,male,57.0
Langate,6,GEN,Kupwara,Khursheed Ahmad Shiekh,Independent,120208,76958,64.0 %,1602,2.1%,MOHAMMAD KHAZIR SHIEKH,male,45.0
Sopore,7,GEN,Baramula,Irshad Rasool Kar,Jammu & Kashmir National Conference,112829,51212,45.4 %,20356,39.7%,Ghulam Rasool Kar,male,51
Rafiabad,8,GEN,Baramula,Javid Ahmad Dar,Jammu & Kashmir National Conference,112903,70010,62.0 %,9202,13.1%,Late Mohd Yousuf Dar,male,50
Uri,9,GEN,Baramula,Sajjad Shafi,Jammu & Kashmir National Conference,104761,72388,69.1 %,14469,20.0%,Mohammad Shafi,male,55
Baramulla,10,GEN,Baramula,Javid Hassan Baig,Jammu & Kashmir National Conference,126220,68218,54.0 %,11773,17.3%,MOHAMMAD HASSAN BAIG,male,60
Gulmarg,11,GEN,Baramula,Pirzada Farooq Ahmed Shah,Jammu & Kashmir National Conference,90295,63892,70.8 %,4191,6.6%,PIRZADA ABDUL RASHID SHAH,male,61
Wagoora–kreeri,12,GEN,Baramula,Irfan Hafiz Lone,Indian National Congress,72170,43232,59.9 %,7751,17.9%,HAFIZULLAH LONE,male,46
Pattan,13,GEN,Baramula,Javaid Riyaz,Jammu & Kashmir National Conference,103067,69240,67.2 %,603,0.9%,GHULAM QADIR BEDAR,male,71
Sonawari,14,GEN,Bandipore,Hilal Akbar Lone,Jammu & Kashmir National Conference,120959,84231,69.6 %,13744,16.3%,MOHAMMAD AKBAR LONE,male,50
Bandipora,15,GEN,Bandipore,Nizam Uddin Bhat,Indian National Congress,115970,73795,63.6 %,811,1.1%,LATE GHULAM QADIR BHAT,male,77
Gurez,16,GEN,Bandipore,Nazir Ahmad Khan,Jammu & Kashmir National Conference,22131,17812,80.5 %,1132,6.4%,HAMIDULLAH KHAN,male,59
Kangan,17,GEN,Ganderbal,Mian Mehar Ali,Jammu & Kashmir National Conference,78718,56283,71.5 %,3819,6.8%,MIAN ALTAF AHMED,male,38
Ganderbal,18,GEN,Ganderbal,Omar Abdullah,Jammu & Kashmir National Conference,129013,73003,56.6 %,10574,14.5%,DR. FAROOQ ABDULLAH,male,53
Hazratbal,19,GEN,Srinagar,Salman Sagar,Jammu & Kashmir National Conference,112541,35936,31.9 %,10295,28.6%,ALI MOHAMMAD SAGAR,male,43
Khanyar,20,GEN,Srinagar,Ali Mohammad Sagar,Jammu & Kashmir National Conference,91223,23454,25.7 %,9912,42.3%,Kh Ghulam Qadir,male,66
