AC Name,AC No.,Type,District,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %,Father/Husband Name,Gender,Age
Nippani,1,GEN,Belgaum,Jolle Shashikala Annasaheb,Bharatiya Janta Party,226653,186493,82.30%,7292,3.90%,ANNASAHEB JOLLE,female,53.0
Chikkodi-Sadalga,2,GEN,Belgaum,Ganesh Prakash Hukkeri,Indian National Congress,224684,182878,81.40%,78509,42.90%,PRAKASH HUKKERI,male,45.0
Athani,3,GEN,Belgaum,Laxman. Sangappa. Savadi,Indian National Congress,229191,191242,83.40%,76122,39.80%,SANGAPPA SAVADI,male,64.0
Kagwad,4,GEN,Belgaum,Bharamgouda Alagouda Kage,Indian National Congress,195981,161093,82.20%,8827,5.50%,ALAGOUDA KAGE,male,65.0
Kudachi,5,SC,Belgaum,Mahendra. Kallappa. Tammannavar,Indian National Congress,193550,149397,77.20%,25243,16.90%,KALLAPPA RATNAPPA TAMMANNAVAR,male,45.0
Raybag,6,SC,Belgaum,Aihole Duryodhan Mahalingappa,Bharatiya Janta Party,211452,163428,77.30%,2570,1.60%,MAHALINGAPPA,male,65.0
Hukkeri,7,GEN,Belgaum,Katti Nikhil Umesh,Bharatiya Janta Party,208196,166735,80.10%,42551,25.50%,UMESH VISHWANATH KATTI,male,40.0
Arabhavi,8,GEN,Belgaum,Balachandra Laxmanrao Jarkiholi,Bharatiya Janta Party,248624,189175,76.10%,71540,37.80%,LAXMANRAO,male,56.0
Gokak,9,GEN,Belgaum,Jarkiholi Ramesh Laxmanrao,Bharatiya Janta Party,256452,189330,73.80%,25412,13.40%,Laxmanrao Ramappa Jarkiholi,male,63.0
Yemkanmardi,10,ST,Belgaum,Satish Laxmanarao Jarkiholi,Indian National Congress,203074,165450,81.50%,57211,34.60%,LAXMANARAO JARKIHOLI,male,60.0
Belgaum Uttar,11,GEN,Belgaum,Asif (Raju) Sait,Indian National Congress,251567,148317,59.00%,4231,2.90%,Nuroddin,male,64.0
Belgaum Dakshin,12,GEN,Belgaum,Abhay Patil,Bharatiya Janta Party,248615,157512,63.40%,12308,7.80%,Bharamagouda,male,54.0
