ac name,ac no,type,district,winning candidate,party,total electors,total votes,poll%,margin,margin %,father/husband name,gender,age,UID
Manjeshwar,1,GEN,Kasaragod,A K M Ashraf,Indian Union Muslim League,212108,172039,81.10%,745,0.40%,ABOOBACKER,male,43.0,KL2021AC01
Kasaragod,2,GEN,Kasaragod,N A Nellikkunnu,Indian Union Muslim League,193015,143861,74.50%,12901,9.00%,ABDUL KHADER,male,67.0,KL2021AC02
Udma,3,GEN,Kasaragod,C H Kunhambu,Communist Party Of India (Marxist),203810,164907,80.90%,13322,8.10%,AMBU KARANAVAR,male,61.0,KL2021AC03
Kanhangad,4,GEN,Kasaragod,E Chandrashekaran,Communist Party Of India,209571,166198,79.30%,27139,16.30%,P. KUNHIRAMAN NAIR,male,72.0,KL2021AC04
Trikaripur,5,GEN,Kasaragod,M Rajagopalan,Communist Party Of India (Marxist),194025,159850,82.40%,26137,16.40%,DAMODARAN P,male,60.0,KL2021AC05
Payyannur,6,GEN,Kannur,T I Madhusoodanan,Communist Party Of India (Marxist),176090,149259,84.80%,49780,33.40%,,,,KL2021AC06
Kalliasseri,7,GEN,Kannur,M Vijin,Communist Party Of India (Marxist),175316,144919,82.70%,44393,30.60%,BHASKARAN T K,male,31.0,KL2021AC07
Taliparamba,8,GEN,Kannur,M V Govindan Master,Communist Party Of India (Marxist),202287,177323,87.70%,22689,12.80%,KUNHAMBU,male,69.0,KL2021AC08
Irikkur,9,GEN,Kannur,Adv. Sajeev Joseph,Indian National Congress,188918,152057,80.50%,10010,6.60%,A K Joseph,male,48.0,KL2021AC09
Azhikode,10,GEN,Kannur,K V Sumesh,Communist Party Of India (Marxist),172328,144380,83.80%,6141,4.30%,M Govindan,male,42.0,KL2021AC10
Kannur,11,GEN,Kannur,Ramachandran Kadannappalli,Congress (Secular),165259,133585,80.80%,1745,1.30%,,,,KL2021AC11
Dharmadam,12,GEN,Kannur,Pinarayi Vijayan,Communist Party Of India (Marxist),184844,159847,86.50%,50123,31.40%,Koran,male,77.0,KL2021AC12
Thalassery,13,GEN,Kannur,Adv. A. N. Shamseer,Communist Party Of India (Marxist),168406,130676,77.60%,36801,28.20%,USMAN,male,44.0,KL2021AC13
Kuthuparamba,14,GEN,Kannur,K.P. Mohanan,Loktantrik Janta Dal,184586,155215,84.10%,9541,6.10%,P R Kurup,male,70.0,KL2021AC14
Mattannur,15,GEN,Kannur,K K Shailaja Teacher,Communist Party Of India (Marxist),181918,154338,84.80%,60963,39.50%,Bhaskaran,female,64.0,KL2021AC15
Peravoor,16,GEN,Kannur,Adv. Sunny Joseph,Indian National Congress,170991,141734,82.90%,3172,2.20%,Joseph,male,68.0,KL2021AC16
Mananthavady,17,ST,Wayanad,A K M Ashraf,Communist Party Of India (Marxist),186656,151784,81.30%,9282,6.10%,,,,KL2021AC17
Sulthanbathery,18,ST,Wayanad,I.C Balakrishnan,Indian National Congress,213280,166272,78.00%,11822,7.10%,CHANTHU,male,45.0,KL2021AC18
Kalpetta,19,GEN,Wayanad,Adv.T Siddiqu,Indian National Congress,195211,151381,77.50%,5470,3.60%,KASIM,male,46.0,KL2021AC19
Vadakara,20,GEN,Kozhikode,K.K.Rema,Revolutionary Marxist Party Of India,158921,136320,85.80%,7491,5.50%,CHANDRASEKHARAN,female,50.0,KL2021AC20
