AC Name,AC No.,Type,District,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %,Father/Husband Name,Gender,Age
Akkalkuwa,1,ST,Nandurbar,Amshya Fulji Padvi,Shiv Sena,319439,225130,70.5 %,2904,1.3%,Fulji Thoblya Padvi,male,56.0
Shahada,2,ST,Nandurbar,Rajesh Udesing Padvi,Bharatiya Janta Party,352636,242870,68.9 %,53204,21.9%,UDESING KOCHARU PADVI,male,55.0
Nandurbar,3,ST,Nandurbar,Dr.Vijaykumar Krushanrao Gavit,Bharatiya Janta Party,353781,238535,67.4 %,76247,32.0%,KRUSHANRAO DAMJI GAVIT,male,69.0
Nawapur,4,ST,Nandurbar,Shirishkumar Surupsing Naik,Indian National Congress,295786,238476,80.6 %,1121,0.5%,Surupsing Hirya Naik,male,52.0
Sakri,5,ST,Dhule,Manjula Tulshiram Gavit,Shiv Sena,365407,241115,66.0 %,5584,2.3%,,,
Dhule Rural,6,GEN,Dhule,Raghavendra (RAMDADA) MANOHAR PATIL,Bharatiya Janta Party,409475,288093,70.4 %,66320,23.0%,MANOHAR DATTATRAY PATIL,male,31.0
Dhule City,7,GEN,Dhule,Agrawal Anupbhaiyya Omprakash,Bharatiya Janta Party,364440,219502,60.2 %,45750,20.8%,OMPRAKASH PURANMAL AGRAWAL,male,50.0
Sindkheda,8,GEN,Dhule,Jaykumar Jitendrasinh Rawal,Bharatiya Janta Party,341008,224764,65.9 %,95884,42.7%,JITENDRASINH JAYSINH RAWAL,male,49.0
Shirpur,9,ST,Dhule,Kashiram Vechan Pawara,Bharatiya Janta Party,350996,229500,65.4 %,145944,63.6%,VECHAN VERSING PAWARA,male,58.0
Chopda,10,ST,Jalgaon,Chandrakant Baliram Sonawane,Shiv Sena,331384,220168,66.4 %,32313,14.7%,Baliram Totaram Sonawane,male,63.0
Raver,11,GEN,Jalgaon,Amol Haribhau Jawale,Bharatiya Janta Party,309536,229123,74.0 %,43562,19.0%,Hari Madhav Jawale,male,42.0
Bhusawal,12,SC,Jalgaon,Savkare Sanjay Waman,Bharatiya Janta Party,316307,182751,57.8 %,47488,26.0%,Waman Khandu Sawkare,male,55.0
Jalgaon City,13,GEN,Jalgaon,Suresh Damu Bhole (RAJU MAMA),Bharatiya Janta Party,433467,240140,55.4 %,87503,36.4%,DAMU DODHU BHOLE,male,59.0
Jalgaon Rural,14,GEN,Jalgaon,Gulabrao Raghunath Patil,Shiv Sena,337386,233666,69.3 %,59232,25.3%,RAGHUNATH CHATRU PATIL,male,58.0
Amalner,15,GEN,Jalgaon,Anil Bhaidas Patil,Nationalist Congress Party,308272,203238,65.9 %,33435,16.5%,BHAIDAS SANTOSH PATIL,male,57.0
Erandol,16,GEN,Jalgaon,Amol Chimanrao Patil,Shiv Sena,293551,202159,68.9 %,56332,27.9%,CHIMANRAO RUPCHAND PATIL,male,46.0
Chalisgaon,17,GEN,Jalgaon,Mangesh Ramesh Chavan,Bharatiya Janta Party,375011,232387,62.0 %,85653,36.9%,RAMESH GOVINDA CHAVAN,male,41.0
Pachora,18,GEN,Jalgaon,Kishor Appa Patil,Shiv Sena,333860,230005,68.9 %,38689,16.8%,DHANSING ONKAR PATIL,male,55.0
Jamner,19,GEN,Jalgaon,Girish Dattatray Mahajan,Bharatiya Janta Party,335274,236852,70.6 %,26885,11.4%,DATTATRAY BHIKA MAHAJAN,male,64.0
Muktainagar,20,GEN,Jalgaon,Chandrakant Nimba Patil,Shiv Sena,304064,215922,71.0 %,23904,11.1%,Late Nimba Motiram Patil,male,51.0
Malkapur,21,GEN,Buldana,Chainsukh Madanlal Sancheti,Bharatiya Janta Party,288385,206444,71.6 %,26397,12.8%,,,
Buldhana,22,GEN,Buldana,Gaikwad Sanjay Rambhau,Shiv Sena,307106,193420,63.0 %,841,0.4%,Rambhau Yeduji Gaikwad,male,57.0
Chikhli,23,GEN,Buldana,Shweta Vidyadhar Mahale,Bharatiya Janta Party,305718,223103,73.0 %,3201,1.4%,Vidyadhar Mahale,female,41.0
Sindkhed Raja,24,GEN,Buldana,Kayande Manoj Devanand,Nationalist Congress Party,322995,229729,71.1 %,4650,2.0%,DEVANAND KHANDUJI KAYANDE,male,35.0
Mehkar,25,SC,Buldana,Kharat Siddharth Rambhau,Shiv Sena (Uddhav Balasaheb Thackrey),305960,213661,69.8 %,4819,2.3%,RAMBHAU BARKU KHARAT,male,58.0
Khamgaon,26,GEN,Buldana,Akash Pandurang Fundkar,Bharatiya Janta Party,297922,227383,76.3 %,25477,11.2%,Pandurang Pundlik Fundkar,male,41.0
Jalgaon (JAMOD),27,GEN,Buldana,Kute Sanjay Shriram,Bharatiya Janta Party,306414,226090,73.8 %,18771,8.3%,SHRIRAM AVADHUT KUTE,male,55.0
Akot,28,GEN,Akola,Prakash Gunwant Bharsakle,Bharatiya Janta Party,311182,213382,68.6 %,18851,8.8%,GUNWANTRAO BHARSAKLE,male,72.0
Balapur,29,GEN,Akola,Nitin Bhikanrao Deshmukh,Shiv Sena (Uddhav Balasaheb Thackrey),310202,221042,71.3 %,11739,5.3%,BHIKANRAO TALE,male,51.0
Akola West,30,GEN,Akola,Sajid Khan Pathan,Indian National Congress,350795,204060,58.2 %,1283,0.6%,Mannan Khan Sujat Khan,male,49.0
Akola East,31,GEN,Akola,Randhir Pralhadrao Sawarkar,Bharatiya Janta Party,355184,220360,62.0 %,50613,23.0%,PRALHADRAO GANPATRAO SAWARKAR,male,51.0
Murtizapur,32,SC,Akola,Harish Marotiappa Pimple,Bharatiya Janta Party,310531,207868,66.9 %,35864,17.3%,MAROTIAPPA VITTHALAPPA PIMPLE,male,47.0
Risod,33,GEN,Washim,Ameet Subhashrao Zanak,Indian National Congress,324392,229700,70.8 %,6136,2.7%,SUBHASHRAO RAMRAOJI ZANAK,male,39.0
Washim,34,SC,Washim,Shyam Ramcharan Khode,Bharatiya Janta Party,368474,244824,66.4 %,19874,8.1%,RAMCHARAN NARAYAN KHODE,male,58.0
Karanja,35,GEN,Washim,Sai Prakash Dahake,Bharatiya Janta Party,316241,208401,65.9 %,35073,16.8%,PRAKASH UTTAMRAO DAHAKE,female,60.0
Dhamangaon Railway,36,GEN,Amravati,Adsad Pratap Arunbhau,Bharatiya Janta Party,317856,222575,70.0 %,16228,7.3%,ARUNBHAU,male,46.0
Badnera,37,GEN,Amravati,Ravi Gangadhar Rana,Rashtriya Yuva Swabhiman Party,363825,211809,58.2 %,66974,31.6%,Gangadhar Narayan Rana,male,45.0
Amravati,38,GEN,Amravati,Sulbha Sanjay Khodke,Nationalist Congress Party,374458,214402,57.3 %,5413,2.5%,Sanjay Vinayak Khodke,female,61.0
Teosa,39,GEN,Amravati,Rajesh Shriramji Wankhade,Bharatiya Janta Party,296495,202328,68.2 %,7617,3.8%,SHRIRAM BHIKANRAO WANKHADE,male,54.0
Daryapur,40,SC,Amravati,Gajanan Motiram Lawate,Shiv Sena (Uddhav Balasaheb Thackrey),308445,207547,67.3 %,19709,9.5%,MOTIRAM FAKIRAJI LAWATE,male,54.0
Melghat,41,ST,Amravati,Kewalram Tulsiram Kale,Bharatiya Janta Party,302029,219667,72.7 %,106859,48.6%,,,
Achalpur,42,GEN,Amravati,Pravin Vasantrao Tayade,Bharatiya Janta Party,292241,212374,72.7 %,12131,5.7%,Vasantrao Bhauraoji Tayade,male,51.0
Morshi,43,GEN,Amravati,Umesh Alias Chandu Atmaramji Yawalkar,Bharatiya Janta Party,291109,209311,71.9 %,64988,31.0%,ATMARAMJI YAWALKAR,male,52.0
Arvi,44,GEN,Wardha,Sumit Wankhede,Bharatiya Janta Party,265420,191586,72.2 %,39574,20.7%,Kishor Govindrao Wankhede,male,40.0
Deoli,45,GEN,Wardha,Rajesh Bhaurao Bakane,Bharatiya Janta Party,274608,190058,69.2 %,9308,4.9%,,,
Hinganghat,46,GEN,Wardha,Samir Tryambakrao Kunawar,Bharatiya Janta Party,297547,211115,71.0 %,30094,14.3%,TRYAMBAKRAO DEVIDASPANT KUNAWAR,male,56.0
Wardha,47,GEN,Wardha,Dr. Pankaj Rajesh Bhoyar,Bharatiya Janta Party,294751,195871,66.5 %,7470,3.8%,,,
Katol,48,GEN,Nagpur,Charansing Babulalji Thakur,Bharatiya Janta Party,281367,197437,70.2 %,38816,19.7%,BABULAL MEHTAPSING THAKUR,male,65.0
Savner,49,GEN,Nagpur,Dr Ashishrao Deshmukh,Bharatiya Janta Party,321817,222741,69.2 %,26401,11.9%,RANJEET ARVIND DESHMUKH,male,49.0
Hingna,50,GEN,Nagpur,Sameer Dattatraya Meghe,Bharatiya Janta Party,450141,269641,59.9 %,78931,29.3%,Dattatraya Raghobaji Meghe,male,46.0
Umred,51,SC,Nagpur,Sanjay Narayanrao Meshram,Indian National Congress,300957,214624,71.3 %,12825,6.0%,NARAYANRAO DHARMRAO MESHRAM,male,65.0
Nagpur South West,52,GEN,Nagpur,Devendra Gangadhar Fadnavis,Bharatiya Janta Party,411241,225602,54.9 %,39710,17.6%,GANGADHAR KASHIRAO FADNAVIS,male,54.0
Nagpur South,53,GEN,Nagpur,Mohan Gopalrao Mate,Bharatiya Janta Party,394425,226990,57.5 %,15658,6.9%,GOPALRAO APPAJI MATE,male,56.0
Nagpur East,54,GEN,Nagpur,Khopde Krishna Pancham,Bharatiya Janta Party,418981,248485,59.3 %,115288,46.4%,PANCHAMJI NARAYANRAO KHOPDE,male,65.0
Nagpur Central,55,GEN,Nagpur,Datke Pravin Prabhakarrao,Bharatiya Janta Party,341169,195569,57.3 %,11632,5.9%,PRABHAKARRAO DATKE,male,45.0
Nagpur West,56,GEN,Nagpur,Vikas Pandurang Thakre,Indian National Congress,388353,218213,56.2 %,5824,2.7%,PANDURANG MAROTRAO THAKRE,male,58.0
Nagpur North,57,SC,Nagpur,Dr Nitin Kashinath Raut,Indian National Congress,428845,249644,58.2 %,28467,11.4%,Shri Kashinath Raut,male,72.0
Kamthi,58,GEN,Nagpur,Chandrashekhar Krushnarao Bawankule,Bharatiya Janta Party,501770,321510,64.1 %,40946,12.7%,Krushnarao Khumanrao Bawankule,male,55.0
Ramtek,59,GEN,Nagpur,Ashish Nandkishore Jaiswal(VAKIL),Shiv Sena,286931,206896,72.1 %,26555,12.8%,Nandkishore Jaiswal,male,53.0
Tumsar,60,GEN,Bhandara,Karemore Raju Manikrao,Nationalist Congress Party,309727,230660,74.5 %,64305,27.9%,MANIKRAO ATMARAM KAREMORE,male,53.0
Bhandara,61,SC,Bhandara,Bhondekar Narendra Bhojraj,Shiv Sena,378667,259617,68.6 %,38367,14.8%,BHOJRAJ LATARU BHONDEKAR,male,45.0
Sakoli,62,GEN,Bhandara,Nanabhau Falgunrao Patole,Indian National Congress,328476,234260,71.3 %,208,0.1%,FALGUNRAO PAIKUJI PATOLE,male,61.0
