ac name,ac no,type,district,winning candidate,party,total electors,total votes,poll%,margin,margin %,father/husband name,gender,age,UID
Mannadipet,1,GEN,Puducherry,A. Namassivayam,Bharatiya Janta Party,31509,28397,90.10%,2750,9.70%,ARUMUGAM,male,51.0,PY2021AC01
Thirubhuvanai,2,SC,Puducherry,P. Angalane,Independent,31814,28524,89.70%,2359,8.30%,PAVADAI,male,52.0,PY2021AC02
Oussudu,3,SC,Puducherry,Ak Sai J Saravanan Kumar,Bharatiya Janta Party,30571,28538,93.30%,1880,6.60%,ARUMUGAM @ KRISHNAN,male,48.0,PY2021AC03
Mangalam,4,GEN,Puducherry,Djeacoumar .C,All India N.R. Congress,36977,32986,89.20%,2751,8.30%,CANNAYANE .G,male,68.0,PY2021AC04
Villianur,5,GEN,Puducherry,R. Siva,Dravida Munetra Kazhagam,40792,34788,85.30%,6950,20.00%,,,,PY2021AC05
Ozhukarai,6,GEN,Puducherry,M. Sivasankar,Independent,40656,32266,79.40%,819,2.50%,Muthukesavan .S,male,60.0,PY2021AC06
Kadirgamam,7,GEN,Puducherry,K.S.P @ S. Ramesh,All India N.R. Congress,33454,26125,78.10%,12246,46.90%,K. SAKKARAPANI,male,41.0,PY2021AC07
Indira Nagar,8,GEN,Puducherry,V. Aroumougame @ Akd,All India N.R. Congress,34520,28643,83.00%,18531,64.70%,VAITTILINGAME,male,57.0,PY2021AC08
Thattanchavady,9,GEN,Puducherry,N. Rangasamy,All India N.R. Congress,29760,23148,77.80%,5456,23.60%,Natesan,male,70.0,PY2021AC09
Kamaraj Nagar,10,GEN,Puducherry,A. Johnkumar,Bharatiya Janta Party,35324,29083,82.30%,7229,24.90%,ANTOINE @ R S ANTHONYSAMY,male,56.0,PY2021AC10
Lawspet,11,GEN,Puducherry,M. Vaithianathan,Indian National Congress,31253,25822,82.60%,5701,22.10%,MURUGAIYAN,male,47.0,PY2021AC11
Kalapet,12,GEN,Puducherry,P.M.L. Kalyanasundaram,Bharatiya Janta Party,33192,29298,88.30%,3508,12.00%,PERIYANNANE @ THANGAVEL,male,43.0,PY2021AC12
Muthialpet,13,GEN,Puducherry,J. Prakash Kumar,Independent,29809,23159,77.70%,934,4.00%,JOTHI RAMALINGAM,male,39.0,PY2021AC13
Raj Bhavan,14,GEN,Puducherry,K. Lakshminarayanan,All India N.R. Congress,26422,19163,72.50%,3732,19.50%,KANNAN,male,60.0,PY2021AC14
Oupalam,15,GEN,Puducherry,Annibal Kennedy,Dravida Munetra Kazhagam,27603,23498,85.10%,4780,20.30%,,,,PY2021AC15
Orleampeth,16,GEN,Puducherry,G. Nehru @ Kuppusamy,Independent,24372,20076,82.40%,2093,10.40%,GOPALSAMY,male,56.0,PY2021AC16
Nellithope,17,GEN,Puducherry,Richards Johnkumar,Bharatiya Janta Party,33019,27286,82.60%,496,1.80%,JOHN KUMAR,male,29.0,PY2021AC17
Mudaliarpet,18,GEN,Puducherry,L. Sambath,Dravida Munetra Kazhagam,34719,29084,83.80%,4179,14.40%,,,,PY2021AC18
Ariankuppam,19,GEN,Puducherry,R. Baskar @ Datchanamourtty,All India N.R. Congress,37383,32492,86.90%,6418,19.80%,RAMADEVOU,male,57.0,PY2021AC19
Manavely,20,GEN,Puducherry,Embalam Selvam @ R.Selvam,Bharatiya Janta Party,33064,29531,89.30%,8132,27.50%,RANGANATHAN,male,56.0,PY2021AC20
Embalam,21,SC,Puducherry,U Lakshmikandhan,All India N.R. Congress,33340,30530,91.60%,2240,7.30%,UTHIRAVELU,male,51.0,PY2021AC21
Nettapakkam,22,SC,Puducherry,P Rajavelu,All India N.R. Congress,31736,27839,87.70%,6638,23.80%,S PERUMAL,male,60.0,PY2021AC22
Bahour,23,GEN,Puducherry,R Senthilkumar,Dravida Munetra Kazhagam,28782,26162,90.90%,211,0.80%,,,,PY2021AC23
Nedungadu,24,SC,Karaikal,Chandira Priyanga,All India N.R. Congress,30608,26544,86.70%,2214,8.30%,K.N.S. SHANMUGAM,female,31.0,PY2021AC24
Thirunallar,25,GEN,Karaikal,Pr. Siva,Independent,30295,26701,88.10%,1380,5.20%,RANJITHKUMAR SATHIYADASS,male,45.0,PY2021AC25
Karaikal North,26,GEN,Karaikal,P.R.N. Thirumurugan,All India N.R. Congress,34364,28042,81.60%,135,0.50%,P.R. NALAMAHARAJAN,male,49.0,PY2021AC26
Karaikal South,27,GEN,Karaikal,A.M.H. Nazim,Dravida Munetra Kazhagam,30638,24235,79.10%,12034,49.70%,,,,PY2021AC27
Neravy-T.r.pattinam,28,GEN,Karaikal,M.Nagathiyagarajan,Dravida Munetra Kazhagam,30480,25820,84.70%,5511,21.30%,,,,PY2021AC28
Mahe,29,GEN,Mahe,Ramesh Parambath,Indian National Congress,30296,23187,76.50%,300,1.30%,P.P. KANNAN,male,60.0,PY2021AC29
Yanam,30,GEN,Yanam,Gollapalli Srinivas Ashok,Independent,36562,34792,95.20%,655,1.90%,GOLLAPALLI GANGADHAR PRATAP (LATE),male,28.0,PY2021AC30
