ac name,ac no,type,district,winning candidate,party,total electors,total votes,poll%,margin,margin %,father/husband name,gender,age,UID
Sadulshahar,1,GEN,Ganganagar,Gurveer Singh,Bharatiya Janta Party,479416,196923,41.10%,15460,7.90%,BALDEV SINGH,male,39.0,RJ2023AC01
Ganganagar,2,GEN,Ganganagar,Jaydeep Bihani,Bharatiya Janta Party,478296,180109,37.70%,29779,16.50%,SUSHIL KUMAR,male,58.0,RJ2023AC02
Karanpur,3,GEN,Ganganagar,Rupinder Singh Kooner,Indian National Congress,240827,194552,80.80%,11283,5.80%,,,,RJ2023AC03
Suratgarh,4,GEN,Ganganagar,Dungarram Gedar,Indian National Congress,512394,207426,40.50%,50459,24.30%,Likhmaram,male,57.0,RJ2023AC04
Raisinghnagar,5,SC,Ganganagar,Sohan Lal Nayak,Indian National Congress,537370,213133,39.70%,14025,6.60%,BHIKHA RAM,male,56.0,RJ2023AC05
Anupgarh,6,SC,Ganganagar,Shimla Devi,Indian National Congress,491902,191345,38.90%,37881,19.80%,OMPRAKASH,female,41.0,RJ2023AC06
Sangaria,7,GEN,Hanumangarh,Abhimanyu,Indian National Congress,492222,205713,41.80%,42010,20.40%,ARVIND KUMAR,male,32.0,RJ2023AC07
Hanumangarh,8,GEN,Hanumangarh,Ganeshraj Bansal,Independent,595534,239508,40.20%,9698,4.00%,RAMPRASAD,male,58.0,RJ2023AC08
Pilibanga,9,SC,Hanumangarh,Vinod Kumar,Indian National Congress,593990,245851,41.40%,55273,22.50%,,,,RJ2023AC09
Nohar,10,GEN,Hanumangarh,Amit Chachan,Indian National Congress,562462,238068,42.30%,895,0.40%,Rajender,male,39.0,RJ2023AC10
Bhadra,11,GEN,Hanumangarh,Sanjeev Kumar,Bharatiya Janta Party,552726,228839,41.40%,1132,0.50%,DAYARAM,male,57.0,RJ2023AC11
Khajuwala,12,SC,Bikaner,Dr Vishwanath Meghwal,Bharatiya Janta Party,473676,175289,37.00%,17374,9.90%,GANPATRAM,male,56.0,RJ2023AC12
Bikaner West,13,GEN,Bikaner,Jethanand Vyas,Bharatiya Janta Party,475364,179399,37.70%,20194,11.30%,SHIVKUMAR,male,57.0,RJ2023AC13
Bikaner East,14,GEN,Bikaner,Siddhi Kumari,Bharatiya Janta Party,495392,167697,33.90%,19303,11.50%,Narendra Singh,female,50.0,RJ2023AC14
Kolayat,15,GEN,Bikaner,Anshuman Singh Bhati,Bharatiya Janta Party,512368,200162,39.10%,32933,16.50%,MAHENDRA SINGH,male,27.0,RJ2023AC15
Lunkaransar,16,GEN,Bikaner,Sumit Godara,Bharatiya Janta Party,521770,199979,38.30%,8869,4.40%,RAMKARAN,male,49.0,RJ2023AC16
Dungargarh,17,GEN,Bikaner,Tarachand,Bharatiya Janta Party,532562,198398,37.30%,8125,4.10%,,,,RJ2023AC17
Nokha,18,GEN,Bikaner,Sushila Rameshwar Dudi,Indian National Congress,565088,212355,37.60%,8149,3.80%,Rameshwar Lal,female,58.0,RJ2023AC18
Sadulpur,19,GEN,Churu,Manoj Kumar S/o Swai Singh,Bahujan Samaj Party,502148,194680,38.80%,2574,1.30%,SWAI SINGH,male,45.0,RJ2023AC19
Taranagar,20,GEN,Churu,Narendra Budania,Indian National Congress,526440,217724,41.40%,10345,4.80%,PRATAP SINGH,male,67.0,RJ2023AC20
Sardarshahar,21,GEN,Churu,Anil Kumar Sharma,Indian National Congress,611650,234182,38.30%,22332,9.50%,BHANWAR LAL SHARMA,male,52.0,RJ2023AC21
Churu,22,GEN,Churu,Harlal Saharan,Bharatiya Janta Party,513332,197530,38.50%,6874,3.50%,SH. MOHANRAM,male,55.0,RJ2023AC22
Ratangarh,23,GEN,Churu,Poosaram Godara,Indian National Congress,557012,201792,36.20%,29663,14.70%,RAMDHANRAM GODARA,male,65.0,RJ2023AC23
Sujangarh,24,SC,Churu,Manoj Kumar,Indian National Congress,579010,199201,34.40%,2453,1.20%,,,,RJ2023AC24
Pilani,25,SC,Jhunjhunun,Pitram Singh Kala,Indian National Congress,499126,171602,34.40%,14845,8.70%,JHABAR RAM,male,59.0,RJ2023AC25
Surajgarh,26,GEN,Jhunjhunun,Sharwan Kumar S/o Gokal Ram,Indian National Congress,582938,199324,34.20%,37414,18.80%,Gokal Ram,male,69.0,RJ2023AC26
Jhunjhunu,27,GEN,Jhunjhunun,Brijendra Singh Ola,Indian National Congress,544706,193757,35.60%,28863,14.90%,Shishram Ola,male,72.0,RJ2023AC27
Mandawa,28,GEN,Jhunjhunun,Kumari Rita Chaudhary,Indian National Congress,497094,184105,37.00%,18717,10.20%,Ramnarayan Chaudhary,female,50.0,RJ2023AC28
Nawalgarh,29,GEN,Jhunjhunun,Vikram Singh Jakhal,Bharatiya Janta Party,561230,206274,36.80%,23180,11.20%,Dayal Singh,male,48.0,RJ2023AC29
Udaipurwati,30,GEN,Jhunjhunun,Bhagawana Ram Saini,Indian National Congress,519926,197629,38.00%,416,0.20%,MALARAM,male,58.0,RJ2023AC30
Khetri,31,GEN,Jhunjhunun,Dharmpal,Bharatiya Janta Party,455704,167812,36.80%,9114,5.40%,RAMKUMAR,male,56.0,RJ2023AC31
Fatehpur,32,GEN,Sikar,Hakam Ali Khan,Indian National Congress,509584,180750,35.50%,25993,14.40%,VAJID KHAN,male,57.0,RJ2023AC32
Lachhmangarh,33,GEN,Sikar,Govind Singh Dotasra,Indian National Congress,560056,214205,38.20%,18970,8.90%,MOHAN SINGH,male,59.0,RJ2023AC33
Dhod,34,SC,Sikar,Gordhan,Bharatiya Janta Party,558252,200840,36.00%,13378,6.70%,DEVA RAM,male,50.0,RJ2023AC34
Sikar,35,GEN,Sikar,Rajendra Pareek,Indian National Congress,581248,212846,36.60%,30038,14.10%,BHANWAR LAL,male,75.0,RJ2023AC35
Danta Ramgarh,36,GEN,Sikar,Virendra Singh,Indian National Congress,579956,219359,37.80%,7997,3.60%,,,,RJ2023AC36
Khandela,37,GEN,Sikar,Subhash Meel,Bharatiya Janta Party,535008,202558,37.90%,42639,21.10%,HANUMAN SINGH,male,45.0,RJ2023AC37
Neem Ka Thana,38,GEN,Sikar,Suresh Modi,Indian National Congress,547936,196392,35.80%,33090,16.80%,Mohan Lal,male,74.0,RJ2023AC38
Srimadhopur,39,GEN,Sikar,Jhabar Singh Kharra,Bharatiya Janta Party,559514,193756,34.60%,14459,7.50%,HARLAL SINGH KHARRA,male,67.0,RJ2023AC39
Kotputli,40,GEN,Jaipur,Hansraj Patel,Bharatiya Janta Party,457906,175536,38.30%,321,0.20%,BHOJRAJ,male,54.0,RJ2023AC40
Viratnagar,41,GEN,Jaipur,Kuldeep,Bharatiya Janta Party,464802,176252,37.90%,17589,10.00%,,,,RJ2023AC41
Shahpura,42,GEN,Jaipur,Manish Yadav,Indian National Congress,469294,197995,42.20%,64908,32.80%,NATWAR LAL YADAV,male,35.0,RJ2023AC42
Chomu,43,GEN,Jaipur,Dr. Shikha Meel Barala,Indian National Congress,505970,212576,42.00%,5695,2.70%,AMIT BARALA,female,40.0,RJ2023AC43
Phulera,44,GEN,Jaipur,Vidhyadhar Singh,Indian National Congress,525108,204784,39.00%,26898,13.10%,HARI SINGH,male,67.0,RJ2023AC44
Dudu,45,SC,Jaipur,Dr. Prem Chand Bairwa,Bharatiya Janta Party,508506,200692,39.50%,35743,17.80%,RAM CHANDRA,male,54.0,RJ2023AC45
Jhotwara,46,GEN,Jaipur,Col. Rajyavardhan Rathore,Bharatiya Janta Party,858069,308681,36.00%,50167,16.30%,L. S. RATHORE,male,53.0,RJ2023AC46
Amber,47,GEN,Jaipur,Prashant Sharma,Indian National Congress,579290,225618,38.90%,9092,4.00%,SAHDEV SHARMA,male,59.0,RJ2023AC47
Jamwa Ramgarh,48,ST,Jaipur,Mahendra Pal Meena,Bharatiya Janta Party,464434,178271,38.40%,38427,21.60%,CHHITARMAL MEENA,male,47.0,RJ2023AC48
Hawa Mahal,49,GEN,Jaipur,Balmukundachary,Bharatiya Janta Party,508801,193710,38.10%,974,0.50%,PURASHOTAM,male,47.0,RJ2023AC49
Vidhyadhar Nagar,50,GEN,Jaipur,Diya Kumari,Bharatiya Janta Party,684688,248841,36.30%,71368,28.70%,SAWAI BHAWANI SINGH,female,52.0,RJ2023AC50
