AC Name,Type,District,Winning Candidate,Party,Total Electors,Total Votes,Votes %,Margin,Margin %,Family Relation ,Father/Husband Name,Gender,Age
Simna,ST,West Tripura,Brishaketu Debbarma,Tipra Motha Party,,"22,757",64.89,,,,Rabindra Debbarma,male,43.0
Mohanpur,,West Tripura,Ratan Lal Nath,Bharatiya Janata Party,,"19,663",45.34,,,,Debendra Kumar Nath,male,72.0
Bamutia,SC,West Tripura,Nayan Sarkar,Communist Party of India (Marxist),,"20,119",46.39,,,,Lt. Haricharan Sarkar,male,32.0
Barjala,SC,West Tripura,Sudip Sarkar,Communist Party of India (Marxist),,"21,486",50.93,,,,Jatindra Chandra Sarkar,male,49.0
Khayerpur,,West Tripura,Ratan Chakraborty,Bharatiya Janata Party,,"22,453",47.48,,,,Lt. Fatik Chakraborty,male,72.0
Agartala,,West Tripura,Sudip Roy Barman,Indian National Congress,,"26,435",57.35,,,,Samir Ranjan Roy Barman,male,59.0
Ramnagar,,West Tripura,Surajit Datta,Bharatiya Janata Party,,"17,455",46.2,,,,Late Shashadhar Datta,male,71.0
Town Bordowali,,West Tripura,Manik Saha,Bharatiya Janata Party,,"19,586",49.77,,,,Lt. Makhan lal Saha,male,70.0
Banamalipur,,West Tripura,Gopal Chandra Roy,Indian National Congress,,"17,128",49.58,,,,Late Brajabashi Roy,male,72.0
Majlishpur,,West Tripura,Sushanta Chowdhury,Bharatiya Janata Party,,"21,349",46.8,,,,Shyamal Chowdhury,male,43.0
Mandaibazar,ST,West Tripura,Swapna Debbarma,Tipra Motha Party,,"28,726",66.35,,,,Mintu Debbarma,female,49.0
Takarjala,ST,Sipahijala district,Biswajit Kalai,Tipra Motha Party,,"34,717",86.81,,,,Buchiram Kalai,male,41.0
Pratapgarh,SC,West Tripura,Ramu Das,Communist Party of India (Marxist),,"26,422",49.61,,,,Late Sudhan Das,male,42.0
Badharghat,SC,West Tripura,Mina Rani Sarkar,Bharatiya Janata Party,,"27,427",48.94,,,,Late Manmohan Sarkar,female,58.0
