ac name,ac no,type,district,winning candidate,party,total electors,total votes,poll%,margin,margin %,father/husband name,gender,age,UID
Behat,1,GEN,Saharanpur,Umar Ali Khan,Samajwadi Party,372728,280256,75.20%,37880,13.50%,Sarfaraj Ali Khan,male,44.0,UP2022AC01
Nakur,2,GEN,Saharanpur,Mukesh Choudhary,Bharatiya Janta Party,355840,269942,75.90%,315,0.10%,KRIPAL SINGH,male,47.0,UP2022AC02
Saharanpur Nagar,3,GEN,Saharanpur,Rajeev Gumber,Bharatiya Janta Party,445458,292359,65.60%,7434,2.50%,RAM LAL,male,52.0,UP2022AC03
Saharanpur,4,GEN,Saharanpur,Ashu Malik,Samajwadi Party,358965,258932,72.10%,30745,11.90%,Sherdin,male,40.0,UP2022AC04
Deoband,5,GEN,Saharanpur,Brijesh,Bharatiya Janta Party,349384,241464,69.10%,7104,2.90%,,,,UP2022AC05
Rampur Maniharan,6,SC,Saharanpur,Devender Kumar Nim,Bharatiya Janta Party,324347,231563,71.40%,20593,8.90%,Ramsawroop Nim,male,52.0,UP2022AC06
Gangoh,7,GEN,Saharanpur,Kirat Singh,Bharatiya Janta Party,386557,269986,69.80%,23449,8.70%,MAM CHAND,male,55.0,UP2022AC07
Kairana,8,GEN,Muzaffarnagar,Nahid Hasan,Samajwadi Party,322552,241354,74.80%,25887,10.70%,Munawar Hasan,male,34.0,UP2022AC08
Thana Bhawan,9,GEN,Muzaffarnagar,Ashraf Ali Khan,Rashtriya Lok Dal,322046,217752,67.60%,10806,5.00%,Shaukat Ali Khan,male,49.0,UP2022AC09
Shamli,10,GEN,Muzaffarnagar,Persann Kumar,Rashtriya Lok Dal,312151,210153,67.30%,7107,3.40%,Braham Singh,male,51.0,UP2022AC10
Budhana,11,GEN,Muzaffarnagar,Rajpal Singh Baliyan,Rashtriya Lok Dal,377416,254554,67.40%,28310,11.10%,Ram Singh,male,70.0,UP2022AC11
Charthawal,12,GEN,Muzaffarnagar,Pankaj Kumar Malik,Samajwadi Party,331379,221312,66.80%,5334,2.40%,Harendra Singh Malik,male,43.0,UP2022AC12
Purqazi,13,SC,Muzaffarnagar,Anil Kumar,Rashtriya Lok Dal,329884,214164,64.90%,6532,3.00%,,,,UP2022AC13
Muzaffar Nagar,14,GEN,Muzaffarnagar,Kapil Dev Agarwal,Bharatiya Janta Party,360349,224868,62.40%,18694,8.30%,Ramesh Chand Gupta,male,58.0,UP2022AC14
Khatauli,15,GEN,Muzaffarnagar,Vikram Singh,Bharatiya Janta Party,318692,221145,69.40%,16345,7.40%,,,,UP2022AC15
Meerapur,16,GEN,Muzaffarnagar,Chandan Chauhan,Rashtriya Lok Dal,315647,215804,68.40%,27380,12.70%,Sanjay Chauhan,male,33.0,UP2022AC16
Najibabad,17,GEN,Bijnor,Tasleem Ahmad,Samajwadi Party,347601,231243,66.50%,23770,10.30%,SHAMIM AHMAD,male,61.0,UP2022AC17
Nagina,18,SC,Bijnor,Manoj Kumar Paras,Samajwadi Party,347358,222099,63.90%,26451,11.90%,AMAR SINGH,male,53.0,UP2022AC18
