AC Name,AC No.,Type,District,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %,Father/Husband Name,Gender,Age
Ratabari,1,SC,Karimganj,Bijoy Malakar,Bharatiya Janta Party,162238,135611,83.60%,36221,26.70%,SRI SANKAR MALAKAR,male,41.0
Patharkandi,2,GEN,Karimganj,Krishnendu Paul,Bharatiya Janta Party,171991,149419,86.90%,4467,3.00%,LATE KRIPESH RANJAN PAUL,male,47.0
Karimganj North,3,GEN,Karimganj,Kamalakhya Dey Purkayastha,Indian National Congress,189630,145565,76.80%,8324,5.70%,LATE KAUSHIK RANJAN DEY PURKAYASTHA,male,43.0
Karimganj South,4,GEN,Karimganj,Siddeque Ahmed,Indian National Congress,178399,149295,83.70%,32487,21.80%,LATE ABDUL RAKIB,male,59.0
Badarpur,5,GEN,Karimganj,Abdul Aziz,All India United Democratic Front,154384,129786,84.10%,23948,18.50%,LATE ABDUL LATIF,male,52.0
Hailakandi,6,GEN,Hailakandi,Zakir Hussain Laskar,All India United Democratic Front,157556,127773,81.10%,23754,18.60%,Late Gias Uddin Laskar,male,50.0
Katlicherra,7,GEN,Hailakandi,Suzam Uddin Laskar,All India United Democratic Front,173591,153146,88.20%,12971,8.50%,LT TAZMUL ALI LASKAR,male,53.0
Algapur,8,GEN,Hailakandi,Nijam Uddin Choudhury,All India United Democratic Front,152366,134584,88.30%,17604,13.10%,Late Ishub Ali Choudhury,male,47.0
Silchar,9,GEN,Cachar,Dipayan Chakraborty,Bharatiya Janta Party,221076,174067,78.70%,37578,21.60%,ISHITA RANJAN CHAKRABORTY,male,51.0
Sonai,10,GEN,Cachar,Karim Uddin Barbhuiya,All India United Democratic Front,173700,146103,84.10%,19654,13.50%,LATE- RAHIM UDDIN BARBHUIYA,male,51.0
Dholai,11,SC,Cachar,Parimal Sukla Baidya,Bharatiya Janta Party,175862,148490,84.40%,20392,13.70%,LATE PROFULLA SUKLABAIDYA,male,63.0
Udharbond,12,GEN,Cachar,Mihir Kanti Shome,Bharatiya Janta Party,151157,128947,85.30%,2685,2.10%,LT. MOHITOSH SHOME,male,55.0
Lakhipur,13,GEN,Cachar,Kaushik Rai,Bharatiya Janta Party,156502,122510,78.30%,12700,10.40%,Late Krishna Prasad Rai,male,44.0
Barkhola,14,GEN,Cachar,Misbahul Islam Laskar,Indian National Congress,142993,123349,86.30%,7031,5.70%,LATE KAMRUL ISLAM LASKAR,male,66.0
Katigora,15,GEN,Cachar,Khalil Uddin Mazumder,Indian National Congress,174355,161465,92.60%,6939,4.30%,LT. MOIN UDDIN MAZUMDER,male,44.0
Haflong,16,ST,Dima Hasao,Nandita Gorlosa,Bharatiya Janta Party,137553,118545,86.20%,18598,15.70%,NONI GOPAL GORLOSA,female,43.0
Bokajan,17,ST,Karbi Anglong,Numal Momin,Bharatiya Janta Party,141231,117361,83.10%,17885,15.20%,BIKRAM RADDLY MOMIN,male,47.0
Howraghat,18,ST,Karbi Anglong,Darsing Ronghang,Bharatiya Janta Party,126841,102567,80.90%,31683,30.90%,Late Langkung Ronghang,male,54.0
Diphu,19,ST,Karbi Anglong,Bidya Sing Engleng,Bharatiya Janta Party,189726,149974,79.00%,40528,27.00%,Late Bura Engleng,male,66.0
Baithalangso,20,ST,Karbi Anglong,Rupsing Teron,Bharatiya Janta Party,200588,161030,80.30%,53437,33.20%,Habe Teron,male,53.0
Mankachar,21,GEN,Dhubri,Md. Aminul Islam,All India United Democratic Front,211882,206373,97.40%,56840,27.50%,JAMAL UDDIN,male,45.0
Salmara South,22,GEN,Dhubri,Wazed Ali Choudhury,Indian National Congress,178972,173208,96.80%,135574,78.30%,LATE ABUL KASHEM BEPARI,male,58.0
Dhubri,23,GEN,Dhubri,Nazrul Hoque,All India United Democratic Front,188303,174940,92.90%,77813,44.50%,KARIMULLA BEPARI,male,51.0
Gauripur,24,GEN,Dhubri,Nizanur Rahman,All India United Democratic Front,196683,181969,92.50%,48845,26.80%,LATE NURAZZAMAN SK.,male,48.0
Golakganj,25,GEN,Dhubri,Abdus Sobahan Ali Sarkar,Indian National Congress,192164,182369,94.90%,10699,5.90%,TASAR UDDIN SARKAR,male,45.0
