AC Name,Type,District,Winning Candidate,Party,Total Electors,Total Votes,Poll %,Margin,Margin %,Father/Husband Name,Gender,Age
Dimapur I,,Dimapur,H. Tovihoto Ayemi,BJP,,"13,325",67.01,,,LT. HEJETO AYEMI,male,44.0
Dimapur II,ST,Dimapur,Moatoshi Longkumer,NDPP,,"23,856",53.19,,,LATE TONGPANG IMTI AO,male,65.0
Dimapur III,ST,Chümoukedima,Hekani Jakhalu Kense,NDPP,,"14,395",45.16,,,,,
Ghaspani I,ST,Chümoukedima,Jacob Zhimomi,BJP,,"32,037",55.95,,,IHEZHE ZHIMOMI,male,42.0
Ghaspani II,ST,Chümoukedima,Zhaleo Rio,NDPP,,"11,405",46.48,,,LT. GUOLHOULIE RIO,male,69.0
Tening,ST,Peren,Namri Nchang,NCP,,"6,736",29.39,,,Lt. Alabo Nchang,male,56.0
Peren,ST,Peren,T. R. Zeliang,NDPP,,"16,800",67.36,,,,,
Western Angami,ST,Kohima,Salhoutuonuo Kruse,NDPP,,"7,078",49.74,,,Lt. Kevisekho Kruse,female,56.0
Kohima Town,ST,Kohima,Tseilhoutuo Rhütso,NPP,,"9,682",49.56,,,Kehodepi Rhutso,male,49.0
Northern Angami I,ST,Kohima,Kekhrielhoulie Yhome,NDPP,,"7,724",55.85,,,Shri.Vio Yhome,male,46.0
Northern Angami II,ST,Kohima,Neiphiu Rio,NDPP,,"17,045",92.87,,,Late Guolhoulie,male,72.0
Tseminyü,ST,Tseminyü,Jwenga Seb,JD(U),,"8,096",35.9,,,SHUNI SEB,male,45.0
Pughoboto,ST,Zünheboto,Sukhato A. Sema,LJP(RV),,"7,808",52.8,,,AKHAVI SEMA,male,65.0
Southern Angami I,ST,Kohima,Kevipodi Sophie,IND,,"6,643",50.53,,,Zelul Sophie,male,59.0
Southern Angami II,ST,Kohima,Kropol Vitsü,BJP,,"5,985",36.97,,,Late Thuse Vitsu,male,58.0
Pfütsero,ST,Phek,Neisatuo Mero,IND,,"7,995",42.06,,,LT. DITSOZU MERO,male,49.0
Chizami,ST,Phek,K. G. Kenye,NDPP,,"7,088",43.28,,,,,
Chozuba,ST,Phek,Küdecho Khamo,NDPP,,"9,485",41.15,,,,,
Phek,ST,Phek,Kuzholuzo Nienu,NPF,,"9,485",48.92,,,Late. K.K. Chire,male,57.0
Meluri,ST,Phek,Z. Nyusietho Nyuthe,NDPP,,"11,256",58.04,,,,,
Tuli,ST,Mokokchung,A. Pangjung Jamir,BJP,,"10,319",58.47,,,Alienba,male,56.0
Arkakong,ST,Mokokchung,Nuklutoshi,NPP,,"9,387",53.36,,,Late Suzutemjen,male,56.0
Impur,ST,Mokokchung,T. M. Mannen,NDPP,,"6,825",54.24,,,,,
Angetyongpang,ST,Mokokchung,Tongpang Ozüküm,NDPP,,"8,046",51.14,,,LATE TEMSULEPDEN,male,42.0
Mongoya,ST,Mokokchung,Imkongmar,NDPP,,"6,818",41.91,,,LATE. ALEMJONGSHI,male,47.0
Aonglenden,ST,Mokokchung,Sharingain Longkümer,NDPP,,"7,074",72.24,,,LATE. I. NUNGSHIZENBA LONGKUMER,male,42.0
Mokokchung Town,ST,Mokokchung,Metsübo Jamir,NDPP,,"5,318",78.66,,,N.I JAMIR,male,63.0
Koridang,ST,Mokokchung,Imkong L. Imchen,BJP,,"8,340",43.56,,,LATE LONGRISANGBA IMCHEN,male,72.0
Jangpetkong,ST,Mokokchung,Temjenmemba,NDPP,,"6,238",55.39,,,,,
Alongtaki,ST,Mokokchung,Temjen Imna Along,BJP,,"5,439",56.14,,,JONAH IMNA SASHI,male,42.0
Akuluto,ST,Zünheboto,Kazheto Kinimi,BJP,,Elected Unopposed[1],,,,,,
Atoizü,ST,Zünheboto,Picto Shohe,NCP,,"8,294",51.83,,,,,
Suruhoto,ST,Zünheboto,S. Toiho Yeptho,NCP,,"6,919",50.18,,,Lt. SUHOKHE YEPTHO,male,50.0
Aghunato,ST,Zünheboto,G. Ikuto Zhimomi,NDPP,,"7,133",52.04,,,LATE GHONIVI ZHIMOMI,male,62.0
Zünheboto,ST,Zünheboto,K. Tokugha Sukhalu,NDPP,,"15,921",80.04,,,LATE KAWOTO,male,68.0
Satakha,ST,Zünheboto,G. Kaito Aye,NDPP,,"8,875",53.99,,,Late. GHOKHEVI AYE,male,70.0
Tyüi,ST,Wokha,Yanthungo Patton,BJP,,"16,641",67.83,,,LATE PHYALUMO PATTON,male,66.0
Wokha,ST,Wokha,Y. Mhonbemo Hümtsoe,NCP,,"15,949",54.64,,,YANPHAMO HUMTSOE,male,64.0
Sanis,ST,Wokha,Mhathung Yanthan,NDPP,,"15,076",65.85,,,Lt. Ashemo Yanthan,male,63.0
Bhandari,ST,Wokha,Achumbemo Kikon,NPF,,"13,867",54.11,,,JOHN KIKON,male,47.0
Tizit,ST,Mon,P. Paiwang Konyak,BJP,,"10,428",52.99,,,LANGTO,male,45.0
Wakching,ST,Mon,W. Chingang Konyak,NDPP,,"9,166",58.56,,,P. WECHING KONYAK,male,60.0
Tapi,ST,Mon,Noke Wangnao,NDPP,,"5,864",40.14,,,LT. MONYAO,male,86.0
Phomching,ST,Mon,K. Konngam Konyak,BJP,,"9,803",58.09,,,,,
Tehok,ST,mon,C. L. John,NDPP,,"9,232",78.55,,,,,
Mon Town,ST,Mon,Y. Mankhao Konyak,NCP,,"10,870",56.71,,,,,
Aboi,ST,Mon,C. Manpon Konyak,IND,,"6,771",52.79,,,CHANGKAP,male,42.0
