AC Name,Type,District,Winning Candidate,Party,Total Electors,Total Votes,Poll %,Margin,Margin %,Father/Husband Name,Gender,Age
Padmapur,,Bargarh district,Barsha Singh Bariha,Biju Janata Dal,,"91,995",43.53,,,Bijaya Ranjan Singh Bariha,female,30
Bijepur,,Bargarh district,Sanat Kumar Gartia,	Bharatiya Janata Party,,"93,161",47.52,,,LATE TULASI PRASAD GARTIA,male,58
Bargarh,,Bargarh district,Ashwini Kumar Sarangi,	Bharatiya Janata Party,,"77,766",46.34,,,KAMALAKANTA SARANGI,male,52
Attabira,SC,Bargarh district,Nihar Ranjan Mahananda,	Bharatiya Janata Party,,"99,487",55.17,,,,,
Bhatli,,Bargarh district,Irasis Acharjya,	Bharatiya Janata Party,,"107,508",54.65,,,,,
Brajarajnagar,,Jharsuguda district,Suresha Pujhari,	Bharatiya Janata Party,,"82,199",48.85,,,,,
Jharsuguda,,Jharsuguda district,Tankadhar Tripathy,	Bharatiya Janata Party,,"91,105",47.69,,,NARSINGH TRIPATHY,male,42
Talsara,ST,Sundergarh district,Bhabani Sankar Bhoi,	Bharatiya Janata Party,,"68,928",42.67,,,,,
Sundargarh,ST,Sundergarh district,Jogesh Kumar Singh,Biju Janata Dal,,"86,398",48.15,,,RENU PRATAP SINGH,male,51
Biramitrapur,ST,Sundergarh district,Rohit Joseph Tirkey,Biju Janata Dal,,"84,116",44.53,,,GEORGE TIRKEY,male,35
Raghunathpali,SC,Sundergarh district,Durga Charan Tanti,	Bharatiya Janata Party,,"51,189",43.72,,,ANGAD TANTI,male,56
Rourkela,,Sundergarh district,Sarada Prasad Nayak,Biju Janata Dal,,"64,660",46.46,,,Late Natabar Nayak,male,65
Rajgangpur,ST,Sundergarh district,C. S. Raazen Ekka,Indian National Congress,,"66,869",36.74,,,,,
Bonai,ST,Sundergarh district,Laxman Munda,Communist Party of India (Marxist),,"81,008",43.45,,,BAGUN MUNDA,male,61
Kuchinda ,ST,Sambalpur district,Rabi Narayan Naik,	Bharatiya Janata Party,,"95,716",51.83,,,LATE. DASARATH NAIK,male,54
Rengali,SC,Sambalpur district,Sudarshan Haripal,Biju Janata Dal,,"73,420",45.45,,,DEBARAJ HARIPAL,male,42
Sambalpur,,Sambalpur district,Jayanarayan Mishra,	Bharatiya Janata Party,,"59,827",45.52,,,ARTATRANA MISHRA,male,61
Rairakhol(Redhakhol),,Sambalpur district,Prasanna Acharjya,Biju Janata Dal,,"61,716",38.23,,,,,
Debagarh,,Deogarh District,Romancha Ranjan Biswal,Biju Janata Dal,,"89,074",45.02,,,JHASAKETAN BISWAL,male,43
Telkoi,ST,Keonjhar district,Phakir Mohan Naik,	Bharatiya Janata Party,,"83,818",43.49,,,,,
Ghasipura,,Keonjhar district,Badri Narayan Patra,Biju Janata Dal,,"82,516",43.96,,,KSHYAMAKAR PATRA,male,80
Anandapur,SC,Keonjhar district,Abhimanyu Sethi,Biju Janata Dal,,"71,651",39.67,,,MAHESWAR SETHI,male,50
Swampatana,ST,Keonjhar district,Akhila Chandra Naik,	Bharatiya Janata Party,,"97,041",55.72,,,Late Laxmidhar Naik,male,63.0
Keonjhar,ST,Keonjhar district,Mohan Charan Majhi,	Bharatiya Janata Party,,"87,815",47.05,,,LATE GUNARAM MAJHI,male,52.0
Champua,,Keonjhar district,Sanatan Mahakud,Biju Janata Dal,,"103,120",56.45,,,Late Chema Mahakud,male,67.0
Jashipur,ST,Mayurbhanj district,Ganesh Ram Khuntia,	Bharatiya Janata Party,,"85,384",50.25,,,,,
Saraskana,ST,Mayurbhanj district,Bhadav Hansdah,	Bharatiya Janata Party,,"59,387",37.79,,,KANHU HANSDAH,male,54.0
Rairangpur,ST,Mayurbhanj district,Jalen Naik,	Bharatiya Janata Party,,"62,724",36.94,,,LATE KANHU NAIK,male,47.0
Bangiriposi,ST,Mayurbhanj district,Sanjali Murmu,	Bharatiya Janata Party,,"87,801",49.93,,,Suguda Murmu,female,29.0
Karanjia,ST,Mayurbhanj district,Padma Charan Haibru,	Bharatiya Janata Party,,"65,357",43.48,,,,,
Udala,ST,Mayurbhanj district,Bhaskar Madhei,	Bharatiya Janata Party,,"66,401",42.0,,,Late- Bhokila Madhei,male,64.0
Betanoti,SC,Mayurbhanj district,Sanatan Bijuli,	Bharatiya Janata Party,,"83,276",54.62,,,Lt. Bhagaban Bijuli,male,50.0
Baripada,ST,Mayurbhanj district,Prakash Soren,	Bharatiya Janata Party,,"78,272",48.39,,,Bikram Soren,male,55.0
Moroda,,Mayurbhanj district,Krushna Chandra Mohapatra,	Bharatiya Janata Party,,"77,980",43.33,,,,,
Jaleswar,,Balasore district					,Aswini Kumar Patra,Biju Janata Dal,,"83,105",42.37,,,LATE SACHINDRA NATH PATRA,male,73.0
Bhogorai,,Balasore district					,Goutam Buddha Das,Biju Janata Dal,,"70,198",39.89,,,DURGA SHANKAR DAS,male,52.0
Basta,,Balasore district					,Subasini Jena,Biju Janata Dal,,"83,314",43.66,,,RABINDRA KUMAR JENA,female,57.0
Baleswar,,Balasore district					,Manas Kumar Dutta,	Bharatiya Janata Party,,"89,360",50.9,,,LATE MADAN MOHAN DUTTA,male,32.0
