AC Name,Type,District,Winning Candidate,Party,Total Electors,Total Votes,Poll %,Margin,Margin %,Father/Husband Name,Gender,Age
Yoksam–Tashiding,BL,Gyalshing,Tshering Thendup Bhutia,Sikkim Krantikari Morcha,,"8,271",60.8,,,TOPGAY BHUTIA,male,59
Yangthang,,Gyalshing,Bhim Hang Limboo,Sikkim Krantikari Morcha,,"6,621",54.61,,,ASH BIR LIMBOO,male,35
Maneybong–Dentam,,Gyalshing,Sudesh Kumar Subba,Sikkim Krantikari Morcha,,"8,553",61.16,,,DIL PRASAD SUBBA,male,47
Gyalshing–Barnyak,,Gyalshing,Lok Nath Sharma,Sikkim Krantikari Morcha,,"5,612",48.1,,,MADHU PD. SHARMA,male,51
Rinchenpong,BL,Soreng,Erung Tenzing Lepcha,Sikkim Krantikari Morcha,,"9,624",68.91,,,KENCHUK TASHI TSHERING LEPCHA,male,32
Daramdin,BL,Soreng,Mingma Narbu Sherpa,Sikkim Krantikari Morcha,,"9,404",67.75,,,,,
Soreng–Chakung,,Soreng,Prem Singh Tamang,Sikkim Krantikari Morcha,,"10,480",71.18,,,,,
Salghari–Zoom,SC,Soreng,Madan Cintury,Sikkim Krantikari Morcha,,"5,678",58.69,,,DHAN BIR CINTURY,male,64
Barfung,BL,Namchi,Rikshal Dorjee Bhutia,Sikkim Krantikari Morcha,,"8,358",61.86,,,TASHI LENDUP BHUTIA,male,52
Poklok–Kamrang,,Namchi,Bhoj Raj Rai,Sikkim Krantikari Morcha,,"8,037",54.99,,,Lt. Hasta Ram Rai,male,60
Namchi–Singhithang,,Namchi,Krishna Kumari Rai,Sikkim Krantikari Morcha,,"7,907",71.6,,,Ran Man Rai,female,47
Melli,,Namchi,Nar Bahadur Pradhan,Sikkim Krantikari Morcha,,"7,904",57.96,,,LT. LAXMI PRASAD PRADHAN,male,56
Namthang–Rateypani,,Namchi,Sanjeet Kharel,Sikkim Krantikari Morcha,,"8,949",63.46,,,TILA PD KHAREL,male,47
Temi–Namphing,,Namchi,Bedu Singh Panth,Sikkim Krantikari Morcha,,"6,759",51.84,,,M.B. PANTH,male,71
Rangang–Yangang,,Namchi,Raj Kumari Thapa,Sikkim Krantikari Morcha,,"6,514",50.74,,,MON BAHADUR GURUNG,female,43
Tumin–Lingee,BL,Namchi,Samdup Tshering Bhutia,Sikkim Krantikari Morcha,,"8,265",58.07,,,GYALOO BHUTIA,male,65
Khamdong–Singtam,,Gangtok,Nar Bahadur Dahal,Sikkim Krantikari Morcha,,"5,882",52.87,,,BAL BHADRA DAHAL,male,58
West Pendam,SC,Pakyong,Lall Bahadur Das,Sikkim Krantikari Morcha,,"6,237",48.28,,,BUDHI MAN DAS,male,52
Rhenock,,Pakyong,Prem Singh Tamang,Sikkim Krantikari Morcha,,"10,094",64.54,,,,,
Chujachen,,Pakyong,Puran Kumar Gurung,Sikkim Krantikari Morcha,,"8,199",55.66,,,,,
Gnathang–Machong,BL,Pakyong,Pamin Lepcha,Sikkim Krantikari Morcha,,"6,676",61.58,,,GYANENDRA KARKI,female,39
Namchaybong,,Pakyong,Raju Basnet,Sikkim Krantikari Morcha,,"7,195",53.42,,,LALL DAS BASNETT,male,55
Shyari,,Gangtok,Tenzing Norbu Lamtha,Sikkim Democratic Front,,"6,633",51.84,,,,,
Martam–Rumtek,BL,Gangtok,Sonam Venchungpa,Sikkim Krantikari Morcha,,"8,070",54.01,,,,,
Upper Tadong,,Gangtok,Gay Tshering Dhungel,Sikkim Krantikari Morcha,,"6,209",68.46,,,,,
Arithang,,Gangtok,Arun Kumar Upreti,Sikkim Krantikari Morcha,,"5,356",61.48,,,LT. D.P. UPRETI,male,56
Gangtok,,Gangtok,Delay Namgyal Barfungpa,Sikkim Krantikari Morcha,,"4,440",57.44,,,SONAM WANGCHEN BARFUNGPA,male,58
Upper Burtuk,,Gangtok,Kala Rai,Sikkim Krantikari Morcha,,"6,323",50.54,,,,,
Kabi–Lungchok,BL,Mangan,Thenlay Tshering Bhutia,Sikkim Krantikari Morcha,,"5,882",54.18,,,LT. SONAM BHUTIA,male,71
Djongu,BL,Mangan,Pintso Namgyal Lepcha,Sikkim Krantikari Morcha,,"6,402",69.56,,,SONAM LEPCHA,male,49
Lachen–Mangan,BL,Mangan,Samdup Lepcha,Sikkim Krantikari Morcha,,"3,929",55.37,,,Lt. ANOR LEPCHA,male,59
Sangha,BM,Soreng,Sonam Lama,Sikkim Krantikari Morcha,,"1,919",60.01,,,CHUNG TSHERING BHUTIA,male,48
