[LINE 1] UID=AP2024AC01 | family_rows=1 | sources_rows=1
[LINE 2] UID=AP2024AC02 | family_rows=2 | sources_rows=4
[LINE 3] UID=AP2024AC03 | family_rows=2 | sources_rows=3
[LINE 4] UID=AP2024AC04 | family_rows=1 | sources_rows=3
[LINE 5] UID=AP2024AC05 | family_rows=4 | sources_rows=2
[LINE 6] UID=AP2024AC06 | family_rows=1 | sources_rows=3
[LINE 7] UID=AP2024AC07 | family_rows=1 | sources_rows=2
[LINE 8] UID=AP2024AC08 | family_rows=1 | sources_rows=4
[LINE 9] UID=AP2024AC09 | family_rows=1 | sources_rows=4
[LINE 10] UID=AP2024AC10 | family_rows=1 | sources_rows=3
[LINE 11] UID=AP2024AC11 | family_rows=1 | sources_rows=4
[LINE 12] UID=AP2024AC12 | family_rows=1 | sources_rows=4
[LINE 13] UID=AP2024AC13 | family_rows=1 | sources_rows=1
[LINE 14] UID=AP2024AC14 | family_rows=3 | sources_rows=6
[LINE 15] UID=AP2024AC15 | family_rows=3 | sources_rows=3
[LINE 16] UID=AP2024AC16 | family_rows=3 | sources_rows=3
[LINE 17] UID=AP2024AC17 | family_rows=1 | sources_rows=6
[LINE 18] UID=AP2024AC18 | family_rows=3 | sources_rows=3
[LINE 19] UID=AP2024AC19 | family_rows=1 | sources_rows=2
[LINE 20] UID=AP2024AC20 | family_rows=1 | sources_rows=3
[LINE 21] UID=AP2024AC21 | family_rows=1 | sources_rows=3
[LINE 22] UID=AP2024AC22 | family_rows=1 | sources_rows=5
[LINE 23] UID=AP2024AC23 | family_rows=1 | sources_rows=5
[LINE 24] UID=AP2024AC24 | family_rows=1 | sources_rows=4
[LINE 25] UID=AP2024AC25 | family_rows=1 | sources_rows=5
[LINE 26] UID=AP2024AC26 | family_rows=1 | sources_rows=2
[LINE 27] UID=AP2024AC27 | family_rows=1 | sources_rows=3
[LINE 28] UID=AP2024AC28 | family_rows=1 | sources_rows=3
[LINE 29] UID=AP2024AC29 | family_rows=1 | sources_rows=4
[LINE 30] UID=AP2024AC30 | family_rows=1 | sources_rows=3
[LINE 31] UID=AP2024AC31 | family_rows=1 | sources_rows=4
[LINE 32] UID=AP2024AC32 | family_rows=1 | sources_rows=1
[LINE 33] UID=AP2024AC33 | family_rows=1 | sources_rows=5
[LINE 34] UID=AP2024AC34 | family_rows=2 | sources_rows=3
[LINE 35] UID=AP2024AC35 | family_rows=4 | sources_rows=4
[LINE 36] UID=AP2024AC36 | family_rows=1 | sources_rows=4
[LINE 37] UID=AP2024AC37 | family_rows=5 | sources_rows=4
[LINE 38] UID=AP2024AC38 | family_rows=1 | sources_rows=2
[LINE 39] UID=AP2024AC39 | family_rows=1 | sources_rows=1
[LINE 40] UID=AP2024AC40 | family_rows=1 | sources_rows=4
[LINE 41] UID=AP2024AC41 | family_rows=1 | sources_rows=1
[LINE 42] UID=AP2024AC42 | family_rows=1 | sources_rows=3
[LINE 43] UID=AP2024AC43 | family_rows=1 | sources_rows=3
[LINE 44] UID=AP2024AC44 | family_rows=1 | sources_rows=5
[LINE 45] UID=AP2024AC45 | family_rows=1 | sources_rows=4
[LINE 46] UID=AP2024AC46 | family_rows=1 | sources_rows=5
[LINE 47] UID=AP2024AC47 | family_rows=1 | sources_rows=5
[LINE 48] UID=AP2024AC48 | family_rows=1 | sources_rows=3
[LINE 49] UID=AP2024AC49 | family_rows=1 | sources_rows=1
[LINE 50] UID=AP2024AC50 | family_rows=5 | sources_rows=5
[LINE 51] UID=AP2024AC51 | family_rows=1 | sources_rows=2
[LINE 52] UID=AP2024AC52 | family_rows=1 | sources_rows=2
[LINE 53] Existing error preserved | UID=AP2024AC53
[LINE 54] UID=AP2024AC54 | family_rows=1 | sources_rows=5
[LINE 55] UID=AP2024AC55 | family_rows=2 | sources_rows=1
[LINE 56] UID=AP2024AC56 | family_rows=1 | sources_rows=4
[LINE 57] UID=AP2024AC57 | family_rows=1 | sources_rows=10
[LINE 58] UID=AP2024AC58 | family_rows=1 | sources_rows=4
[LINE 59] UID=AP2024AC59 | family_rows=1 | sources_rows=3
[LINE 60] UID=AP2024AC60 | family_rows=1 | sources_rows=5
[LINE 61] UID=AP2024AC61 | family_rows=1 | sources_rows=3
[LINE 62] UID=AP2024AC62 | family_rows=1 | sources_rows=4
[LINE 63] UID=AP2024AC63 | family_rows=1 | sources_rows=3
[LINE 64] UID=AP2024AC64 | family_rows=1 | sources_rows=2
[LINE 65] UID=AP2024AC65 | family_rows=1 | sources_rows=3
[LINE 66] UID=AP2024AC66 | family_rows=1 | sources_rows=4
[LINE 67] UID=AP2024AC67 | family_rows=1 | sources_rows=2
[LINE 68] UID=AP2024AC68 | family_rows=1 | sources_rows=3
[LINE 69] UID=AP2024AC69 | family_rows=1 | sources_rows=3
[LINE 70] UID=AP2024AC70 | family_rows=1 | sources_rows=4
[LINE 71] UID=AP2024AC71 | family_rows=1 | sources_rows=4
[LINE 72] UID=AP2024AC72 | family_rows=1 | sources_rows=5
[LINE 73] UID=AP2024AC73 | family_rows=1 | sources_rows=3
[LINE 74] UID=AP2024AC74 | family_rows=1 | sources_rows=4
[LINE 75] UID=AP2024AC75 | family_rows=1 | sources_rows=3
[LINE 76] UID=AP2024AC76 | family_rows=1 | sources_rows=3
[LINE 77] UID=AP2024AC77 | family_rows=1 | sources_rows=2
[LINE 78] UID=AP2024AC78 | family_rows=1 | sources_rows=5
[LINE 79] UID=AP2024AC79 | family_rows=1 | sources_rows=5
[LINE 80] UID=AP2024AC80 | family_rows=1 | sources_rows=4
[LINE 81] UID=AP2024AC81 | family_rows=1 | sources_rows=4
[LINE 82] UID=AP2024AC82 | family_rows=1 | sources_rows=4
[LINE 83] UID=AP2024AC83 | family_rows=1 | sources_rows=5
[LINE 84] UID=AP2024AC84 | family_rows=1 | sources_rows=4
[LINE 85] UID=AP2024AC85 | family_rows=1 | sources_rows=3
[LINE 86] UID=AP2024AC86 | family_rows=1 | sources_rows=6
