[LINE 1] UID=CG2023AC01 | family_rows=1 | sources_rows=5
[LINE 2] UID=CG2023AC02 | family_rows=1 | sources_rows=1
[LINE 3] UID=CG2023AC03 | family_rows=1 | sources_rows=1
[LINE 4] UID=CG2023AC04 | family_rows=1 | sources_rows=4
[LINE 5] UID=CG2023AC05 | family_rows=1 | sources_rows=4
[LINE 6] UID=CG2023AC06 | family_rows=1 | sources_rows=5
[LINE 7] UID=CG2023AC07 | family_rows=3 | sources_rows=3
[LINE 8] UID=CG2023AC08 | family_rows=1 | sources_rows=3
[LINE 9] UID=CG2023AC09 | family_rows=1 | sources_rows=2
[LINE 10] UID=CG2023AC10 | family_rows=1 | sources_rows=5
[LINE 11] UID=CG2023AC11 | family_rows=1 | sources_rows=4
[LINE 12] UID=CG2023AC12 | family_rows=1 | sources_rows=5
[LINE 13] UID=CG2023AC13 | family_rows=3 | sources_rows=3
[LINE 14] UID=CG2023AC14 | family_rows=1 | sources_rows=3
[LINE 15] UID=CG2023AC15 | family_rows=1 | sources_rows=3
[LINE 16] UID=CG2023AC16 | family_rows=1 | sources_rows=5
[LINE 17] UID=CG2023AC17 | family_rows=1 | sources_rows=4
[LINE 18] UID=CG2023AC18 | family_rows=1 | sources_rows=3
[LINE 19] UID=CG2023AC19 | family_rows=1 | sources_rows=3
[LINE 20] UID=CG2023AC20 | family_rows=1 | sources_rows=4
[LINE 21] UID=CG2023AC21 | family_rows=1 | sources_rows=1
[LINE 22] UID=CG2023AC22 | family_rows=1 | sources_rows=3
[LINE 23] UID=CG2023AC23 | family_rows=1 | sources_rows=4
[LINE 24] UID=CG2023AC24 | family_rows=1 | sources_rows=4
[LINE 25] UID=CG2023AC25 | family_rows=1 | sources_rows=5
[LINE 26] UID=CG2023AC26 | family_rows=1 | sources_rows=4
[LINE 27] UID=CG2023AC27 | family_rows=1 | sources_rows=3
[LINE 28] UID=CG2023AC28 | family_rows=1 | sources_rows=2
[LINE 29] UID=CG2023AC29 | family_rows=1 | sources_rows=4
[LINE 30] UID=CG2023AC30 | family_rows=1 | sources_rows=3
[LINE 31] UID=CG2023AC31 | family_rows=1 | sources_rows=3
[LINE 32] UID=CG2023AC32 | family_rows=1 | sources_rows=4
[LINE 33] UID=CG2023AC33 | family_rows=1 | sources_rows=4
[LINE 34] UID=CG2023AC34 | family_rows=1 | sources_rows=3
[LINE 35] UID=CG2023AC35 | family_rows=2 | sources_rows=4
[LINE 36] UID=CG2023AC36 | family_rows=1 | sources_rows=5
[LINE 37] UID=CG2023AC37 | family_rows=1 | sources_rows=4
[LINE 38] UID=CG2023AC38 | family_rows=1 | sources_rows=4
[LINE 39] UID=CG2023AC39 | family_rows=1 | sources_rows=5
[LINE 40] UID=CG2023AC40 | family_rows=1 | sources_rows=3
[LINE 41] UID=CG2023AC41 | family_rows=2 | sources_rows=1
[LINE 42] UID=CG2023AC42 | family_rows=1 | sources_rows=4
[LINE 43] UID=CG2023AC43 | family_rows=1 | sources_rows=4
[LINE 44] UID=CG2023AC44 | family_rows=1 | sources_rows=5
[LINE 45] Existing error preserved | UID=CG2023AC45
[LINE 46] UID=CG2023AC46 | family_rows=1 | sources_rows=4
[LINE 47] UID=CG2023AC47 | family_rows=1 | sources_rows=4
[LINE 48] UID=CG2023AC48 | family_rows=1 | sources_rows=5
[LINE 49] UID=CG2023AC49 | family_rows=1 | sources_rows=3
[LINE 50] UID=CG2023AC50 | family_rows=1 | sources_rows=5
[LINE 51] UID=CG2023AC51 | family_rows=1 | sources_rows=3
[LINE 52] UID=CG2023AC52 | family_rows=1 | sources_rows=3
[LINE 53] UID=CG2023AC53 | family_rows=1 | sources_rows=6
[LINE 54] UID=CG2023AC54 | family_rows=1 | sources_rows=4
[LINE 55] UID=CG2023AC55 | family_rows=1 | sources_rows=4
[LINE 56] UID=CG2023AC56 | family_rows=1 | sources_rows=3
[LINE 57] UID=CG2023AC57 | family_rows=1 | sources_rows=2
[LINE 58] UID=CG2023AC58 | family_rows=1 | sources_rows=3
[LINE 59] UID=CG2023AC59 | family_rows=1 | sources_rows=3
[LINE 60] UID=CG2023AC60 | family_rows=1 | sources_rows=6
[LINE 61] UID=CG2023AC61 | family_rows=1 | sources_rows=4
[LINE 62] UID=CG2023AC62 | family_rows=2 | sources_rows=4
[LINE 63] UID=CG2023AC63 | family_rows=1 | sources_rows=5
[LINE 64] UID=CG2023AC64 | family_rows=1 | sources_rows=3
[LINE 65] UID=CG2023AC65 | family_rows=1 | sources_rows=4
[LINE 66] UID=CG2023AC66 | family_rows=1 | sources_rows=5
[LINE 67] UID=CG2023AC67 | family_rows=1 | sources_rows=4
[LINE 68] UID=CG2023AC68 | family_rows=1 | sources_rows=5
[LINE 69] UID=CG2023AC69 | family_rows=1 | sources_rows=4
[LINE 70] UID=CG2023AC70 | family_rows=1 | sources_rows=3
[LINE 71] UID=CG2023AC71 | family_rows=1 | sources_rows=4
[LINE 72] UID=CG2023AC72 | family_rows=1 | sources_rows=2
[LINE 73] UID=CG2023AC73 | family_rows=1 | sources_rows=3
[LINE 74] UID=CG2023AC74 | family_rows=2 | sources_rows=4
[LINE 75] UID=CG2023AC75 | family_rows=1 | sources_rows=4
