[LINE 1] UID=DL2025AC01 | family_rows=1 | sources_rows=3
[LINE 2] UID=DL2025AC02 | family_rows=1 | sources_rows=6
[LINE 3] UID=DL2025AC03 | family_rows=1 | sources_rows=4
[LINE 4] UID=DL2025AC04 | family_rows=1 | sources_rows=5
[LINE 5] UID=DL2025AC05 | family_rows=1 | sources_rows=3
[LINE 6] UID=DL2025AC06 | family_rows=1 | sources_rows=3
[LINE 7] UID=DL2025AC07 | family_rows=1 | sources_rows=3
[LINE 8] UID=DL2025AC08 | family_rows=1 | sources_rows=4
[LINE 9] UID=DL2025AC09 | family_rows=2 | sources_rows=3
[LINE 10] UID=DL2025AC10 | family_rows=1 | sources_rows=4
[LINE 11] UID=DL2025AC11 | family_rows=1 | sources_rows=6
[LINE 12] UID=DL2025AC12 | family_rows=1 | sources_rows=4
[LINE 13] UID=DL2025AC13 | family_rows=1 | sources_rows=4
[LINE 14] UID=DL2025AC14 | family_rows=1 | sources_rows=7
[LINE 15] Existing error preserved | UID=DL2025AC15
[LINE 16] UID=DL2025AC16 | family_rows=1 | sources_rows=4
[LINE 17] UID=DL2025AC17 | family_rows=1 | sources_rows=1
[LINE 18] UID=DL2025AC18 | family_rows=1 | sources_rows=3
[LINE 19] Existing error preserved | UID=DL2025AC19
[LINE 20] UID=DL2025AC20 | family_rows=1 | sources_rows=3
[LINE 21] UID=DL2025AC21 | family_rows=1 | sources_rows=3
[LINE 22] UID=DL2025AC22 | family_rows=1 | sources_rows=5
[LINE 23] UID=DL2025AC23 | family_rows=1 | sources_rows=4
[LINE 24] UID=DL2025AC24 | family_rows=1 | sources_rows=4
[LINE 25] UID=DL2025AC25 | family_rows=1 | sources_rows=4
[LINE 26] UID=DL2025AC26 | family_rows=1 | sources_rows=6
[LINE 27] UID=DL2025AC27 | family_rows=1 | sources_rows=4
[LINE 28] UID=DL2025AC28 | family_rows=1 | sources_rows=4
[LINE 29] UID=DL2025AC29 | family_rows=1 | sources_rows=8
[LINE 30] UID=DL2025AC30 | family_rows=1 | sources_rows=5
[LINE 31] UID=DL2025AC31 | family_rows=1 | sources_rows=4
[LINE 32] UID=DL2025AC32 | family_rows=1 | sources_rows=3
[LINE 33] UID=DL2025AC33 | family_rows=1 | sources_rows=3
[LINE 34] UID=DL2025AC34 | family_rows=1 | sources_rows=3
[LINE 35] UID=DL2025AC35 | family_rows=1 | sources_rows=3
[LINE 36] UID=DL2025AC36 | family_rows=1 | sources_rows=6
[LINE 37] UID=DL2025AC37 | family_rows=1 | sources_rows=3
[LINE 38] UID=DL2025AC38 | family_rows=1 | sources_rows=5
[LINE 39] UID=DL2025AC39 | family_rows=1 | sources_rows=4
[LINE 40] UID=DL2025AC40 | family_rows=3 | sources_rows=7
[LINE 41] UID=DL2025AC41 | family_rows=1 | sources_rows=3
[LINE 42] UID=DL2025AC42 | family_rows=1 | sources_rows=5
[LINE 43] UID=DL2025AC43 | family_rows=1 | sources_rows=4
[LINE 44] UID=DL2025AC44 | family_rows=1 | sources_rows=3
[LINE 45] UID=DL2025AC45 | family_rows=1 | sources_rows=3
[LINE 46] UID=DL2025AC46 | family_rows=3 | sources_rows=4
[LINE 47] UID=DL2025AC47 | family_rows=1 | sources_rows=4
[LINE 48] UID=DL2025AC48 | family_rows=1 | sources_rows=3
[LINE 49] UID=DL2025AC49 | family_rows=1 | sources_rows=3
[LINE 50] UID=DL2025AC50 | family_rows=1 | sources_rows=4
[LINE 51] UID=DL2025AC51 | family_rows=1 | sources_rows=6
[LINE 52] UID=DL2025AC52 | family_rows=1 | sources_rows=4
[LINE 53] UID=DL2025AC53 | family_rows=1 | sources_rows=5
[LINE 54] UID=DL2025AC54 | family_rows=1 | sources_rows=6
[LINE 55] UID=DL2025AC55 | family_rows=1 | sources_rows=3
[LINE 56] UID=DL2025AC56 | family_rows=1 | sources_rows=3
[LINE 57] UID=DL2025AC57 | family_rows=1 | sources_rows=4
[LINE 58] UID=DL2025AC58 | family_rows=1 | sources_rows=3
[LINE 59] UID=DL2025AC59 | family_rows=1 | sources_rows=4
[LINE 60] UID=DL2025AC60 | family_rows=1 | sources_rows=3
[LINE 61] UID=DL2025AC61 | family_rows=1 | sources_rows=6
[LINE 62] UID=DL2025AC62 | family_rows=1 | sources_rows=3
[LINE 63] UID=DL2025AC63 | family_rows=1 | sources_rows=4
[LINE 64] UID=DL2025AC64 | family_rows=1 | sources_rows=4
[LINE 65] UID=DL2025AC65 | family_rows=2 | sources_rows=5
[LINE 66] UID=DL2025AC66 | family_rows=1 | sources_rows=5
[LINE 67] UID=DL2025AC67 | family_rows=1 | sources_rows=4
[LINE 68] UID=DL2025AC68 | family_rows=1 | sources_rows=5
[LINE 69] UID=DL2025AC69 | family_rows=1 | sources_rows=5
[LINE 70] UID=DL2025AC70 | family_rows=1 | sources_rows=7

PROCESSING COMPLETE
Total family rows: 74
Total source rows: 283
