[LINE 1] UID=JH2024AC01 | family_rows=1 | sources_rows=3
[LINE 2] UID=JH2024AC02 | family_rows=1 | sources_rows=5
[LINE 3] UID=JH2024AC03 | family_rows=5 | sources_rows=6
[LINE 4] UID=JH2024AC04 | family_rows=1 | sources_rows=3
[LINE 5] UID=JH2024AC05 | family_rows=1 | sources_rows=4
[LINE 6] UID=JH2024AC06 | family_rows=1 | sources_rows=3
[LINE 7] UID=JH2024AC07 | family_rows=1 | sources_rows=2
[LINE 8] UID=JH2024AC08 | family_rows=1 | sources_rows=3
[LINE 9] UID=JH2024AC09 | family_rows=1 | sources_rows=5
[LINE 10] UID=JH2024AC10 | family_rows=6 | sources_rows=6
[LINE 11] UID=JH2024AC11 | family_rows=1 | sources_rows=4
[LINE 12] UID=JH2024AC12 | family_rows=1 | sources_rows=3
[LINE 13] UID=JH2024AC13 | family_rows=1 | sources_rows=4
[LINE 14] UID=JH2024AC14 | family_rows=1 | sources_rows=3
[LINE 15] UID=JH2024AC15 | family_rows=1 | sources_rows=2
[LINE 16] UID=JH2024AC16 | family_rows=1 | sources_rows=2
[LINE 17] UID=JH2024AC17 | family_rows=1 | sources_rows=3
[LINE 18] UID=JH2024AC18 | family_rows=2 | sources_rows=5
[LINE 19] UID=JH2024AC19 | family_rows=1 | sources_rows=4
[LINE 20] UID=JH2024AC20 | family_rows=1 | sources_rows=3
[LINE 21] UID=JH2024AC21 | family_rows=1 | sources_rows=4
[LINE 22] UID=JH2024AC22 | family_rows=2 | sources_rows=5
[LINE 23] Existing error preserved | UID=JH2024AC23
[LINE 24] UID=JH2024AC24 | family_rows=1 | sources_rows=4
[LINE 25] UID=JH2024AC25 | family_rows=1 | sources_rows=1
[LINE 26] UID=JH2024AC26 | family_rows=1 | sources_rows=3
[LINE 27] UID=JH2024AC27 | family_rows=1 | sources_rows=3
[LINE 28] UID=JH2024AC28 | family_rows=1 | sources_rows=6
[LINE 29] UID=JH2024AC29 | family_rows=1 | sources_rows=3
[LINE 30] UID=JH2024AC30 | family_rows=1 | sources_rows=4
[LINE 31] UID=JH2024AC31 | family_rows=5 | sources_rows=4
[LINE 32] UID=JH2024AC32 | family_rows=1 | sources_rows=4
[LINE 33] UID=JH2024AC33 | family_rows=1 | sources_rows=3
[LINE 34] UID=JH2024AC34 | family_rows=1 | sources_rows=3
[LINE 35] UID=JH2024AC35 | family_rows=3 | sources_rows=4
[LINE 36] UID=JH2024AC36 | family_rows=1 | sources_rows=3
[LINE 37] UID=JH2024AC37 | family_rows=1 | sources_rows=3
[LINE 38] UID=JH2024AC38 | family_rows=1 | sources_rows=4
[LINE 39] UID=JH2024AC39 | family_rows=1 | sources_rows=4
[LINE 40] UID=JH2024AC40 | family_rows=1 | sources_rows=3
[LINE 41] UID=JH2024AC41 | family_rows=4 | sources_rows=5
[LINE 42] UID=JH2024AC42 | family_rows=1 | sources_rows=3
[LINE 43] UID=JH2024AC43 | family_rows=1 | sources_rows=3
[LINE 44] UID=JH2024AC44 | family_rows=1 | sources_rows=3
[LINE 45] UID=JH2024AC45 | family_rows=1 | sources_rows=6
[LINE 46] UID=JH2024AC46 | family_rows=1 | sources_rows=3
[LINE 47] UID=JH2024AC47 | family_rows=1 | sources_rows=3
[LINE 48] UID=JH2024AC48 | family_rows=1 | sources_rows=6
[LINE 49] UID=JH2024AC49 | family_rows=1 | sources_rows=4
[LINE 50] UID=JH2024AC50 | family_rows=1 | sources_rows=4
[LINE 51] UID=JH2024AC51 | family_rows=1 | sources_rows=4
[LINE 52] UID=JH2024AC52 | family_rows=1 | sources_rows=4
[LINE 53] UID=JH2024AC53 | family_rows=1 | sources_rows=3
[LINE 54] UID=JH2024AC54 | family_rows=1 | sources_rows=5
[LINE 55] UID=JH2024AC55 | family_rows=2 | sources_rows=4
[LINE 56] UID=JH2024AC56 | family_rows=1 | sources_rows=3
[LINE 57] UID=JH2024AC57 | family_rows=1 | sources_rows=5
[LINE 58] UID=JH2024AC58 | family_rows=1 | sources_rows=3
[LINE 59] UID=JH2024AC59 | family_rows=1 | sources_rows=4
[LINE 60] UID=JH2024AC60 | family_rows=1 | sources_rows=1
[LINE 61] UID=JH2024AC61 | family_rows=1 | sources_rows=3
[LINE 62] UID=JH2024AC62 | family_rows=1 | sources_rows=5
[LINE 63] UID=JH2024AC63 | family_rows=1 | sources_rows=4
