[LINE 1] UID=KL2021AC01 | family_rows=1 | sources_rows=3
[LINE 2] UID=KL2021AC02 | family_rows=1 | sources_rows=3
[LINE 3] UID=KL2021AC03 | family_rows=1 | sources_rows=5
[LINE 4] UID=KL2021AC04 | family_rows=1 | sources_rows=5
[LINE 5] UID=KL2021AC05 | family_rows=1 | sources_rows=3
[LINE 6] UID=KL2021AC06 | family_rows=1 | sources_rows=5
[LINE 7] UID=KL2021AC07 | family_rows=1 | sources_rows=4
[LINE 8] UID=KL2021AC08 | family_rows=1 | sources_rows=4
[LINE 9] UID=KL2021AC09 | family_rows=1 | sources_rows=4
[LINE 10] UID=KL2021AC10 | family_rows=1 | sources_rows=3
[LINE 11] UID=KL2021AC11 | family_rows=1 | sources_rows=5
[LINE 12] UID=KL2021AC12 | family_rows=1 | sources_rows=3
[LINE 13] UID=KL2021AC13 | family_rows=1 | sources_rows=4
[LINE 14] UID=KL2021AC14 | family_rows=1 | sources_rows=4
[LINE 15] UID=KL2021AC15 | family_rows=1 | sources_rows=3
[LINE 16] UID=KL2021AC16 | family_rows=1 | sources_rows=3
[LINE 17] UID=KL2021AC17 | family_rows=1 | sources_rows=3
[LINE 18] UID=KL2021AC18 | family_rows=1 | sources_rows=4
[LINE 19] UID=KL2021AC19 | family_rows=1 | sources_rows=5
[LINE 20] UID=KL2021AC20 | family_rows=2 | sources_rows=3
[LINE 21] UID=KL2021AC21 | family_rows=1 | sources_rows=5
[LINE 22] UID=KL2021AC22 | family_rows=1 | sources_rows=3
[LINE 23] UID=KL2021AC23 | family_rows=1 | sources_rows=4
[LINE 24] UID=KL2021AC24 | family_rows=1 | sources_rows=6
[LINE 25] UID=KL2021AC25 | family_rows=1 | sources_rows=3
[LINE 26] UID=KL2021AC26 | family_rows=1 | sources_rows=4
[LINE 27] UID=KL2021AC27 | family_rows=1 | sources_rows=3
[LINE 28] UID=KL2021AC28 | family_rows=1 | sources_rows=4
[LINE 29] UID=KL2021AC29 | family_rows=2 | sources_rows=4
[LINE 30] UID=KL2021AC30 | family_rows=1 | sources_rows=5
[LINE 31] UID=KL2021AC31 | family_rows=1 | sources_rows=4
[LINE 32] UID=KL2021AC32 | family_rows=1 | sources_rows=3
